A-Paar,C-Paar,count
5·5,11·11,1122
5·5,11·23,507
5·17,11·11,298
5·5,11·47,226
5·5,23·23,220
5·5,11·59,183
5·29,11·11,164
5·5,11·71,141
5·17,11·23,126
5·5,11·83,118
5·41,11·11,108
5·5,23·47,99
5·5,11·107,88
5·53,11·11,79
5·5,23·59,75
17·17,11·11,72
5·5,11·131,70
5·29,11·23,70
5·5,23·71,62
5·17,11·47,59
5·17,23·23,58
5·5,11·167,55
5·5,23·83,53
5·5,11·179,50
5·41,11·23,46
5·89,11·11,45
5·17,11·59,43
17·29,11·11,39
5·101,11·11,37
5·17,11·71,35
5·53,11·23,35
5·113,11·11,34
17·17,11·23,32
5·29,11·47,30
5·29,23·23,29
5·17,11·83,28
5·137,11·11,26
17·41,11·11,26
5·17,23·47,22
5·149,11·11,22
5·29,11·59,22
5·17,11·107,21
29·29,11·11,21
5·173,11·11,20
5·41,11·47,19
5·41,23·23,18
5·89,11·23,18
5·17,23·59,17
5·17,11·131,17
5·29,11·71,17
5·101,11·23,15
17·29,11·23,15
5·29,11·83,13
5·53,11·47,13
5·17,23·71,13
5·41,11·59,13
17·17,11·47,12
5·17,11·167,12
5·53,23·23,12
5·113,11·23,12
17·17,23·23,12
5·29,23·47,12
5·17,23·83,12
5·41,11·71,12
5·137,11·23,11
5·41,11·83,11
17·41,11·23,11
5·53,11·59,11
5·17,11·179,11
5·29,11·107,11
5·29,23·59,10
17·17,11·59,10
5·149,11·23,10
5·29,11·131,9
5·53,11·71,9
29·29,11·23,8
5·41,11·107,7
5·89,11·47,7
5·173,11·23,7
17·17,11·71,7
5·29,23·71,7
17·29,11·47,7
5·41,23·47,7
5·89,23·23,7
5·53,11·83,7
5·29,11·167,6
5·41,23·59,6
5·29,23·83,6
17·17,11·83,6
5·101,23·23,6
5·101,11·47,6
17·29,23·23,6
5·113,23·23,5
5·113,11·47,5
5·41,11·131,5
5·29,11·179,5
17·17,23·47,5
5·101,11·59,5
5·89,11·59,5
17·29,11·59,5
5·53,23·47,5
5·53,11·107,5
5·89,11·71,4
17·17,11·107,4
5·41,23·71,4
5·137,11·47,4
5·53,11·167,3
5·53,11·179,3
5·41,23·83,3
5·173,11·47,3
5·53,23·59,3
5·53,23·71,3
5·173,23·23,3
5·53,23·83,3
5·89,11·107,3
5·41,11·179,3
5·41,11·167,3
5·89,11·83,3
5·89,23·47,3
5·53,11·131,3
5·149,11·59,3
5·137,11·59,3
5·101,11·71,3
17·41,11·71,3
17·41,11·59,3
17·41,11·47,3
5·113,11·59,3
17·41,23·23,3
29·29,23·23,3
5·137,11·71,3
5·137,23·23,3
17·29,23·47,3
17·29,11·83,3
17·29,11·71,3
5·113,11·71,3
5·101,11·83,3
5·101,23·47,3
5·113,11·83,3
29·29,11·59,3
5·149,23·23,3
29·29,11·47,3
17·17,11·131,3
17·17,23·71,3
17·17,11·167,3
17·17,23·59,3
5·149,11·47,3
5·173,11·59,2
17·17,11·179,2
17·17,23·83,2
17·41,23·71,1
17·41,23·59,1
17·41,23·47,1
17·41,23·83,1
17·41,11·83,1
29·29,11·107,1
29·29,11·167,1
29·29,11·71,1
29·29,11·131,1
5·149,23·83,1
17·41,11·179,1
17·29,11·131,1
5·89,23·71,1
5·89,23·59,1
17·29,11·107,1
5·89,11·179,1
5·89,11·167,1
5·89,11·131,1
17·29,11·167,1
17·41,11·167,1
17·29,11·179,1
17·29,23·59,1
17·29,23·71,1
17·29,23·83,1
17·41,11·107,1
17·41,11·131,1
29·29,11·83,1
5·101,11·179,1
29·29,23·47,1
5·137,23·83,1
5·173,23·59,1
5·173,23·47,1
5·137,23·47,1
5·173,11·83,1
5·173,11·71,1
5·137,23·59,1
5·137,23·71,1
5·173,11·131,1
5·173,11·107,1
5·137,11·83,1
5·149,11·107,1
5·149,11·131,1
5·149,11·167,1
5·149,11·179,1
5·149,11·71,1
5·149,11·83,1
5·149,23·47,1
5·149,23·59,1
5·173,23·71,1
5·137,11·179,1
29·29,23·59,1
5·113,11·107,1
29·29,23·71,1
5·101,11·107,1
5·101,11·131,1
5·101,11·167,1
5·149,23·71,1
5·101,23·59,1
5·101,23·71,1
5·101,23·83,1
5·113,11·131,1
5·137,11·167,1
5·113,11·167,1
5·113,11·179,1
5·113,23·47,1
5·113,23·59,1
5·113,23·71,1
5·113,23·83,1
5·137,11·107,1
5·137,11·131,1
5·89,23·83,1
