A-Paar,B-Paar,count,p(joint),p(A-Paar),p(B-Paar),lift
17·29,19·67,1,0.00011775788977861517,0.011422515308525671,0.006241168158266604,1.6518187123127797
29·41,7·67,1,0.00011775788977861517,0.002826189354686764,0.025435704192180875,1.6381172839506173
5·233,7·67,1,0.00011775788977861517,0.002826189354686764,0.025435704192180875,1.6381172839506173
5·257,7·67,1,0.00011775788977861517,0.002826189354686764,0.025435704192180875,1.6381172839506173
5·173,7·103,1,0.00011775788977861517,0.004945831370701837,0.01460197833254828,1.6305683563748081
5·149,19·43,1,0.00011775788977861517,0.006123410268487989,0.011893546867640131,1.6169078446306169
17·41,7·127,1,0.00011775788977861517,0.00706547338671691,0.010598210080075365,1.5725925925925925
5·89,7·199,1,0.00011775788977861517,0.013306641544983514,0.005652378709373528,1.5656342182890857
5·137,7·127,1,0.00011775788977861517,0.007183231276495525,0.010598210080075365,1.5468123861566485
29·41,7·7,16,0.0018841262364578427,0.002826189354686764,0.4347621290626472,1.5334055615745756
5·233,7·7,16,0.0018841262364578427,0.002826189354686764,0.4347621290626472,1.5334055615745756
5·257,7·7,16,0.0018841262364578427,0.002826189354686764,0.4347621290626472,1.5334055615745756
5·113,7·151,1,0.00011775788977861517,0.009420631182289214,0.008243052284503062,1.5164285714285712
29·29,7·103,1,0.00011775788977861517,0.0054168629298162975,0.01460197833254828,1.488779803646564
5·89,31·43,1,0.00011775788977861517,0.013306641544983514,0.006005652378709373,1.4735380878014923
5·197,19·31,1,0.00011775788977861517,0.004357041921808761,0.018605746585021198,1.4526171741361613
5·89,19·67,1,0.00011775788977861517,0.013306641544983514,0.006241168158266604,1.4179328769410589
17·53,7·7,24,0.002826189354686764,0.004592557701365992,0.4347621290626472,1.4154512876073004
5·101,7·163,1,0.00011775788977861517,0.011069241639189827,0.007536504945831371,1.4115691489361701
17·41,19·43,1,0.00011775788977861517,0.00706547338671691,0.011893546867640131,1.4013201320132014
17·41,7·7,36,0.004239284032030146,0.00706547338671691,0.4347621290626472,1.380065005417118
5·137,19·43,1,0.00011775788977861517,0.007183231276495525,0.011893546867640131,1.3783476708326572
17·53,19·31,1,0.00011775788977861517,0.004592557701365992,0.018605746585021198,1.3781239857189223
5·149,7·7,31,0.00365049458313707,0.006123410268487989,0.4347621290626472,1.3712184348695724
5·173,7·7,25,0.002943947244465379,0.004945831370701837,0.4347621290626472,1.3691121085487281
17·29,7·163,1,0.00011775788977861517,0.011422515308525671,0.007536504945831371,1.3679123711340206
5·197,7·7,22,0.0025906735751295338,0.004357041921808761,0.4347621290626472,1.3676319873502971
5·137,7·7,36,0.004239284032030146,0.007183231276495525,0.4347621290626472,1.3574409889348702
29·29,7·19,8,0.0009420631182289214,0.0054168629298162975,0.12823834196891193,1.3561703996486607
29·29,7·7,27,0.0031794630240226094,0.0054168629298162975,0.4347621290626472,1.3500635922558764
5·149,7·19,9,0.0010598210080075365,0.006123410268487989,0.12823834196891193,1.3496503496503496
5·197,7·79,1,0.00011775788977861517,0.004357041921808761,0.020372114931700425,1.3266677081705982
5·149,7·103,1,0.00011775788977861517,0.006123410268487989,0.01460197833254828,1.316997518610422
17·41,7·19,10,0.0011775788977861517,0.00706547338671691,0.12823834196891193,1.2996632996632995
5·173,7·19,7,0.0008243052284503062,0.004945831370701837,0.12823834196891193,1.2996632996632995
5·89,7·31,10,0.0011775788977861517,0.013306641544983514,0.06818181818181818,1.2979351032448379
5·101,7·7,53,0.006241168158266604,0.011069241639189827,0.4347621290626472,1.2968695972891358
5·113,31·31,1,0.00011775788977861517,0.009420631182289214,0.009656146961846444,1.2945121951219511
5·113,7·139,1,0.00011775788977861517,0.009420631182289214,0.009656146961846444,1.2945121951219511
5·113,7·7,45,0.0052991050400376825,0.009420631182289214,0.4347621290626472,1.2938109425785482
5·101,7·151,1,0.00011775788977861517,0.011069241639189827,0.008243052284503062,1.290577507598784
17·29,7·7,54,0.006358926048045219,0.011422515308525671,0.4347621290626472,1.280472685438563
5·173,19·31,1,0.00011775788977861517,0.004945831370701837,0.018605746585021198,1.2796865581675707
5·137,7·19,10,0.0011775788977861517,0.007183231276495525,0.12823834196891193,1.2783573439311142
5·17,7·163,10,0.0011775788977861517,0.12317475270843146,0.007536504945831371,1.2685229445506692
