A-Paar,C-Paar,count,p(joint),p(A-Paar),p(C-Paar),lift
29·41,11·107,1,0.00011775788977861517,0.002826189354686764,0.017899199246349504,2.327850877192983
5·233,11·107,1,0.00011775788977861517,0.002826189354686764,0.017899199246349504,2.327850877192983
5·257,11·107,1,0.00011775788977861517,0.002826189354686764,0.017899199246349504,2.327850877192983
5·149,11·191,1,0.00011775788977861517,0.006123410268487989,0.008714083843617522,2.2068607068607067
17·53,23·71,1,0.00011775788977861517,0.004592557701365992,0.012011304757418746,2.1347410759175465
17·41,47·47,1,0.00011775788977861517,0.00706547338671691,0.00800753650494583,2.081372549019608
29·41,23·47,1,0.00011775788977861517,0.002826189354686764,0.02025435704192181,2.057170542635659
5·233,23·47,1,0.00011775788977861517,0.002826189354686764,0.02025435704192181,2.057170542635659
5·257,23·47,1,0.00011775788977861517,0.002826189354686764,0.02025435704192181,2.057170542635659
29·29,11·167,1,0.00011775788977861517,0.0054168629298162975,0.010598210080075365,2.051207729468599
5·137,47·47,1,0.00011775788977861517,0.007183231276495525,0.00800753650494583,2.04725168756027
5·149,11·179,1,0.00011775788977861517,0.006123410268487989,0.009538389072067829,2.016144349477683
5·173,23·71,1,0.00011775788977861517,0.004945831370701837,0.012011304757418746,1.982259570494865
5·113,11·239,1,0.00011775788977861517,0.009420631182289214,0.006358926048045219,1.9657407407407408
5·197,11·131,1,0.00011775788977861517,0.004357041921808761,0.013895430993876589,1.9450297755382504
17·41,11·191,1,0.00011775788977861517,0.00706547338671691,0.008714083843617522,1.9126126126126124
5·149,23·83,1,0.00011775788977861517,0.006123410268487989,0.010127178520960905,1.898926654740608
5·137,11·191,1,0.00011775788977861517,0.007183231276495525,0.008714083843617522,1.881258307487816
5·113,11·227,1,0.00011775788977861517,0.009420631182289214,0.0067121997173810646,1.862280701754386
17·53,11·131,1,0.00011775788977861517,0.004592557701365992,0.013895430993876589,1.845284658843981
5·197,23·59,1,0.00011775788977861517,0.004357041921808761,0.014719736222326895,1.8361081081081083
5·113,23·107,1,0.00011775788977861517,0.009420631182289214,0.0068299576071596795,1.8301724137931035
5·149,11·167,1,0.00011775788977861517,0.006123410268487989,0.010598210080075365,1.8145299145299143
29·29,23·71,1,0.00011775788977861517,0.0054168629298162975,0.012011304757418746,1.8098891730605289
17·41,11·179,1,0.00011775788977861517,0.00706547338671691,0.009538389072067829,1.7473251028806582
17·53,23·59,1,0.00011775788977861517,0.004592557701365992,0.014719736222326895,1.741948717948718
5·137,11·179,1,0.00011775788977861517,0.007183231276495525,0.009538389072067829,1.718680429062943
5·173,11·131,1,0.00011775788977861517,0.004945831370701837,0.013895430993876589,1.7134786117836969
29·41,11·23,5,0.0005887894488930759,0.002826189354686764,0.12388130004710315,1.6817173637515843
5·233,11·23,5,0.0005887894488930759,0.002826189354686764,0.12388130004710315,1.6817173637515843
5·257,11·23,5,0.0005887894488930759,0.002826189354686764,0.12388130004710315,1.6817173637515843
5·101,11·239,1,0.00011775788977861517,0.011069241639189827,0.006358926048045219,1.672970843183609
29·41,11·11,12,0.001413094677343382,0.002826189354686764,0.29898728214790393,1.6723119338322174
5·233,11·11,12,0.001413094677343382,0.002826189354686764,0.29898728214790393,1.6723119338322174
5·257,11·11,12,0.001413094677343382,0.002826189354686764,0.29898728214790393,1.6723119338322174
29·41,11·83,1,0.00011775788977861517,0.002826189354686764,0.02508243052284503,1.6611893583724568
5·233,11·83,1,0.00011775788977861517,0.002826189354686764,0.02508243052284503,1.6611893583724568
5·257,11·83,1,0.00011775788977861517,0.002826189354686764,0.02508243052284503,1.6611893583724568
29·29,11·59,3,0.0003532736693358455,0.0054168629298162975,0.03944889307583608,1.6532121998702143
17·41,23·83,1,0.00011775788977861517,0.00706547338671691,0.010127178520960905,1.645736434108527
17·41,11·71,3,0.0003532736693358455,0.00706547338671691,0.030617051342439944,1.633076923076923
5·197,23·23,3,0.0003532736693358455,0.004357041921808761,0.049811587376354216,1.6277554149894575
17·29,11·239,1,0.00011775788977861517,0.011422515308525671,0.006358926048045219,1.62122947689958
5·137,23·83,1,0.00011775788977861517,0.007183231276495525,0.010127178520960905,1.6187571483034693
5·173,23·59,1,0.00011775788977861517,0.004945831370701837,0.014719736222326895,1.6175238095238096
5·137,11·71,3,0.0003532736693358455,0.007183231276495525,0.030617051342439944,1.6063051702395965
5·149,23·71,1,0.00011775788977861517,0.006123410268487989,0.012011304757418746,1.60105580693816
5·173,11·11,20,0.0023551577955723034,0.004945831370701837,0.29898728214790393,1.5926780322211596
5·101,11·227,1,0.00011775788977861517,0.011069241639189827,0.0067121997173810646,1.5849197461739455
5·197,11·47,3,0.0003532736693358455,0.004357041921808761,0.051224682053697596,1.5828518173345762
5·101,23·47,3,0.0003532736693358455,0.011069241639189827,0.02025435704192181,1.5757050964868875
17·41,11·167,1,0.00011775788977861517,0.00706547338671691,0.010598210080075365,1.5725925925925925
29·29,11·131,1,0.00011775788977861517,0.0054168629298162975,0.013895430993876589,1.5644804716285927
5·113,47·47,1,0.00011775788977861517,0.009420631182289214,0.00800753650494583,1.561029411764706
5·101,23·107,1,0.00011775788977861517,0.011069241639189827,0.0068299576071596795,1.557593543653705
5·149,11·23,10,0.0011775788977861517,0.006123410268487989,0.12388130004710315,1.552354489616847
5·137,11·167,1,0.00011775788977861517,0.007183231276495525,0.010598210080075365,1.5468123861566485
17·53,23·23,3,0.0003532736693358455,0.004592557701365992,0.049811587376354216,1.5442807783233314
17·53,11·11,18,0.002119642016015073,0.004592557701365992,0.29898728214790393,1.543672554306662
5·197,11·11,17,0.0020018841262364577,0.004357041921808761,0.29898728214790393,1.5367190743323076
17·29,11·227,1,0.00011775788977861517,0.011422515308525671,0.0067121997173810646,1.535901609694339
5·197,11·23,7,0.0008243052284503062,0.004357041921808761,0.12388130004710315,1.5271811735690064
17·29,23·47,3,0.0003532736693358455,0.011422515308525671,0.02025435704192181,1.5269719491728602
29·29,11·11,21,0.0024729156853509184,0.0054168629298162975,0.29898728214790393,1.5268935048033287
5·197,11·107,1,0.00011775788977861517,0.004357041921808761,0.017899199246349504,1.5099573257467995
17·29,23·107,1,0.00011775788977861517,0.011422515308525671,0.0068299576071596795,1.5094205474582298
17·53,11·47,3,0.0003532736693358455,0.004592557701365992,0.051224682053697596,1.501679929266136
5·113,11·83,3,0.0003532736693358455,0.009420631182289214,0.02508243052284503,1.4950704225352114
5·89,11·107,3,0.0003532736693358455,0.013306641544983514,0.017899199246349504,1.4832324173265021
17·41,11·23,11,0.0012953367875647669,0.00706547338671691,0.12388130004710315,1.4799112801013943
29·29,23·59,1,0.00011775788977861517,0.0054168629298162975,0.014719736222326895,1.4768695652173913
5·149,11·59,3,0.0003532736693358455,0.006123410268487989,0.03944889307583608,1.4624569460390358
5·41,11·239,3,0.0003532736693358455,0.0380357983984927,0.006358926048045219,1.4606123151014794
5·137,11·23,11,0.0012953367875647669,0.007183231276495525,0.12388130004710315,1.4556504394439944
17·41,11·11,26,0.0030617051342439945,0.00706547338671691,0.29898728214790393,1.4493370093212552
17·53,11·23,7,0.0008243052284503062,0.004592557701365992,0.12388130004710315,1.4488641903090573
5·113,11·191,1,0.00011775788977861517,0.009420631182289214,0.008714083843617522,1.4344594594594593
5·173,23·23,3,0.0003532736693358455,0.004945831370701837,0.049811587376354216,1.4339750084430936
17·53,11·107,1,0.00011775788977861517,0.004592557701365992,0.017899199246349504,1.432523616734143
5·137,11·11,26,0.0030617051342439945,0.007183231276495525,0.29898728214790393,1.425577386217628
5·113,11·11,34,0.004003768252472915,0.009420631182289214,0.29898728214790393,1.4214651437573844
5·149,11·11,22,0.0025906735751295338,0.006123410268487989,0.29898728214790393,1.415033174781107
17·29,11·47,7,0.0008243052284503062,0.011422515308525671,0.051224682053697596,1.4087925109610142
29·29,11·23,8,0.0009420631182289214,0.0054168629298162975,0.12388130004710315,1.4038684080013226
5·173,11·47,3,0.0003532736693358455,0.004945831370701837,0.051224682053697596,1.394417077175698
5·89,11·239,1,0.00011775788977861517,0.013306641544983514,0.006358926048045219,1.3916748607014093
17·41,23·71,1,0.00011775788977861517,0.00706547338671691,0.012011304757418746,1.3875816993464054
5·149,11·131,1,0.00011775788977861517,0.006123410268487989,0.013895430993876589,1.383963494132986
5·41,11·227,3,0.0003532736693358455,0.0380357983984927,0.0067121997173810646,1.3837379827277172
17·17,11·167,3,0.0003532736693358455,0.024258125294394726,0.010598210080075365,1.3741100323624595
5·53,11·179,3,0.0003532736693358455,0.026966556759302873,0.009538389072067829,1.3734433123079413
5·137,23·71,1,0.00011775788977861517,0.007183231276495525,0.012011304757418746,1.3648344583735135
29·41,11·71,1,0.00011775788977861517,0.002826189354686764,0.030617051342439944,1.360897435897436
5·233,11·71,1,0.00011775788977861517,0.002826189354686764,0.030617051342439944,1.360897435897436
5·257,11·71,1,0.00011775788977861517,0.002826189354686764,0.030617051342439944,1.360897435897436
5·41,23·107,3,0.0003532736693358455,0.0380357983984927,0.0068299576071596795,1.3598804313013773
5·41,11·83,11,0.0012953367875647669,0.0380357983984927,0.02508243052284503,1.3577522929112342
5·101,11·59,5,0.0005887894488930759,0.011069241639189827,0.03944889307583608,1.3483645601778342
5·173,11·23,7,0.0008243052284503062,0.004945831370701837,0.12388130004710315,1.3453738910012674
17·29,11·11,39,0.004592557701365992,0.011422515308525671,0.29898728214790393,1.34474567875168
5·197,23·47,1,0.00011775788977861517,0.004357041921808761,0.02025435704192181,1.3343808925204275
5·89,11·11,45,0.0052991050400376825,0.013306641544983514,0.29898728214790393,1.3319298588044208
5·173,11·107,1,0.00011775788977861517,0.004945831370701837,0.017899199246349504,1.330200501253133
5·101,47·47,1,0.00011775788977861517,0.011069241639189827,0.00800753650494583,1.3285356695869839
5·29,23·59,10,0.0011775788977861517,0.06064531323598681,0.014719736222326895,1.3191456310679612
5·89,11·227,1,0.00011775788977861517,0.013306641544983514,0.0067121997173810646,1.3184288154013353
5·101,11·11,37,0.004357041921808761,0.011069241639189827,0.29898728214790393,1.3165008840806816
5·89,23·47,3,0.0003532736693358455,0.013306641544983514,0.02025435704192181,1.3107635315908623
5·113,11·179,1,0.00011775788977861517,0.009420631182289214,0.009538389072067829,1.3104938271604938
29·29,23·23,3,0.0003532736693358455,0.0054168629298162975,0.049811587376354216,1.3092815294480422
17·29,11·59,5,0.0005887894488930759,0.011422515308525671,0.03944889307583608,1.3066625634713034
5·149,23·59,1,0.00011775788977861517,0.006123410268487989,0.014719736222326895,1.3064615384615383
5·89,23·107,1,0.00011775788977861517,0.013306641544983514,0.0068299576071596795,1.2956972841013121
5·53,23·83,3,0.0003532736693358455,0.026966556759302873,0.010127178520960905,1.2935919569412004
5·101,11·23,15,0.0017663683466792276,0.011069241639189827,0.12388130004710315,1.2881239381927028
17·29,47·47,1,0.00011775788977861517,0.011422515308525671,0.00800753650494583,1.2874469375379018
5·89,11·23,18,0.002119642016015073,0.013306641544983514,0.12388130004710315,1.2858440728153706
5·53,11·71,9,0.0010598210080075365,0.026966556759302873,0.030617051342439944,1.2836412495801142
5·101,23·23,6,0.000706547338671691,0.011069241639189827,0.049811587376354216,1.2814244756299984
5·137,11·47,4,0.0004710315591144607,0.007183231276495525,0.051224682053697596,1.280120595439985
29·29,11·47,3,0.0003532736693358455,0.0054168629298162975,0.051224682053697596,1.2731634182908547
