B-Paar,C-Paar,count,p(joint),p(B-Paar),p(C-Paar),lift
19·79,11·179,1,0.00011775788977861517,0.004945831370701837,0.009538389072067829,2.496178718400941
7·163,11·239,1,0.00011775788977861517,0.007536504945831371,0.006358926048045219,2.457175925925926
31·43,47·47,1,0.00011775788977861517,0.006005652378709373,0.00800753650494583,2.448673587081892
7·211,11·179,1,0.00011775788977861517,0.005063589260480453,0.009538389072067829,2.438128050531151
7·199,11·191,1,0.00011775788977861517,0.005652378709373528,0.008714083843617522,2.390765765765766
19·67,47·47,1,0.00011775788977861517,0.006241168158266604,0.00800753650494583,2.356270810210877
19·79,23·83,1,0.00011775788977861517,0.004945831370701837,0.010127178520960905,2.3510520487264674
7·163,11·227,1,0.00011775788977861517,0.007536504945831371,0.0067121997173810646,2.3278508771929824
7·211,23·83,1,0.00011775788977861517,0.005063589260480453,0.010127178520960905,2.2963764196863163
7·163,23·107,1,0.00011775788977861517,0.007536504945831371,0.0068299576071596795,2.2877155172413794
31·43,11·191,1,0.00011775788977861517,0.006005652378709373,0.008714083843617522,2.250132485426603
19·79,11·167,1,0.00011775788977861517,0.004945831370701837,0.010598210080075365,2.246560846560847
7·151,11·239,1,0.00011775788977861517,0.008243052284503062,0.006358926048045219,2.2465608465608464
7·211,11·167,1,0.00011775788977861517,0.005063589260480453,0.010598210080075365,2.194315245478036
7·199,11·179,1,0.00011775788977861517,0.005652378709373528,0.009538389072067829,2.184156378600823
19·67,11·191,1,0.00011775788977861517,0.006241168158266604,0.008714083843617522,2.165221825599184
7·151,11·227,1,0.00011775788977861517,0.008243052284503062,0.0067121997173810646,2.1283208020050126
7·151,23·107,1,0.00011775788977861517,0.008243052284503062,0.0068299576071596795,2.091625615763547
7·199,23·83,1,0.00011775788977861517,0.005652378709373528,0.010127178520960905,2.057170542635659
31·43,11·179,1,0.00011775788977861517,0.006005652378709373,0.009538389072067829,2.0556765916243043
19·79,23·71,1,0.00011775788977861517,0.004945831370701837,0.012011304757418746,1.982259570494865
19·67,11·179,1,0.00011775788977861517,0.006241168158266604,0.009538389072067829,1.9781038900535755
7·199,11·167,1,0.00011775788977861517,0.005652378709373528,0.010598210080075365,1.9657407407407408
7·163,47·47,1,0.00011775788977861517,0.007536504945831371,0.00800753650494583,1.9512867647058825
31·43,23·83,1,0.00011775788977861517,0.006005652378709373,0.010127178520960905,1.9361605107159143
7·211,23·71,1,0.00011775788977861517,0.005063589260480453,0.012011304757418746,1.9361605107159143
31·31,11·239,1,0.00011775788977861517,0.009656146961846444,0.006358926048045219,1.917795844625113
7·139,11·239,1,0.00011775788977861517,0.009656146961846444,0.006358926048045219,1.917795844625113
19·67,23·83,1,0.00011775788977861517,0.006241168158266604,0.010127178520960905,1.8630978499341815
31·43,11·167,1,0.00011775788977861517,0.006005652378709373,0.010598210080075365,1.8501089324618738
31·31,11·227,1,0.00011775788977861517,0.009656146961846444,0.0067121997173810646,1.8168592212237915
7·139,11·227,1,0.00011775788977861517,0.009656146961846444,0.0067121997173810646,1.8168592212237915
7·163,11·191,1,0.00011775788977861517,0.007536504945831371,0.008714083843617522,1.7930743243243241
31·31,23·107,1,0.00011775788977861517,0.009656146961846444,0.0068299576071596795,1.7855340622371743
7·139,23·107,1,0.00011775788977861517,0.009656146961846444,0.0068299576071596795,1.7855340622371743
7·151,47·47,1,0.00011775788977861517,0.008243052284503062,0.00800753650494583,1.784033613445378
19·67,11·167,1,0.00011775788977861517,0.006241168158266604,0.010598210080075365,1.7802935010482182
7·127,11·239,1,0.00011775788977861517,0.010598210080075365,0.006358926048045219,1.7473251028806587
7·199,23·71,1,0.00011775788977861517,0.005652378709373528,0.012011304757418746,1.7344771241830068
19·79,11·131,1,0.00011775788977861517,0.004945831370701837,0.013895430993876589,1.7134786117836969
7·211,11·131,1,0.00011775788977861517,0.005063589260480453,0.013895430993876589,1.6736302719747733
7·127,11·227,1,0.00011775788977861517,0.010598210080075365,0.0067121997173810646,1.6553606237816763
7·151,11·191,1,0.00011775788977861517,0.008243052284503062,0.008714083843617522,1.6393822393822393
7·163,11·179,1,0.00011775788977861517,0.007536504945831371,0.009538389072067829,1.6381172839506173
31·43,23·71,1,0.00011775788977861517,0.006005652378709373,0.012011304757418746,1.6324490580545947
7·127,23·107,1,0.00011775788977861517,0.010598210080075365,0.0068299576071596795,1.6268199233716476
19·79,23·59,1,0.00011775788977861517,0.004945831370701837,0.014719736222326895,1.6175238095238096
7·199,11·59,3,0.0003532736693358455,0.005652378709373528,0.03944889307583608,1.5843283582089553
7·211,23·59,1,0.00011775788977861517,0.005063589260480453,0.014719736222326895,1.579906976744186
19·67,23·71,1,0.00011775788977861517,0.006241168158266604,0.012011304757418746,1.5708472068072514
19·43,11·239,1,0.00011775788977861517,0.011893546867640131,0.006358926048045219,1.5570223689035572
7·163,23·83,1,0.00011775788977861517,0.007536504945831371,0.010127178520960905,1.542877906976744
7·163,11·71,3,0.0003532736693358455,0.007536504945831371,0.030617051342439944,1.5310096153846153
31·31,47·47,1,0.00011775788977861517,0.009656146961846444,0.00800753650494583,1.522955523672884
7·139,47·47,1,0.00011775788977861517,0.009656146961846444,0.00800753650494583,1.522955523672884
7·199,11·23,9,0.0010598210080075365,0.005652378709373528,0.12388130004710315,1.5135456273764258
19·43,11·59,6,0.000706547338671691,0.011893546867640131,0.03944889307583608,1.505896261267918
7·211,11·23,8,0.0009420631182289214,0.005063589260480453,0.12388130004710315,1.5018127155362984
7·199,11·131,1,0.00011775788977861517,0.005652378709373528,0.013895430993876589,1.4992937853107344
7·151,11·179,1,0.00011775788977861517,0.008243052284503062,0.009538389072067829,1.4977072310405641
31·43,11·59,3,0.0003532736693358455,0.006005652378709373,0.03944889307583608,1.4911325724319582
19·43,11·227,1,0.00011775788977861517,0.011893546867640131,0.0067121997173810646,1.4750738231717908
7·163,11·167,1,0.00011775788977861517,0.007536504945831371,0.010598210080075365,1.4743055555555555
19·19,11·227,3,0.0003532736693358455,0.03579839849269901,0.0067121997173810646,1.4702216066481997
31·31,23·23,6,0.000706547338671691,0.009656146961846444,0.049811587376354216,1.4689500086490226
7·139,23·23,6,0.000706547338671691,0.009656146961846444,0.049811587376354216,1.4689500086490226
19·43,23·47,3,0.0003532736693358455,0.011893546867640131,0.02025435704192181,1.466497812571955
31·31,11·83,3,0.0003532736693358455,0.009656146961846444,0.02508243052284503,1.4586052902782551
7·139,11·83,3,0.0003532736693358455,0.009656146961846444,0.02508243052284503,1.4586052902782551
19·43,23·107,1,0.00011775788977861517,0.011893546867640131,0.0068299576071596795,1.4496415158757257
19·19,23·107,3,0.0003532736693358455,0.03579839849269901,0.0068299576071596795,1.4448729582577136
7·79,23·71,3,0.0003532736693358455,0.020372114931700425,0.012011304757418746,1.443726623597416
19·67,11·59,3,0.0003532736693358455,0.006241168158266604,0.03944889307583608,1.4348634187552805
19·79,23·23,3,0.0003532736693358455,0.004945831370701837,0.049811587376354216,1.4339750084430936
31·31,11·47,6,0.000706547338671691,0.009656146961846444,0.051224682053697596,1.4284272497897395
7·139,11·47,6,0.000706547338671691,0.009656146961846444,0.051224682053697596,1.4284272497897395
31·43,11·23,9,0.0010598210080075365,0.006005652378709373,0.12388130004710315,1.424513531648401
19·19,11·131,6,0.000706547338671691,0.03579839849269901,0.013895430993876589,1.4203835860838538
7·199,23·59,1,0.00011775788977861517,0.005652378709373528,0.014719736222326895,1.4153333333333333
31·43,11·131,1,0.00011775788977861517,0.006005652378709373,0.013895430993876589,1.4111000332336325
7·151,23·83,1,0.00011775788977861517,0.008243052284503062,0.010127178520960905,1.4106312292358802
7·211,23·23,3,0.0003532736693358455,0.005063589260480453,0.049811587376354216,1.4006267524327891
7·151,11·71,3,0.0003532736693358455,0.008243052284503062,0.030617051342439944,1.3997802197802196
31·31,11·191,1,0.00011775788977861517,0.009656146961846444,0.008714083843617522,1.3994726433750826
7·139,11·191,1,0.00011775788977861517,0.009656146961846444,0.008714083843617522,1.3994726433750826
19·79,11·47,3,0.0003532736693358455,0.004945831370701837,0.051224682053697596,1.394417077175698
7·151,11·47,5,0.0005887894488930759,0.008243052284503062,0.051224682053697596,1.3944170771756978
19·67,11·11,22,0.0025906735751295338,0.006241168158266604,0.29898728214790393,1.3883344356342937
7·127,47·47,1,0.00011775788977861517,0.010598210080075365,0.00800753650494583,1.3875816993464054
7·163,11·23,11,0.0012953367875647669,0.007536504945831371,0.12388130004710315,1.3874168250950571
7·79,11·83,6,0.000706547338671691,0.020372114931700425,0.02508243052284503,1.3827240902059759
7·67,23·47,6,0.000706547338671691,0.025435704192180875,0.02025435704192181,1.3714470284237725
7·67,23·83,3,0.0003532736693358455,0.025435704192180875,0.010127178520960905,1.3714470284237725
19·67,11·23,9,0.0010598210080075365,0.006241168158266604,0.12388130004710315,1.3707583040390274
19·31,11·131,3,0.0003532736693358455,0.018605746585021198,0.013895430993876589,1.3664449688907958
7·211,11·47,3,0.0003532736693358455,0.005063589260480453,0.051224682053697596,1.3619887730553328
