pairing,u_pair,v_pair,u_cluster_pair,v_cluster_pair,status,score,lift_1B,count_1B,lift_ratio(1B/100M),stability_factor
A↔B,17·41,7·7,2-2,1-1,in_both,3.9910237466417344,1.380065005417118,36,0.7798705293769863,0.8008794546642577
A↔B,5·101,7·7,2-2,1-1,in_both,3.946577629005032,1.2968695972891358,53,0.7328570577478773,0.7628902091264957
A↔B,5·137,7·7,2-2,1-1,in_both,3.874309107820944,1.3574409889348702,36,0.7670857666003145,0.7904159455038834
A↔B,29·41,7·7,2-2,1-1,in_both,3.800044684578141,1.5334055615745756,16,0.8665228104188738,0.8746864339035848
A↔B,5·257,7·7,1-2,1-1,in_both,3.800044684578141,1.5334055615745756,16,0.8665228104188738,0.8746864339035848
A↔B,5·233,7·7,1-2,1-1,in_both,3.800044684578141,1.5334055615745756,16,0.8665228104188738,0.8746864339035848
A↔B,5·149,7·7,2-2,1-1,in_both,3.7865023038299257,1.3712184348695724,31,0.7748713593168776,0.7967757663015488
A↔B,5·113,7·7,2-2,1-1,in_both,3.7722105037627007,1.2938109425785482,45,0.7311286212909248,0.7615184140566361
A↔B,17·53,7·7,2-2,1-1,in_both,3.724455449173736,1.4154512876073004,24,0.7998672096174219,0.8174545825220164
A↔B,5·173,7·7,2-2,1-1,in_both,3.549829131199323,1.369112108548728,25,0.7736810807311373,0.7958010159722684
A↔B,29·29,7·7,2-2,1-1,in_both,3.5405838183241096,1.3500635922558764,27,0.7629168222166172,0.7870258673858785
A↔B,5·197,7·7,2-2,1-1,in_both,3.409620686084893,1.3676319873502971,22,0.7728446687519684,0.7951165869302034
A↔B,17·17,7·31,2-2,1-1,only_100M,0.0,,0,,0.75
A↔B,17·17,7·7,2-2,1-1,only_100M,0.0,,0,,0.75
A↔B,17·29,7·7,2-2,1-1,only_100M,0.0,,0,,0.75
A↔B,5·17,19·31,2-2,1-1,only_100M,0.0,,0,,0.75
A↔B,5·17,7·103,2-2,1-1,only_100M,0.0,,0,,0.75
A↔B,5·17,7·19,2-2,1-1,only_100M,0.0,,0,,0.75
A↔B,5·17,7·79,2-2,1-1,only_100M,0.0,,0,,0.75
A↔B,5·29,19·19,2-2,1-1,only_100M,0.0,,0,,0.75
A↔B,5·29,7·7,2-2,1-1,only_100M,0.0,,0,,0.75
A↔B,5·41,7·43,2-2,1-1,only_100M,0.0,,0,,0.75
A↔C,5·257,11·11,1-2,2-2,in_both,3.144635967413104,1.6723119338322174,12,0.6948664545009213,0.7331186937522118
A↔C,5·233,11·11,1-2,2-2,in_both,3.144635967413104,1.6723119338322174,12,0.6948664545009213,0.7331186937522118
A↔C,29·41,11·11,2-2,2-2,in_both,3.144635967413104,1.6723119338322174,12,0.6948664545009213,0.7331186937522118
A↔C,17·17,11·11,2-2,2-2,only_100M,0.0,,0,,0.75
A↔C,17·17,11·47,2-2,2-2,only_100M,0.0,,0,,0.75
A↔C,17·17,23·23,2-2,2-2,only_100M,0.0,,0,,0.75
A↔C,17·29,11·23,2-2,2-2,only_100M,0.0,,0,,0.75
A↔C,17·41,11·11,2-2,2-2,only_100M,0.0,,0,,0.75
A↔C,17·53,11·11,2-2,2-2,only_100M,0.0,,0,,0.75
A↔C,29·29,11·11,2-2,2-2,only_100M,0.0,,0,,0.75
A↔C,5·101,11·23,2-2,2-2,only_100M,0.0,,0,,0.75
A↔C,5·113,11·23,2-2,2-2,only_100M,0.0,,0,,0.75
A↔C,5·137,11·11,2-2,2-2,only_100M,0.0,,0,,0.75
B↔C,19·127,11·11,1-1,2-2,only_100M,0.0,,0,,0.75
B↔C,19·19,11·59,1-1,2-2,only_100M,0.0,,0,,0.75
B↔C,19·19,11·71,1-1,2-2,only_100M,0.0,,0,,0.75
B↔C,19·19,23·23,1-1,2-2,only_100M,0.0,,0,,0.75
B↔C,19·31,11·47,1-1,2-2,only_100M,0.0,,0,,0.75
B↔C,19·43,11·11,1-1,2-2,only_100M,0.0,,0,,0.75
B↔C,19·43,11·23,1-1,2-2,only_100M,0.0,,0,,0.75
B↔C,31·31,11·23,1-1,2-2,only_100M,0.0,,0,,0.75
B↔C,31·67,11·11,1-1,2-2,only_100M,0.0,,0,,0.75
B↔C,7·103,11·11,1-1,2-2,only_100M,0.0,,0,,0.75
