family,first_shell,count,mean_first_n,share
A,S10,13,909419665.0,0.16049382716049382
A,S4,3,108293185.0,0.037037037037037035
A,S5,6,152227075.0,0.07407407407407407
A,S6,10,232695463.0,0.12345679012345678
A,S7,16,357155548.75,0.19753086419753085
A,S8,17,535934516.7647059,0.20987654320987653
A,S9,16,745045551.25,0.19753086419753085
B,S10,21,926850925.0,0.1891891891891892
B,S4,2,102677575.0,0.018018018018018018
B,S5,11,150875725.0,0.0990990990990991
B,S6,14,233865775.0,0.12612612612612611
B,S7,21,372997625.0,0.1891891891891892
B,S8,22,547121575.0,0.1981981981981982
B,S9,20,730139410.0,0.18018018018018017
C,S10,29,911556335.3448275,0.18012422360248448
C,S4,4,109134025.0,0.024844720496894408
C,S5,13,153924925.0,0.08074534161490683
C,S6,23,241657720.6521739,0.14285714285714285
C,S7,28,373322950.0,0.17391304347826086
C,S8,35,547211665.0,0.21739130434782608
C,S9,29,735269880.1724138,0.18012422360248448
