a,total_triplets,top_bc_pairs
5,50428,7·11×13317(0.264); 7·23×5002(0.099); 19·11×3447(0.068); 7·47×2001(0.040); 31·11×1815(0.036); 7·59×1502(0.030); 19·23×1192(0.024); 43·11×1174(0.023); 7·71×1174(0.023); 7·83×989(0.020); 7·107×701(0.014); 67·11×684(0.014)
17,7064,7·11×2454(0.347); 7·23×843(0.119); 19·11×557(0.079); 7·47×311(0.044); 31·11×282(0.040); 7·59×222(0.031); 7·71×176(0.025); 19·23×175(0.025); 43·11×172(0.024); 7·83×135(0.019); 7·107×91(0.013); 67·11×88(0.012)
29,3148,7·11×1209(0.384); 7·23×397(0.126); 19·11×272(0.086); 7·47×141(0.045); 31·11×123(0.039); 7·59×99(0.031); 19·23×74(0.024); 7·71×69(0.022); 43·11×69(0.022); 7·83×56(0.018); 7·107×39(0.012); 67·11×39(0.012)
41,1900,7·11×784(0.413); 7·23×243(0.128); 19·11×166(0.087); 7·47×78(0.041); 31·11×68(0.036); 7·59×56(0.029); 7·71×48(0.025); 43·11×47(0.025); 7·83×41(0.022); 19·23×40(0.021); 7·107×26(0.014); 67·11×24(0.013)
53,1300,7·11×554(0.426); 7·23×178(0.137); 19·11×111(0.085); 7·47×53(0.041); 31·11×50(0.038); 7·59×39(0.030); 7·71×34(0.026); 43·11×32(0.025); 19·23×29(0.022); 7·83×26(0.020); 7·107×14(0.011); 67·11×14(0.011)
89,608,7·11×290(0.477); 7·23×80(0.132); 19·11×52(0.086); 7·47×28(0.046); 31·11×26(0.043); 7·59×18(0.030); 43·11×14(0.023); 7·71×12(0.020); 19·23×10(0.016); 7·83×9(0.015); 7·107×7(0.012); 67·11×7(0.012)
101,512,7·11×245(0.479); 7·23×74(0.145); 19·11×44(0.086); 7·47×25(0.049); 31·11×22(0.043); 7·59×14(0.027); 7·71×9(0.018); 7·83×9(0.018); 19·23×9(0.018); 43·11×9(0.018); 7·107×4(0.008); 7·131×4(0.008)
113,428,7·11×213(0.498); 7·23×58(0.136); 19·11×39(0.091); 7·47×18(0.042); 31·11×16(0.037); 7·59×11(0.026); 7·71×9(0.021); 43·11×9(0.021); 7·83×7(0.016); 19·23×7(0.016); 7·107×4(0.009); 67·11×3(0.007)
137,312,7·11×160(0.513); 7·23×44(0.141); 19·11×27(0.087); 7·47×14(0.045); 31·11×10(0.032); 7·59×9(0.029); 7·71×7(0.022); 43·11×7(0.022); 19·23×6(0.019); 7·83×4(0.013); 7·179×2(0.006); 7·191×2(0.006)
149,268,7·11×136(0.507); 7·23×42(0.157); 19·11×26(0.097); 7·47×9(0.034); 31·11×9(0.034); 7·59×7(0.026); 19·23×6(0.022); 43·11×5(0.019); 7·71×4(0.015); 7·83×4(0.015); 7·131×2(0.007); 7·167×2(0.007)
173,208,7·11×109(0.524); 7·23×35(0.168); 19·11×17(0.082); 7·47×9(0.043); 31·11×7(0.034); 7·59×5(0.024); 7·71×4(0.019); 43·11×3(0.014); 19·23×3(0.014); 7·131×2(0.010); 7·107×2(0.010); 7·83×2(0.010)
