b,total_triplets,top_ac_pairs
7,43388,5·11×13317(0.307); 5·23×5002(0.115); 17·11×2454(0.057); 5·47×2001(0.046); 5·59×1502(0.035); 29·11×1209(0.028); 5·71×1174(0.027); 5·83×989(0.023); 17·23×843(0.019); 41·11×784(0.018); 5·107×701(0.016); 53·11×554(0.013)
19,9060,5·11×3447(0.380); 5·23×1192(0.132); 17·11×557(0.061); 5·47×445(0.049); 5·59×331(0.037); 29·11×272(0.030); 5·71×250(0.028); 5·83×205(0.023); 17·23×175(0.019); 41·11×166(0.018); 5·107×139(0.015); 53·11×111(0.012)
31,4388,5·11×1815(0.414); 5·23×614(0.140); 17·11×282(0.064); 5·47×225(0.051); 5·59×159(0.036); 29·11×123(0.028); 5·71×118(0.027); 5·83×93(0.021); 17·23×77(0.018); 41·11×68(0.015); 5·107×63(0.014); 5·131×52(0.012)
43,2680,5·11×1174(0.438); 5·23×390(0.146); 17·11×172(0.064); 5·47×131(0.049); 5·59×97(0.036); 5·71×74(0.028); 29·11×69(0.026); 5·83×53(0.020); 41·11×47(0.018); 17·23×44(0.016); 5·107×40(0.015); 53·11×32(0.012)
67,1448,5·11×684(0.472); 5·23×212(0.146); 17·11×88(0.061); 5·47×72(0.050); 5·59×52(0.036); 5·71×40(0.028); 29·11×39(0.027); 5·83×29(0.020); 17·23×25(0.017); 41·11×24(0.017); 5·107×17(0.012); 53·11×14(0.010)
79,1124,5·11×541(0.481); 5·23×171(0.152); 17·11×68(0.060); 5·47×51(0.045); 5·59×40(0.036); 29·11×32(0.028); 5·71×31(0.028); 5·83×24(0.021); 17·23×19(0.017); 5·107×15(0.013); 41·11×15(0.013); 53·11×10(0.009)
103,784,5·11×400(0.510); 5·23×115(0.147); 17·11×50(0.064); 5·47×38(0.048); 5·59×30(0.038); 29·11×23(0.029); 5·71×17(0.022); 5·83×13(0.017); 41·11×10(0.013); 17·23×10(0.013); 5·107×9(0.011); 5·131×8(0.010)
127,564,5·11×297(0.527); 5·23×84(0.149); 17·11×37(0.066); 5·47×30(0.053); 5·59×15(0.027); 29·11×14(0.025); 5·71×13(0.023); 5·83×9(0.016); 41·11×9(0.016); 5·107×8(0.014); 17·23×7(0.012); 5·131×4(0.007)
139,496,5·11×263(0.530); 5·23×76(0.153); 17·11×31(0.062); 5·47×26(0.052); 5·59×15(0.030); 29·11×12(0.024); 5·83×9(0.018); 5·71×9(0.018); 17·23×7(0.014); 41·11×7(0.014); 5·107×4(0.008); 5·131×4(0.008)
151,436,5·11×241(0.553); 5·23×62(0.142); 17·11×26(0.060); 5·47×21(0.048); 5·59×13(0.030); 5·71×9(0.021); 29·11×9(0.021); 5·83×8(0.018); 41·11×7(0.016); 17·23×5(0.011); 5·107×4(0.009); 53·11×3(0.007)
163,392,5·11×215(0.548); 5·23×60(0.153); 17·11×26(0.066); 5·47×17(0.043); 5·59×9(0.023); 29·11×9(0.023); 5·71×9(0.023); 5·83×8(0.020); 41·11×5(0.013); 17·23×5(0.013); 5·107×4(0.010); 53·11×3(0.008)
199,284,5·11×163(0.574); 5·23×45(0.158); 17·11×17(0.060); 5·47×9(0.032); 5·59×9(0.032); 29·11×7(0.025); 5·71×6(0.021); 5·83×4(0.014); 41·11×3(0.011); 17·23×3(0.011); 53·11×2(0.007); 5·191×2(0.007)
211,252,5·11×142(0.563); 5·23×43(0.171); 17·11×16(0.063); 5·47×9(0.036); 5·59×8(0.032); 29·11×7(0.028); 5·71×4(0.016); 5·83×4(0.016); 41·11×3(0.012); 17·23×3(0.012); 5·179×2(0.008); 5·167×2(0.008)
223,244,5·11×139(0.570); 5·23×42(0.172); 17·11×16(0.066); 5·47×9(0.037); 5·59×8(0.033); 29·11×5(0.020); 5·71×4(0.016); 5·83×4(0.016); 17·23×3(0.012); 41·11×2(0.008); 5·167×2(0.008); 5·179×2(0.008)
271,176,5·11×104(0.591); 5·23×32(0.182); 17·11×11(0.062); 5·47×8(0.045); 5·59×4(0.023); 29·11×3(0.017); 5·71×2(0.011); 5·83×2(0.011); 5·107×2(0.011); 5·131×2(0.011); 41·11×2(0.011); 53·11×2(0.011)
283,172,5·11×102(0.593); 5·23×30(0.174); 17·11×11(0.064); 5·47×8(0.047); 5·59×4(0.023); 29·11×3(0.017); 5·71×2(0.012); 5·83×2(0.012); 5·107×2(0.012); 5·131×2(0.012); 41·11×2(0.012); 53·11×2(0.012)
307,140,5·11×85(0.607); 5·23×21(0.150); 17·11×11(0.079); 5·47×6(0.043); 5·59×4(0.029); 5·71×2(0.014); 5·83×2(0.014); 5·107×2(0.014); 29·11×2(0.014); 41·11×2(0.014); 53·11×2(0.014); 17·23×1(0.007)
331,120,5·11×77(0.642); 5·23×17(0.142); 17·11×7(0.058); 5·47×4(0.033); 5·59×2(0.017); 5·71×2(0.017); 5·83×2(0.017); 5·107×2(0.017); 29·11×2(0.017); 41·11×2(0.017); 53·11×2(0.017); 17·23×1(0.008)
367,116,5·11×75(0.647); 5·23×17(0.147); 17·11×7(0.060); 5·47×4(0.034); 5·59×2(0.017); 5·71×2(0.017); 5·83×2(0.017); 5·107×2(0.017); 29·11×2(0.017); 41·11×2(0.017); 17·23×1(0.009)
379,104,5·11×69(0.663); 5·23×15(0.144); 17·11×5(0.048); 5·47×4(0.038); 5·59×2(0.019); 5·71×2(0.019); 5·83×2(0.019); 29·11×2(0.019); 41·11×2(0.019); 17·23×1(0.010)
439,84,5·11×57(0.679); 5·23×11(0.131); 17·11×3(0.036); 5·47×2(0.024); 5·59×2(0.024); 5·71×2(0.024); 5·83×2(0.024); 29·11×2(0.024); 41·11×2(0.024); 17·23×1(0.012)
463,80,5·11×55(0.688); 5·23×11(0.138); 17·11×3(0.037); 5·47×2(0.025); 5·59×2(0.025); 5·71×2(0.025); 5·83×2(0.025); 29·11×2(0.025); 17·23×1(0.013)
487,68,5·11×45(0.662); 5·23×11(0.162); 17·11×3(0.044); 5·47×2(0.029); 5·59×2(0.029); 5·71×2(0.029); 29·11×2(0.029); 17·23×1(0.015)
499,68,5·11×45(0.662); 5·23×11(0.162); 17·11×3(0.044); 5·47×2(0.029); 5·59×2(0.029); 5·71×2(0.029); 29·11×2(0.029); 17·23×1(0.015)
523,64,5·11×44(0.688); 5·23×10(0.156); 5·47×2(0.031); 5·59×2(0.031); 5·71×2(0.031); 17·11×2(0.031); 29·11×2(0.031)
547,64,5·11×44(0.688); 5·23×10(0.156); 5·47×2(0.031); 5·59×2(0.031); 5·71×2(0.031); 17·11×2(0.031); 29·11×2(0.031)
571,60,5·11×42(0.700); 5·23×10(0.167); 5·47×2(0.033); 5·59×2(0.033); 17·11×2(0.033); 29·11×2(0.033)
607,56,5·11×38(0.679); 5·23×10(0.179); 5·47×2(0.036); 5·59×2(0.036); 17·11×2(0.036); 29·11×2(0.036)
619,52,5·11×36(0.692); 5·23×8(0.154); 5·47×2(0.038); 5·59×2(0.038); 17·11×2(0.038); 29·11×2(0.038)
631,48,5·11×34(0.708); 5·23×8(0.167); 5·47×2(0.042); 5·59×2(0.042); 17·11×2(0.042)
643,44,5·11×32(0.727); 5·23×6(0.136); 5·47×2(0.045); 5·59×2(0.045); 17·11×2(0.045)
691,36,5·11×26(0.722); 5·23×6(0.167); 5·47×2(0.056); 17·11×2(0.056)
739,36,5·11×26(0.722); 5·23×6(0.167); 5·47×2(0.056); 17·11×2(0.056)
751,36,5·11×26(0.722); 5·23×6(0.167); 5·47×2(0.056); 17·11×2(0.056)
727,36,5·11×26(0.722); 5·23×6(0.167); 5·47×2(0.056); 17·11×2(0.056)
787,32,5·11×22(0.688); 5·23×6(0.188); 5·47×2(0.062); 17·11×2(0.062)
811,32,5·11×22(0.688); 5·23×6(0.188); 5·47×2(0.062); 17·11×2(0.062)
823,28,5·11×18(0.643); 5·23×6(0.214); 5·47×2(0.071); 17·11×2(0.071)
967,20,5·11×16(0.800); 5·23×2(0.100); 17·11×2(0.100)
1051,20,5·11×16(0.800); 5·23×2(0.100); 17·11×2(0.100)
1039,20,5·11×16(0.800); 5·23×2(0.100); 17·11×2(0.100)
991,20,5·11×16(0.800); 5·23×2(0.100); 17·11×2(0.100)
1063,20,5·11×16(0.800); 5·23×2(0.100); 17·11×2(0.100)
919,20,5·11×16(0.800); 5·23×2(0.100); 17·11×2(0.100)
883,20,5·11×16(0.800); 5·23×2(0.100); 17·11×2(0.100)
859,20,5·11×16(0.800); 5·23×2(0.100); 17·11×2(0.100)
907,20,5·11×16(0.800); 5·23×2(0.100); 17·11×2(0.100)
1087,16,5·11×14(0.875); 5·23×2(0.125)
1123,16,5·11×14(0.875); 5·23×2(0.125)
1171,16,5·11×14(0.875); 5·23×2(0.125)
1231,16,5·11×14(0.875); 5·23×2(0.125)
1303,12,5·11×10(0.833); 5·23×2(0.167)
1327,12,5·11×10(0.833); 5·23×2(0.167)
1291,12,5·11×10(0.833); 5·23×2(0.167)
1279,12,5·11×10(0.833); 5·23×2(0.167)
1723,8,5·11×6(0.750); 5·23×2(0.250)
1699,8,5·11×6(0.750); 5·23×2(0.250)
1663,8,5·11×6(0.750); 5·23×2(0.250)
1627,8,5·11×6(0.750); 5·23×2(0.250)
1543,8,5·11×6(0.750); 5·23×2(0.250)
1567,8,5·11×6(0.750); 5·23×2(0.250)
1579,8,5·11×6(0.750); 5·23×2(0.250)
1531,8,5·11×6(0.750); 5·23×2(0.250)
1471,8,5·11×6(0.750); 5·23×2(0.250)
1459,8,5·11×6(0.750); 5·23×2(0.250)
1447,8,5·11×6(0.750); 5·23×2(0.250)
1423,8,5·11×6(0.750); 5·23×2(0.250)
1399,8,5·11×6(0.750); 5·23×2(0.250)
1483,8,5·11×6(0.750); 5·23×2(0.250)
2887,4,5·11×4(1.000)
3163,4,5·11×4(1.000)
3079,4,5·11×4(1.000)
3067,4,5·11×4(1.000)
3019,4,5·11×4(1.000)
2971,4,5·11×4(1.000)
2791,4,5·11×4(1.000)
2851,4,5·11×4(1.000)
2803,4,5·11×4(1.000)
3259,4,5·11×4(1.000)
2767,4,5·11×4(1.000)
2731,4,5·11×4(1.000)
3187,4,5·11×4(1.000)
3319,4,5·11×4(1.000)
3271,4,5·11×4(1.000)
3307,4,5·11×4(1.000)
