c,total_triplets,top_ab_pairs
11,35292,5·7×13317(0.377); 5·19×3447(0.098); 17·7×2454(0.070); 5·31×1815(0.051); 29·7×1209(0.034); 5·43×1174(0.033); 41·7×784(0.022); 5·67×684(0.019); 17·19×557(0.016); 53·7×554(0.016); 5·79×541(0.015); 5·103×400(0.011)
23,11452,5·7×5002(0.437); 5·19×1192(0.104); 17·7×843(0.074); 5·31×614(0.054); 29·7×397(0.035); 5·43×390(0.034); 41·7×243(0.021); 5·67×212(0.019); 53·7×178(0.016); 17·19×175(0.015); 5·79×171(0.015); 5·103×115(0.010)
47,4084,5·7×2001(0.490); 5·19×445(0.109); 17·7×311(0.076); 5·31×225(0.055); 29·7×141(0.035); 5·43×131(0.032); 41·7×78(0.019); 5·67×72(0.018); 53·7×53(0.013); 17·19×53(0.013); 5·79×51(0.012); 5·103×38(0.009)
59,2964,5·7×1502(0.507); 5·19×331(0.112); 17·7×222(0.075); 5·31×159(0.054); 29·7×99(0.033); 5·43×97(0.033); 41·7×56(0.019); 5·67×52(0.018); 5·79×40(0.013); 53·7×39(0.013); 17·19×37(0.012); 5·103×30(0.010)
71,2264,5·7×1174(0.519); 5·19×250(0.110); 17·7×176(0.078); 5·31×118(0.052); 5·43×74(0.033); 29·7×69(0.030); 41·7×48(0.021); 5·67×40(0.018); 53·7×34(0.015); 5·79×31(0.014); 17·19×27(0.012); 5·103×17(0.008)
83,1840,5·7×989(0.537); 5·19×205(0.111); 17·7×135(0.073); 5·31×93(0.051); 29·7×56(0.030); 5·43×53(0.029); 41·7×41(0.022); 5·67×29(0.016); 53·7×26(0.014); 5·79×24(0.013); 17·19×20(0.011); 5·103×13(0.007)
107,1256,5·7×701(0.558); 5·19×139(0.111); 17·7×91(0.072); 5·31×63(0.050); 5·43×40(0.032); 29·7×39(0.031); 41·7×26(0.021); 5·67×17(0.014); 5·79×15(0.012); 53·7×14(0.011); 17·19×14(0.011); 5·103×9(0.007)
131,956,5·7×546(0.571); 5·19×106(0.111); 17·7×71(0.074); 5·31×52(0.054); 29·7×32(0.033); 5·43×30(0.031); 41·7×14(0.015); 5·67×13(0.014); 17·19×10(0.010); 5·79×9(0.009); 53·7×9(0.009); 5·103×8(0.008)
167,684,5·7×408(0.596); 5·19×71(0.104); 17·7×53(0.077); 5·31×35(0.051); 29·7×23(0.034); 5·43×17(0.025); 5·67×9(0.013); 41·7×9(0.013); 5·79×8(0.012); 53·7×7(0.010); 17·19×7(0.010); 5·103×4(0.006)
179,612,5·7×370(0.605); 5·19×64(0.105); 17·7×44(0.072); 5·31×31(0.051); 29·7×16(0.026); 5·43×15(0.025); 41·7×9(0.015); 5·67×8(0.013); 53·7×7(0.011); 17·19×7(0.011); 5·79×6(0.010); 5·103×4(0.007)
191,544,5·7×329(0.605); 5·19×56(0.103); 17·7×41(0.075); 5·31×30(0.055); 5·43×15(0.028); 29·7×14(0.026); 41·7×9(0.017); 5·67×8(0.015); 53·7×5(0.009); 17·19×5(0.009); 5·79×4(0.007); 137·7×2(0.004)
227,432,5·7×266(0.616); 5·19×48(0.111); 17·7×32(0.074); 5·31×23(0.053); 29·7×11(0.025); 5·43×9(0.021); 41·7×7(0.016); 5·67×4(0.009); 5·79×4(0.009); 53·7×4(0.009); 17·19×4(0.009); 101·7×2(0.005)
239,400,5·7×250(0.625); 5·19×44(0.110); 17·7×28(0.070); 5·31×19(0.048); 5·43×9(0.022); 29·7×9(0.022); 41·7×7(0.018); 5·67×4(0.010); 5·79×4(0.010); 53·7×4(0.010); 101·7×2(0.005); 89·7×2(0.005)
251,372,5·7×232(0.624); 5·19×42(0.113); 17·7×28(0.075); 5·31×17(0.046); 5·43×9(0.024); 29·7×9(0.024); 41·7×5(0.013); 5·67×4(0.011); 53·7×4(0.011); 101·7×2(0.005); 89·7×2(0.005); 17·19×2(0.005)
263,352,5·7×221(0.628); 5·19×41(0.116); 17·7×26(0.074); 5·31×17(0.048); 5·43×9(0.026); 29·7×9(0.026); 41·7×4(0.011); 5·67×4(0.011); 89·7×2(0.006); 53·7×2(0.006); 17·19×2(0.006); 5·151×2(0.006)
311,268,5·7×175(0.653); 5·19×32(0.119); 17·7×18(0.067); 5·31×9(0.034); 5·43×8(0.030); 29·7×7(0.026); 41·7×4(0.015); 5·67×2(0.007); 5·79×2(0.007); 5·103×2(0.007); 5·127×2(0.007); 53·7×2(0.007)
347,224,5·7×149(0.665); 5·19×28(0.125); 17·7×16(0.071); 5·31×9(0.040); 29·7×5(0.022); 5·43×4(0.018); 5·67×2(0.009); 5·79×2(0.009); 5·103×2(0.009); 41·7×2(0.009); 53·7×2(0.009); 17·19×1(0.004)
359,212,5·7×141(0.665); 5·19×26(0.123); 17·7×14(0.066); 5·31×9(0.042); 29·7×5(0.024); 5·43×4(0.019); 5·67×2(0.009); 5·79×2(0.009); 5·103×2(0.009); 41·7×2(0.009); 53·7×2(0.009); 17·19×1(0.005)
383,184,5·7×125(0.679); 5·19×19(0.103); 17·7×13(0.071); 5·31×8(0.043); 5·43×4(0.022); 29·7×4(0.022); 5·67×2(0.011); 5·79×2(0.011); 5·103×2(0.011); 41·7×2(0.011); 53·7×2(0.011); 17·19×1(0.005)
419,164,5·7×111(0.677); 5·19×17(0.104); 17·7×11(0.067); 5·31×8(0.049); 5·43×4(0.024); 29·7×4(0.024); 5·67×2(0.012); 5·79×2(0.012); 41·7×2(0.012); 53·7×2(0.012); 17·19×1(0.006)
431,164,5·7×111(0.677); 5·19×17(0.104); 17·7×11(0.067); 5·31×8(0.049); 5·43×4(0.024); 29·7×4(0.024); 5·67×2(0.012); 5·79×2(0.012); 41·7×2(0.012); 53·7×2(0.012); 17·19×1(0.006)
443,164,5·7×111(0.677); 5·19×17(0.104); 17·7×11(0.067); 5·31×8(0.049); 5·43×4(0.024); 29·7×4(0.024); 5·67×2(0.012); 5·79×2(0.012); 41·7×2(0.012); 53·7×2(0.012); 17·19×1(0.006)
467,152,5·7×105(0.691); 5·19×15(0.099); 17·7×11(0.072); 5·31×6(0.039); 29·7×4(0.026); 5·43×2(0.013); 5·67×2(0.013); 5·79×2(0.013); 41·7×2(0.013); 53·7×2(0.013); 17·19×1(0.007)
479,136,5·7×95(0.699); 5·19×13(0.096); 17·7×11(0.081); 5·31×4(0.029); 5·43×2(0.015); 5·67×2(0.015); 5·79×2(0.015); 29·7×2(0.015); 41·7×2(0.015); 53·7×2(0.015); 17·19×1(0.007)
