shell,count,logR_sum_min,logR_sum_max,mean_R_A,mean_R_B,mean_R_C,share_excA,share_excB,share_excC
S1,884,0.0,1.9613743747528947,1.5212669683257918,1.7000646412411118,2.1179462248980965,0.167420814479638,0.25452488687782804,0.4332579185520362
S2,826,1.9970576602222543,2.940329384341521,2.8601452784503634,3.918910905766665,5.227122646228963,0.3099273607748184,0.4745762711864407,0.6113801452784504
S3,841,2.959903204864022,3.600912377484851,5.403329369797859,6.103545342036933,8.718909994988257,0.3947681331747919,0.5303210463733651,0.6456599286563615
S4,848,3.6167974004288186,4.128280089445491,7.405283018867925,9.309491721216789,12.918602837985343,0.4375,0.5601415094339622,0.7205188679245284
S5,848,4.1285995867724194,4.56567307100298,8.844716981132075,14.559202926453601,20.073249649150164,0.42452830188679247,0.6037735849056604,0.7275943396226415
S6,849,4.566645334562973,5.009509119073606,12.800989399293288,18.313333814091006,25.833922261484098,0.48881036513545345,0.6183745583038869,0.7526501766784452
S7,848,5.009590165016569,5.451528829939386,18.032075471698114,24.29591836734694,36.891938250428815,0.4964622641509434,0.6379716981132075,0.7629716981132075
S8,849,5.453447495719893,5.814515471433284,24.0626148409894,33.38941371601644,51.04725053295564,0.5241460541813898,0.6466431095406361,0.7797408716136631
S9,849,5.814771747196746,6.065916320839937,29.79378091872792,41.97122665320545,64.47609730455859,0.5300353356890459,0.6619552414605419,0.7926972909305064
S10,850,6.065937926072726,6.251617577389365,34.387670588235295,51.63711884753902,74.89316480311133,0.54,0.6741176470588235,0.7917647058823529
