shell,state_key,count
S1,5·5 | 7·7 | 11·11,207
S1,5·5 | 7·7 | 11·23,108
S1,5·5 | 7·19 | 11·11,86
S1,5·17 | 7·7 | 11·11,69
S1,5·5 | 7·7 | 11·47,55
S10,5·41 | 19·31 | 23·23,1
S10,5·5 | 7·7 | 23·2579,1
S10,5·5 | 7·211 | 11·179,1
S10,5·5 | 7·19 | 131·167,1
S10,17·17 | 7·7 | 11·467,1
S2,5·5 | 19·19 | 11·11,34
S2,5·5 | 7·7 | 11·83,34
S2,5·41 | 7·7 | 11·11,31
S2,5·5 | 7·7 | 23·47,29
S2,5·17 | 7·19 | 11·11,28
S3,5·17 | 7·19 | 11·23,15
S3,5·5 | 31·31 | 11·11,14
S3,17·29 | 7·7 | 11·11,14
S3,5·5 | 7·139 | 11·11,14
S3,5·5 | 7·67 | 11·23,14
S4,5·89 | 7·7 | 11·23,8
S4,5·5 | 7·7 | 47·107,7
S4,5·17 | 19·31 | 11·11,7
S4,5·5 | 7·67 | 11·47,7
S4,5·5 | 31·31 | 11·23,7
S5,5·5 | 7·7 | 11·683,5
S5,5·17 | 7·31 | 23·23,5
S5,5·5 | 7·463 | 11·11,5
S5,5·5 | 7·223 | 11·23,5
S5,5·17 | 31·31 | 11·11,5
S6,5·5 | 7·31 | 11·239,3
S6,5·5 | 7·7 | 11·1163,3
S6,5·17 | 19·19 | 11·47,3
S6,5·5 | 7·7 | 23·563,3
S6,5·197 | 7·19 | 11·11,3
S7,5·5 | 19·19 | 23·107,2
S7,5·5 | 19·67 | 11·71,2
S7,5·5 | 7·571 | 11·23,2
S7,5·5 | 19·103 | 11·47,2
S7,5·5 | 7·223 | 11·59,2
S8,5·5 | 7·7 | 59·479,1
S8,5·53 | 7·199 | 11·11,1
S8,5·281 | 7·7 | 11·59,1
S8,5·5 | 7·139 | 11·167,1
S8,5·5 | 7·7 | 191·191,1
S9,5·5 | 7·7 | 47·863,1
S9,5·5 | 7·67 | 47·107,1
S9,17·137 | 7·7 | 11·47,1
S9,5·17 | 7·127 | 11·71,1
S9,5·17 | 7·19 | 23·227,1
