family,prime,occurrences,first_n,first_shell,first_e,first_partner_in_family,first_partner_type,double_share_overall,top_shells (3),top_e (5),top_other_pairs (5),entry_channel
A,269,27,103668565,S4,13,5,baseline,0.0,"S4×6, S8×6, S10×5","13×20, 37×3, 61×1, 73×1, 97×1","7·7 | 11·11×9, 7·7 | 11·23×3, 7·19 | 11·11×3, 7·7 | 11·47×1, 7·7 | 23·23×1",baseline:5
A,281,25,108293185,S4,13,5,baseline,0.0,"S4×6, S8×6, S9×5","13×18, 37×3, 61×1, 73×1, 97×1","7·7 | 11·11×9, 7·7 | 11·23×3, 7·19 | 11·11×3, 7·7 | 11·47×1, 7·7 | 23·23×1",baseline:5
A,293,23,112917805,S4,13,5,baseline,0.0,"S4×6, S8×5, S9×4","13×16, 37×3, 61×1, 73×1, 97×1","7·7 | 11·11×9, 7·7 | 11·23×3, 7·19 | 11·11×2, 7·7 | 11·47×1, 7·7 | 23·23×1",baseline:5
A,317,21,122167045,S5,13,5,baseline,0.0,"S5×5, S9×5, S7×3","13×15, 37×3, 61×1, 73×1, 97×1","7·7 | 11·11×7, 7·7 | 11·23×3, 7·19 | 11·11×2, 7·7 | 11·47×1, 7·7 | 23·23×1",baseline:5
A,353,17,136040905,S5,13,5,baseline,0.0,"S5×4, S8×4, S9×3","13×13, 37×2, 61×1, 73×1","7·7 | 11·11×6, 7·7 | 11·23×3, 7·19 | 11·11×1, 7·7 | 11·47×1, 7·7 | 23·23×1",baseline:5
A,389,16,149914765,S5,13,5,baseline,0.0,"S5×4, S10×4, S7×3","13×12, 37×2, 61×1, 73×1","7·7 | 11·11×6, 7·7 | 11·23×2, 7·19 | 11·11×1, 7·7 | 11·47×1, 7·7 | 23·23×1",baseline:5
A,401,16,154539385,S5,13,5,baseline,0.0,"S5×4, S9×4, S10×4","13×12, 37×2, 61×1, 73×1","7·7 | 11·11×6, 7·7 | 11·23×2, 7·19 | 11·11×1, 7·7 | 11·47×1, 7·7 | 23·23×1",baseline:5
A,449,12,173037865,S5,13,5,baseline,0.0,"S5×4, S9×3, S8×2","13×9, 37×1, 61×1, 73×1","7·7 | 11·11×5, 7·7 | 11·23×1, 7·19 | 11·11×1, 7·7 | 11·47×1, 7·7 | 23·23×1",baseline:5
A,461,11,177662485,S5,13,5,baseline,0.0,"S5×4, S9×3, S8×2","13×8, 37×1, 61×1, 73×1","7·7 | 11·11×5, 7·7 | 11·23×1, 7·19 | 11·11×1, 7·7 | 11·47×1, 7·7 | 23·23×1",baseline:5
A,509,9,196160965,S6,13,5,baseline,0.0,"S6×3, S10×3, S7×1","13×7, 37×1, 61×1","7·7 | 11·11×4, 7·7 | 11·23×1, 7·19 | 11·11×1, 7·7 | 11·47×1, 7·7 | 23·23×1",baseline:5
B,367,29,101025925,S4,13,7,baseline,0.0,"S4×6, S6×5, S7×5","13×20, 37×4, 61×2, 73×1, 97×1","5·5 | 11·11×11, 5·5 | 11·23×5, 5·17 | 11·11×3, 5·5 | 11·47×1, 5·5 | 23·23×1",baseline:7
