pairing,key,A-Paar,C-Paar,lift_100M,count_100M,lift_1B,count_1B,lift_ratio(1B/100M),count_ratio(1B/100M),status,stability_factor,score
A↔C,5·257||11·11,5·257,11·11,2.4066666666666667,1.0,1.6723119338322174,12.0,0.6948664545009213,12.0,in_both,0.7331186937522118,3.144635967413104
A↔C,5·233||11·11,5·233,11·11,2.4066666666666667,1.0,1.6723119338322174,12.0,0.6948664545009213,12.0,in_both,0.7331186937522118,3.144635967413104
A↔C,29·41||11·11,29·41,11·11,2.4066666666666667,1.0,1.6723119338322174,12.0,0.6948664545009213,12.0,in_both,0.7331186937522118,3.144635967413104
A↔C,29·41||11·23,,,,,1.6817173637515843,5.0,,,only_1B,0.85,2.561248059407071
A↔C,5·257||11·23,,,,,1.6817173637515843,5.0,,,only_1B,0.85,2.561248059407071
A↔C,5·233||11·23,,,,,1.6817173637515843,5.0,,,only_1B,0.85,2.561248059407071
A↔C,29·29||11·59,,,,,1.6532121998702143,3.0,,,only_1B,0.85,1.9480629378524843
A↔C,5·257||11·107,,,,,2.327850877192983,1.0,,,only_1B,0.85,1.3715117814467648
A↔C,5·233||11·107,,,,,2.327850877192983,1.0,,,only_1B,0.85,1.3715117814467648
A↔C,29·41||11·107,,,,,2.327850877192983,1.0,,,only_1B,0.85,1.3715117814467648
A↔C,5·149||11·191,,,,,2.2068607068607067,1.0,,,only_1B,0.85,1.3002273853216728
A↔C,17·53||23·71,,,,,2.1347410759175465,1.0,,,only_1B,0.85,1.2577362942980888
A↔C,17·41||47·47,,,,,2.081372549019608,1.0,,,only_1B,0.85,1.2262928869406367
A↔C,29·41||23·47,,,,,2.057170542635659,1.0,,,only_1B,0.85,1.2120336673250476
A↔C,5·257||23·47,,,,,2.057170542635659,1.0,,,only_1B,0.85,1.2120336673250476
A↔C,5·233||23·47,,,,,2.057170542635659,1.0,,,only_1B,0.85,1.2120336673250476
A↔C,29·29||11·167,,,,,2.051207729468599,1.0,,,only_1B,0.85,1.2085205262603376
A↔C,5·137||47·47,,,,,2.04725168756027,1.0,,,only_1B,0.85,1.2061897248596425
A↔C,5·149||11·179,,,,,2.016144349477683,1.0,,,only_1B,0.85,1.1878620557259727
A↔C,5·173||23·71,,,,,1.982259570494865,1.0,,,only_1B,0.85,1.167897987562511
A↔C,5·113||11·239,,,,,1.9657407407407408,1.0,,,only_1B,0.85,1.1581655043328234
A↔C,5·197||11·131,,,,,1.9450297755382504,1.0,,,only_1B,0.85,1.1459631192665591
A↔C,17·41||11·191,,,,,1.9126126126126124,1.0,,,only_1B,0.85,1.1268637339454497
A↔C,5·149||23·83,,,,,1.898926654740608,1.0,,,only_1B,0.85,1.118800308300044
A↔C,5·137||11·191,,,,,1.881258307487816,1.0,,,only_1B,0.85,1.108390557979131
A↔C,5·113||11·227,,,,,1.862280701754386,1.0,,,only_1B,0.85,1.0972094251574118
A↔C,17·53||11·131,,,,,1.845284658843981,1.0,,,only_1B,0.85,1.0871957798169922
A↔C,5·197||23·59,,,,,1.8361081081081083,1.0,,,only_1B,0.85,1.081789184587632
A↔C,5·113||23·107,,,,,1.8301724137931035,1.0,,,only_1B,0.85,1.0782920212753873
A↔C,5·149||11·167,,,,,1.8145299145299143,1.0,,,only_1B,0.85,1.0690758501533753
A↔C,29·29||23·71,,,,,1.8098891730605289,1.0,,,only_1B,0.85,1.0663416408179451
A↔C,17·41||11·179,,,,,1.7473251028806582,1.0,,,only_1B,0.85,1.0294804482958428
A↔C,17·53||23·59,,,,,1.741948717948718,1.0,,,only_1B,0.85,1.0263128161472406
A↔C,5·137||11·179,,,,,1.718680429062943,1.0,,,only_1B,0.85,1.0126037196352555
A↔C,5·173||11·131,,,,,1.7134786117836969,1.0,,,only_1B,0.85,1.0095389384014926
A↔C,5·101||11·239,,,,,1.672970843183609,1.0,,,only_1B,0.85,0.9856727696449561
A↔C,29·41||11·83,,,,,1.6611893583724568,1.0,,,only_1B,0.85,0.9787314121122449
A↔C,5·233||11·83,,,,,1.6611893583724568,1.0,,,only_1B,0.85,0.9787314121122449
A↔C,5·257||11·83,,,,,1.6611893583724568,1.0,,,only_1B,0.85,0.9787314121122449
A↔C,17·41||23·83,,,,,1.645736434108527,1.0,,,only_1B,0.85,0.969626933860038
A↔C,17·17||11·11,17·17,11·11,1.3752380952380956,4.0,,,,,only_100M,0.75,
A↔C,17·17||11·47,17·17,11·47,2.344155844155844,1.0,,,,,only_100M,0.75,
A↔C,17·17||23·23,17·17,23·23,2.5785714285714287,1.0,,,,,only_100M,0.75,
A↔C,17·29||11·23,17·29,11·23,3.281818181818182,1.0,,,,,only_100M,0.75,
A↔C,17·41||11·11,17·41,11·11,2.4066666666666667,1.0,,,,,only_100M,0.75,
A↔C,17·53||11·11,17·53,11·11,2.4066666666666667,1.0,,,,,only_100M,0.75,
A↔C,29·29||11·11,29·29,11·11,2.4066666666666667,1.0,,,,,only_100M,0.75,
A↔C,5·101||11·23,5·101,11·23,3.281818181818182,1.0,,,,,only_100M,0.75,
A↔C,5·113||11·23,5·113,11·23,3.281818181818182,1.0,,,,,only_100M,0.75,
A↔C,5·137||11·11,5·137,11·11,2.4066666666666667,1.0,,,,,only_100M,0.75,
