P_A,P_B,P_C,sigA,sigB,sigC,count,n_min,n_max,top_e (bis 5)
25,49,121,5·5,7·7,11·11,207,1926925,997998925,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,253,5·5,7·7,11·23,108,4029025,997028725,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,121,5·5,7·19,11·11,86,5230225,994949725,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,121,5·17,7·7,11·11,69,6551545,974164345,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,517,5·5,7·7,11·47,55,8233225,981020425,"13×1, 37×1, 61×1, 73×1, 97×1"
25,217,121,5·5,7·31,11·11,54,8533525,977416825,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,529,5·5,7·7,23·23,54,8424325,964909225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,649,5·5,7·7,11·59,48,10335325,992986225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,253,5·5,7·19,11·23,44,10935925,969932425,"13×1, 37×1, 61×1, 73×1, 97×1"
145,49,121,5·29,7·7,11·11,44,11176165,991239865,"13×1, 37×1, 61×1, 73×1, 97×1"
25,301,121,5·5,7·43,11·11,41,11836825,995203825,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,781,5·5,7·7,11·71,39,12437425,988296925,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,253,5·17,7·7,11·23,35,13698685,987359065,"13×1, 37×1, 61×1, 73×1, 97×1"
25,361,121,5·5,19·19,11·11,34,14196325,957705925,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,913,5·5,7·7,11·83,34,14539525,980858725,"13×1, 37×1, 61×1, 73×1, 97×1"
205,49,121,5·41,7·7,11·11,31,15800785,934677205,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,1081,5·5,7·7,23·47,29,17214925,970656925,"13×1, 37×1, 61×1, 73×1, 97×1"
85,133,121,5·17,7·19,11·11,28,17782765,969844645,"13×1, 37×1, 61×1, 73×1, 97×1"
25,217,253,5·5,7·31,11·23,28,17842825,973120225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,469,121,5·5,7·67,11·11,27,18443425,954801925,"13×1, 37×1, 61×1, 73×1, 97×1"
