channel,W,count,cluster_prob,random_prob,delta
11,1000,73392,0.5039309997138613,0.535939469394694,-0.032008469680832596
11,3000,73392,0.8933247945933425,0.9022378671360141,-0.008913072542671596
11,5000,73392,0.9781989617255522,0.9796405820291014,-0.001441620303549218
11,10000,73392,0.9997274870215694,0.9997577757775777,-3.0288756008300943e-05
11,30000,73392,1.0,1.0,0.0
11,50000,73392,1.0,1.0,0.0
17,1000,73616,0.5074509271208314,0.5364771647716478,-0.029026237650816356
17,3000,73616,0.893418460911499,0.9006058181745452,-0.007187357263046201
17,5000,73616,0.9783332201317666,0.9786885344267213,-0.0003553142949547228
17,10000,73616,0.9994158799157781,0.9992773277327732,0.0001385521830048475
17,30000,73616,1.0,1.0,0.0
17,50000,73616,1.0,1.0,0.0
29,1000,73352,0.5079549017736636,0.5341762317623177,-0.026221329988654007
29,3000,73352,0.8920669111532222,0.9012238367151014,-0.009156925561879192
29,5000,73352,0.9778462461316137,0.9792765638281914,-0.0014303176965776432
29,10000,73352,0.999672806096713,0.9996927692769277,-1.9963180214688236e-05
29,30000,73352,1.0,1.0,0.0
29,50000,73352,1.0,1.0,0.0
41,1000,73447,0.5057729488331564,0.5349881598815989,-0.02921521104844249
41,3000,73447,0.8938539879639463,0.9010912427372821,-0.007237254773335811
41,5000,73447,0.9777659777251314,0.9778185009250463,-5.252319991488896e-05
41,10000,73447,0.9994145358494676,0.9994453445344534,-3.080868498583911e-05
41,30000,73447,1.0,1.0,0.0
41,50000,73447,1.0,1.0,0.0
47,1000,73336,0.5089384332174268,0.5324879248792488,-0.023549491661821964
47,3000,73336,0.8920433626508488,0.8993643809314279,-0.0073210182805790724
47,5000,73336,0.9777050521579055,0.9786827341367068,-0.0009776819788013258
47,10000,73336,0.9996863707643008,0.9997613761376137,-7.500537331295298e-05
47,30000,73336,1.0,1.0,0.0
47,50000,73336,1.0,1.0,0.0
59,1000,73162,0.5052145268654065,0.5342685426854269,-0.02905401582002043
59,3000,73162,0.8918549500416889,0.9006370191105734,-0.008782069068884457
59,5000,73162,0.9776383592351116,0.9794245712285614,-0.00178621199344986
59,10000,73162,0.9994395921324203,0.9995393539353935,-9.976180297321946e-05
59,30000,73162,1.0,1.0,0.0
59,50000,73162,1.0,1.0,0.0
