N,channel,W,count,cluster_prob,random_prob,delta
10000000,11,1000,9936,0.6160040261701056,0.650947094709471,-0.03494306853936535
10000000,17,1000,9874,0.6247341233667578,0.6453722372237224,-0.02063811385696457
10000000,29,1000,9745,0.6139162561576355,0.6434803480348035,-0.02956409187716802
10000000,41,1000,9859,0.617366605802394,0.6425602560256025,-0.02519365022320852
10000000,47,1000,9799,0.6191059399877527,0.6428742874287429,-0.023768347440990212
10000000,59,1000,9760,0.6170714212521775,0.642018101810181,-0.02494668055800353
20000000,11,1000,18114,0.5835587699442389,0.6149342967148358,-0.03137552677059685
20000000,17,1000,18025,0.5872725255215269,0.6116364318215911,-0.024363906300064242
20000000,29,1000,17771,0.5782217220033765,0.6069637981899095,-0.028742076186533017
20000000,41,1000,17908,0.5784330150220585,0.6086444822241112,-0.0302114672020527
20000000,47,1000,17815,0.5838666217581677,0.6048922446122306,-0.021025622854062842
20000000,59,1000,17767,0.5786896318811212,0.6061922596129806,-0.027502627731859408
50000000,11,1000,39931,0.5362885048835462,0.566880137602752,-0.03059163271920584
50000000,17,1000,39956,0.5383556501063697,0.5661165223304466,-0.02776087222407697
50000000,29,1000,39839,0.5382298308147999,0.5659093181863637,-0.027679487371563782
50000000,41,1000,39972,0.5367391358735083,0.5656545330906618,-0.028915397217153527
50000000,47,1000,39766,0.5399723374827109,0.5618633772675453,-0.02189103978483442
50000000,59,1000,39630,0.5333467914910798,0.5651772835456709,-0.0318304920545911
100000000,11,1000,73392,0.5039309997138613,0.535939469394694,-0.032008469680832596
100000000,17,1000,73616,0.5074509271208314,0.5364771647716478,-0.029026237650816356
100000000,29,1000,73352,0.5079549017736636,0.5341762317623177,-0.026221329988654007
100000000,41,1000,73447,0.5057729488331564,0.5349881598815989,-0.02921521104844249
100000000,47,1000,73336,0.5089384332174268,0.5324879248792488,-0.023549491661821964
100000000,59,1000,73162,0.5052145268654065,0.5342685426854269,-0.02905401582002043
200000000,11,1000,135622,0.47584813561321626,0.5071362906814534,-0.03128815506823712
200000000,17,1000,135709,0.47849795148406876,0.5065447327236636,-0.028046781239594865
200000000,29,1000,135395,0.4778941459739723,0.5049358696793484,-0.027041723705376164
200000000,41,1000,135792,0.4777857148117327,0.5060198300991505,-0.028234115287417816
200000000,47,1000,135510,0.47959176143281995,0.5040715203576018,-0.02447975892478188
200000000,59,1000,135336,0.4774744153397126,0.5053033215166076,-0.02782890617689504
