W,Delta_11,Delta_17,Delta_29,Delta_41,Delta_47,Delta_59,P_11_47,P_17_41,S_seam_29_59,Edge_59_vs_rest,Delta_59_minus_mean_all,Dom_11_47_vs_17_41,Dom_11_47_vs_seam_abs
300,-0.04231570603079576,-0.041470190042111194,-0.04016099004361812,-0.0405735527213508,-0.039163056465879975,-0.04108716737446111,0.003152649564915788,0.0008966373207603962,-0.0009261773308429921,-0.0003504683137099396,-0.0002920569280916163,0.002256012244155392,0.002226472234072796
400,-0.04704177226284567,-0.04553624086748276,-0.04398795409205811,-0.04399698677960737,-0.04168301316921286,-0.04571318684016168,0.0053587590936328144,0.0015392540878753913,-0.0017252327481035723,-0.00126399340592033,-0.0010533278382669417,0.003819505005757423,0.003633526345529242
500,-0.028450960153104388,-0.02631924228497462,-0.02513155694997604,-0.024287373360655617,-0.021186740322672204,-0.025618705863922064,0.007264219830432184,0.0020318689243190025,-0.0004871489139460228,-0.0005435312496454917,-0.0004529427080379074,0.005232350906113181,0.006777070916486161
600,-0.05412227370544126,-0.05213455433141967,-0.050931099624990095,-0.05028886507887731,-0.04655814383061302,-0.0515256963868575,0.00756412987482824,0.0018456892525423596,-0.0005945967618674053,-0.0007187090725892312,-0.0005989242271576892,0.005718440622285881,0.006969533112960835
700,-0.02980714036553811,-0.028229755928117772,-0.02544652452843993,-0.02482323994523944,-0.022284845151169186,-0.02681357703239423,0.007522295214368924,0.003406515982878333,-0.0013670525039543024,-0.0006952758486933434,-0.0005793965405777868,0.0041157792314905906,0.006155242710414621
800,-0.024885772035954268,-0.022337765608910154,-0.02027049997892294,-0.020343865978272646,-0.016935949004081297,-0.021966209229044242,0.007949823031872971,0.001993899630637508,-0.0016957092501213022,-0.0010114387078159828,-0.0008428655898466524,0.005955923401235463,0.006254113781751669
900,-0.03436416514489632,-0.03140184386231043,-0.029665943236688697,-0.030149749951698834,-0.026977771404768036,-0.031043897005882504,0.007386393740128283,0.0012520939106115958,-0.001377953769193807,-0.000532002285810039,-0.0004433352381750348,0.006134299829516687,0.006008439970934476
1000,-0.03128815506823712,-0.028046781239594865,-0.027041723705376164,-0.028234115287417816,-0.02447975892478188,-0.02782890617689504,0.006808396143455242,-0.00018733404782295127,-0.0007871824715188769,-1.0799331813471369e-05,-8.999443177892807e-06,0.006995730191278193,0.006021213671936365
1200,-0.03128385711462767,-0.02833829511598518,-0.029390535748579638,-0.029647301698348727,-0.02633663992510049,-0.02920757935989593,0.0049472171895271755,-0.0013090065823635477,0.00018295638868370823,-0.00020825343936758944,-0.00017354453280632454,0.006256223771890723,0.004764260800843467
1500,-0.027120293959382424,-0.02366149789628591,-0.0260929533193488,-0.025230565173152586,-0.02279568921295172,-0.024598914704480834,0.004324604746430705,-0.0015690672768666758,0.0014940386148679652,0.00038128520774345295,0.0003177376731195447,0.0058936720232973805,0.0028305661315627395
2000,-0.011459490020940377,-0.009619750340221556,-0.010620489774332054,-0.009214016582875573,-0.008195269740962408,-0.0095258855865612,0.0032642202799779696,0.00040573375734598294,0.0010946041877708534,0.00029591770530519243,0.000246598087754327,0.0028584865226319867,0.002169616092207116
3000,-0.010436252381119115,-0.007766267764391155,-0.009605163258505689,-0.008350820760540278,-0.007757407274627703,-0.008295902153092394,0.002678845106491412,-0.0005845529961491236,0.0013092611054132952,0.0004872801347443941,0.00040606677895366206,0.0032633981026405356,0.0013695840010781168
