N,W,channel,count,cluster_prob,random_prob,delta
200000000,300,11,135622,0.14712323312761297,0.18943893915840873,-0.04231570603079576
200000000,300,17,135709,0.1480752792760928,0.18954546931820399,-0.041470190042111194
200000000,300,29,135395,0.14875843833552446,0.18891942837914258,-0.04016099004361812
200000000,300,41,135792,0.14892003151902555,0.18949358424037635,-0.0405735527213508
200000000,300,47,135510,0.14990886214199795,0.18907191860787792,-0.039163056465879975
200000000,300,59,135336,0.14786271105035653,0.18894987842481764,-0.04108716737446111
200000000,400,11,135622,0.19781597245264376,0.24485774471548943,-0.04704177226284567
200000000,400,17,135709,0.19936923394346687,0.24490547481094962,-0.04553624086748276
200000000,400,29,135395,0.20010487909360827,0.24409283318566638,-0.04398795409205811
200000000,400,41,135792,0.20078650278737176,0.24478348956697912,-0.04399698677960737
200000000,400,47,135510,0.20249577518836387,0.24417878835757673,-0.04168301316921286
200000000,400,59,135336,0.19851479661580523,0.2442279834559669,-0.04571318684016168
200000000,500,11,135622,0.2679157357636354,0.2963666959167398,-0.028450960153104388
200000000,500,17,135709,0.2699840834733398,0.2963033257583144,-0.02631924228497462
200000000,500,29,135395,0.27024092648123255,0.2953724834312086,-0.02513155694997604
200000000,500,41,135792,0.27183686694994513,0.29612424031060075,-0.024287373360655617
200000000,500,47,135510,0.27405559778317307,0.29524233810584527,-0.021186740322672204
200000000,500,59,135336,0.26989322791591236,0.2955119337798344,-0.025618705863922064
200000000,600,11,135622,0.2909505165129294,0.3450727902183707,-0.05412227370544126
200000000,600,17,135709,0.29277566539923955,0.3449102197306592,-0.05213455433141967
200000000,600,29,135395,0.2929228769369396,0.3438539765619297,-0.050931099624990095
200000000,600,41,135792,0.2943567688580245,0.3446456339369018,-0.05028886507887731
200000000,600,47,135510,0.29693968666287845,0.3434978304934915,-0.04655814383061302
200000000,600,59,135336,0.2924742306129235,0.343999926999781,-0.0515256963868575
200000000,700,11,135622,0.3600769792288805,0.3898841195944186,-0.02980714036553811
200000000,700,17,135709,0.36143779290830313,0.3896675488364209,-0.028229755928117772
200000000,700,29,135395,0.3629776799562758,0.3884242044847157,-0.02544652452843993
200000000,700,41,135792,0.36442032240722877,0.3892435623524682,-0.02482323994523944
200000000,700,47,135510,0.3656067124692825,0.3878915576204517,-0.022284845151169186
200000000,700,59,135336,0.361813278161599,0.3886268551939932,-0.02681357703239423
200000000,800,11,135622,0.4069060101311744,0.43179178216712866,-0.024885772035954268
200000000,800,17,135709,0.40914316031479353,0.4314809259237037,-0.022337765608910154
200000000,800,29,135395,0.40981136534853835,0.4300818653274613,-0.02027049997892294
200000000,800,41,135792,0.4105868577446222,0.43093072372289487,-0.020343865978272646
200000000,800,47,135510,0.41246706860798915,0.42940301761207045,-0.016935949004081297
200000000,800,59,135336,0.40837920715262127,0.4303454163816655,-0.021966209229044242
200000000,900,11,135622,0.43644420849278504,0.47080837363768135,-0.03436416514489632
200000000,900,17,135709,0.43895717275326435,0.4703590166155748,-0.03140184386231043
200000000,900,29,135395,0.43917751155885787,0.46884345479554657,-0.029665943236688697
200000000,900,41,135792,0.43961676399761396,0.4697665139493128,-0.030149749951698834
200000000,900,47,135510,0.44107033481170993,0.46804810621647797,-0.026977771404768036
200000000,900,59,135336,0.4381276092658957,0.4691715062717782,-0.031043897005882504
200000000,1000,11,135622,0.47584813561321626,0.5071362906814534,-0.03128815506823712
200000000,1000,17,135709,0.47849795148406876,0.5065447327236636,-0.028046781239594865
200000000,1000,29,135395,0.4778941459739723,0.5049358696793484,-0.027041723705376164
200000000,1000,41,135792,0.4777857148117327,0.5060198300991505,-0.028234115287417816
200000000,1000,47,135510,0.47959176143281995,0.5040715203576018,-0.02447975892478188
200000000,1000,59,135336,0.4774744153397126,0.5053033215166076,-0.02782890617689504
200000000,1200,11,135622,0.5412657331829142,0.5725495902975418,-0.03128385711462767
200000000,1200,17,135709,0.5433725351489964,0.5717108302649816,-0.02833829511598518
200000000,1200,29,135395,0.5408068304356175,0.5701973661841971,-0.029390535748579638
200000000,1200,41,135792,0.541759026739622,0.5714063284379707,-0.029647301698348727
