n,e,a1,a2,b1,b2,c1,c2,abc_block,P_A,P_B,P_C,R_A,R_B,R_C,Excitation,Faktorisierung,theta_sum_mod_2pi,wedge_sum,wedge_norm_sum
1926925,13,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,13 * 5 * 5 * 7 * 7 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
4029025,13,5,5,7,7,11,23,309925,25,49,253,1.0,1.0,2.090909090909091,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 23,3.19709115883551,10.0,1.2615384615384615
5230225,13,5,5,7,19,11,11,402325,25,133,121,1.0,2.7142857142857144,1.0,B-excitation,13 * 5 * 5 * 7 * 19 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
5484325,37,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,37 * 5 * 5 * 7 * 7 * 11 * 11,3.6199450849684505,10.0,0.9621621621621622
6551545,13,5,17,7,7,11,11,503965,85,49,121,3.4,1.0,1.0,A-excitation,13 * 5 * 17 * 7 * 7 * 11 * 11,3.4157601047094523,12.0,1.0968325791855205
8233225,13,5,5,7,7,11,47,633325,25,49,517,1.0,1.0,4.2727272727272725,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 47,3.19709115883551,10.0,1.2615384615384615
8424325,13,5,5,7,7,23,23,648025,25,49,529,1.0,1.0,4.371900826446281,C-doppel,13 * 5 * 5 * 7 * 7 * 23 * 23,3.19709115883551,10.0,1.2615384615384615
8533525,13,5,5,7,31,11,11,656425,25,217,121,1.0,4.428571428571429,1.0,B-excitation,13 * 5 * 5 * 7 * 31 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
9041725,61,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,61 * 5 * 5 * 7 * 7 * 11 * 11,3.0903554861863745,34.0,1.2918032786885245
10335325,13,5,5,7,7,11,59,795025,25,49,649,1.0,1.0,5.363636363636363,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 59,3.19709115883551,10.0,1.2615384615384615
10820425,73,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,73 * 5 * 5 * 7 * 7 * 11 * 11,3.426323092112505,28.0,1.1287671232876713
10935925,13,5,5,7,19,11,23,841225,25,133,253,1.0,2.7142857142857144,2.090909090909091,B+C-multi,13 * 5 * 5 * 7 * 19 * 11 * 23,3.19709115883551,10.0,1.2615384615384615
11176165,13,5,29,7,7,11,11,859705,145,49,121,5.8,1.0,1.0,A-excitation,13 * 5 * 29 * 7 * 7 * 11 * 11,3.2802323907239512,18.0,1.2063660477453582
11467225,37,5,5,7,7,11,23,309925,25,49,253,1.0,1.0,2.090909090909091,C-excitation,37 * 5 * 5 * 7 * 7 * 11 * 23,3.6199450849684505,10.0,0.9621621621621622
11836825,13,5,5,7,43,11,11,910525,25,301,121,1.0,6.142857142857143,1.0,B-excitation,13 * 5 * 5 * 7 * 43 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
12437425,13,5,5,7,7,11,71,956725,25,49,781,1.0,1.0,6.454545454545454,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 71,3.19709115883551,10.0,1.2615384615384615
13698685,13,5,17,7,7,11,23,1053745,85,49,253,3.4,1.0,2.090909090909091,A+C-multi,13 * 5 * 17 * 7 * 7 * 11 * 23,3.4157601047094523,12.0,1.0968325791855205
14196325,13,5,5,19,19,11,11,1092025,25,361,121,1.0,7.36734693877551,1.0,B-excitation,13 * 5 * 5 * 19 * 19 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
14377825,97,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,97 * 5 * 5 * 7 * 7 * 11 * 11,3.366869432803848,40.0,1.1711340206185568
14539525,13,5,5,7,7,11,83,1118425,25,49,913,1.0,1.0,7.545454545454546,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 83,3.19709115883551,10.0,1.2615384615384615
14886025,37,5,5,7,19,11,11,402325,25,133,121,1.0,2.7142857142857144,1.0,B-excitation,37 * 5 * 5 * 7 * 19 * 11 * 11,3.6199450849684505,10.0,0.9621621621621622
15800785,13,5,41,7,7,11,11,1215445,205,49,121,8.2,1.0,1.0,A-excitation,13 * 5 * 41 * 7 * 7 * 11 * 11,2.9859978256127633,28.0,1.349343339587242
16156525,109,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,grundzustand,109 * 5 * 5 * 7 * 7 * 11 * 11,3.4936369679052106,34.0,1.075229357798165
17214925,13,5,5,7,7,23,47,1324225,25,49,1081,1.0,1.0,8.933884297520661,C-excitation,13 * 5 * 5 * 7 * 7 * 23 * 47,3.19709115883551,10.0,1.2615384615384615
17782765,13,5,17,7,19,11,11,1367905,85,133,121,3.4,2.7142857142857144,1.0,A+B-multi,13 * 5 * 17 * 7 * 19 * 11 * 11,3.4157601047094523,12.0,1.0968325791855205
17842825,13,5,5,7,31,11,23,1372525,25,217,253,1.0,4.428571428571429,2.090909090909091,B+C-multi,13 * 5 * 5 * 7 * 31 * 11 * 23,3.19709115883551,10.0,1.2615384615384615
18443425,13,5,5,7,67,11,11,1418725,25,469,121,1.0,9.571428571428571,1.0,B-excitation,13 * 5 * 5 * 7 * 67 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
18646705,37,5,17,7,7,11,11,503965,85,49,121,3.4,1.0,1.0,A-excitation,37 * 5 * 17 * 7 * 7 * 11 * 11,3.8386140308423924,12.0,0.7974562798092211
18743725,13,5,5,7,7,11,107,1441825,25,49,1177,1.0,1.0,9.727272727272727,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 107,3.19709115883551,10.0,1.2615384615384615
18905425,61,5,5,7,7,11,23,309925,25,49,253,1.0,1.0,2.090909090909091,C-excitation,61 * 5 * 5 * 7 * 7 * 11 * 23,3.0903554861863745,34.0,1.2918032786885245
20425405,13,5,53,7,7,11,11,1571185,265,49,121,10.6,1.0,1.0,A-excitation,13 * 5 * 53 * 7 * 7 * 11 * 11,3.382439108831205,22.0,1.125689404934688
21610225,13,5,5,7,7,23,59,1662325,25,49,1357,1.0,1.0,11.214876033057852,C-excitation,13 * 5 * 5 * 7 * 7 * 23 * 59,3.19709115883551,10.0,1.2615384615384615
21746725,13,5,5,7,79,11,11,1672825,25,553,121,1.0,11.285714285714286,1.0,B-excitation,13 * 5 * 5 * 7 * 79 * 11 * 11,3.19709115883551,10.0,1.2615384615384615
22275253,13,17,17,7,7,11,11,1713481,289,49,121,11.56,1.0,1.0,A-excitation,13 * 17 * 17 * 7 * 7 * 11 * 11,3.6344290505833943,14.0,0.9321266968325792
22347325,13,5,5,7,19,11,47,1719025,25,133,517,1.0,2.7142857142857144,4.2727272727272725,B+C-multi,13 * 5 * 5 * 7 * 19 * 11 * 47,3.19709115883551,10.0,1.2615384615384615
22624525,73,5,5,7,7,11,23,309925,25,49,253,1.0,1.0,2.090909090909091,C-excitation,73 * 5 * 5 * 7 * 7 * 11 * 23,3.426323092112505,28.0,1.1287671232876713
22866025,13,5,5,7,19,23,23,1758925,25,133,529,1.0,2.7142857142857144,4.371900826446281,B+C-multi,13 * 5 * 5 * 7 * 19 * 23 * 23,3.19709115883551,10.0,1.2615384615384615
22947925,13,5,5,7,7,11,131,1765225,25,49,1441,1.0,1.0,11.909090909090908,C-excitation,13 * 5 * 5 * 7 * 7 * 11 * 131,3.19709115883551,10.0,1.2615384615384615
