n,e,a1,a2,b1,b2,c1,c2,abc_block,P_A,P_B,P_C,R_A,R_B,R_C,logR_A,logR_B,logR_C,logR_sum,excA,excB,excC,exc_combo,sigA,sigB,sigC,Faktorisierung,theta_sum_mod_2pi,wedge_sum,wedge_norm_sum,shell,state_key
1926925,13,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False,False,grundzustand,5·5,7·7,11·11,13 * 5 * 5 * 7 * 7 * 11 * 11,3.19709115883551,10.0,1.2615384615384615,S1,5·5 | 7·7 | 11·11
4029025,13,5,5,7,7,11,23,309925,25,49,253,1.0,1.0,2.090909090909091,0.0,0.0,0.7375989431307791,0.7375989431307791,False,False,True,C,5·5,7·7,11·23,13 * 5 * 5 * 7 * 7 * 11 * 23,3.19709115883551,10.0,1.2615384615384615,S1,5·5 | 7·7 | 11·23
5230225,13,5,5,7,19,11,11,402325,25,133,121,1.0,2.7142857142857144,1.0,0.0,0.9985288301111273,0.0,0.9985288301111273,False,True,False,B,5·5,7·19,11·11,13 * 5 * 5 * 7 * 19 * 11 * 11,3.19709115883551,10.0,1.2615384615384615,S1,5·5 | 7·19 | 11·11
5484325,37,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False,False,grundzustand,5·5,7·7,11·11,37 * 5 * 5 * 7 * 7 * 11 * 11,3.6199450849684505,10.0,0.9621621621621622,S1,5·5 | 7·7 | 11·11
6551545,13,5,17,7,7,11,11,503965,85,49,121,3.4,1.0,1.0,1.2237754316221157,0.0,0.0,1.2237754316221157,True,False,False,A,5·17,7·7,11·11,13 * 5 * 17 * 7 * 7 * 11 * 11,3.4157601047094523,12.0,1.0968325791855205,S1,5·17 | 7·7 | 11·11
8233225,13,5,5,7,7,11,47,633325,25,49,517,1.0,1.0,4.2727272727272725,0.0,0.0,1.452252328911688,1.452252328911688,False,False,True,C,5·5,7·7,11·47,13 * 5 * 5 * 7 * 7 * 11 * 47,3.19709115883551,10.0,1.2615384615384615,S1,5·5 | 7·7 | 11·47
8424325,13,5,5,7,7,23,23,648025,25,49,529,1.0,1.0,4.371900826446281,0.0,0.0,1.4751978862615585,1.4751978862615585,False,False,True,C,5·5,7·7,23·23,13 * 5 * 5 * 7 * 7 * 23 * 23,3.19709115883551,10.0,1.2615384615384615,S1,5·5 | 7·7 | 23·23
8533525,13,5,5,7,31,11,11,656425,25,217,121,1.0,4.428571428571429,1.0,0.0,1.488077055429833,0.0,1.488077055429833,False,True,False,B,5·5,7·31,11·11,13 * 5 * 5 * 7 * 31 * 11 * 11,3.19709115883551,10.0,1.2615384615384615,S1,5·5 | 7·31 | 11·11
9041725,61,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False,False,grundzustand,5·5,7·7,11·11,61 * 5 * 5 * 7 * 7 * 11 * 11,3.0903554861863745,34.0,1.2918032786885245,S1,5·5 | 7·7 | 11·11
10335325,13,5,5,7,7,11,59,795025,25,49,649,1.0,1.0,5.363636363636363,0.0,0.0,1.6796421711073488,1.6796421711073488,False,False,True,C,5·5,7·7,11·59,13 * 5 * 5 * 7 * 7 * 11 * 59,3.19709115883551,10.0,1.2615384615384615,S1,5·5 | 7·7 | 11·59
10820425,73,5,5,7,7,11,11,148225,25,49,121,1.0,1.0,1.0,0.0,0.0,0.0,0.0,False,False,False,grundzustand,5·5,7·7,11·11,73 * 5 * 5 * 7 * 7 * 11 * 11,3.426323092112505,28.0,1.1287671232876713,S1,5·5 | 7·7 | 11·11
