state,nu2,nu3,sigma5,eps5,wE,wA,wB,wC,inner_weight,balance,energy_diag,is_vollschale_1111,is_closed_equal
"|0,0,0;0;0,2,1,0>",0,0,0,0,0,2,1,0,3,1,13.8,False,False
"|0,0,0;0;0,2,0,0>",0,0,0,0,0,2,0,0,2,4,14.0,False,False
"|1,0,0;0;0,2,1,0>",1,0,0,0,0,2,1,0,3,1,14.8,False,False
"|0,0,0;1;0,2,1,0>",0,0,0,1,0,2,1,0,3,1,14.9,False,False
"|0,1,0;0;0,2,1,0>",0,1,0,0,0,2,1,0,3,1,15.0,False,False
"|1,0,0;0;0,2,0,0>",1,0,0,0,0,2,0,0,2,4,15.0,False,False
"|0,0,0;1;0,2,0,0>",0,0,0,1,0,2,0,0,2,4,15.1,False,False
"|0,1,0;0;0,2,0,0>",0,1,0,0,0,2,0,0,2,4,15.2,False,False
"|1,0,0;1;0,2,1,0>",1,0,0,1,0,2,1,0,3,1,15.9,False,False
"|0,1,0;1;0,2,1,0>",0,1,0,1,0,2,1,0,3,1,16.1,False,False
"|1,0,0;1;0,2,0,0>",1,0,0,1,0,2,0,0,2,4,16.1,False,False
"|0,1,0;1;0,2,0,0>",0,1,0,1,0,2,0,0,2,4,16.3,False,False
"|0,0,0;0;0,2,2,0>",0,0,0,0,0,2,2,0,4,0,16.6,False,False
"|1,0,0;0;0,2,2,0>",1,0,0,0,0,2,2,0,4,0,17.6,False,False
"|0,0,0;1;0,2,2,0>",0,0,0,1,0,2,2,0,4,0,17.700000000000003,False,False
"|0,1,0;0;0,2,2,0>",0,1,0,0,0,2,2,0,4,0,17.799999999999997,False,False
"|1,0,0;1;0,2,2,0>",1,0,0,1,0,2,2,0,4,0,18.700000000000003,False,False
"|0,1,0;1;0,2,2,0>",0,1,0,1,0,2,2,0,4,0,18.9,False,False
"|0,0,0;0;1,2,1,0>",0,0,0,0,1,2,1,0,4,2,19.0,False,False
"|0,0,0;0;1,2,0,0>",0,0,0,0,1,2,0,0,3,5,19.2,False,False
"|0,0,1;0;0,2,1,0>",0,0,1,0,0,2,1,0,3,1,19.6,False,False
"|0,0,1;0;0,2,0,0>",0,0,1,0,0,2,0,0,2,4,19.8,False,False
"|0,0,0;0;0,2,1,1>",0,0,0,0,0,2,1,1,4,2,19.9,False,False
"|1,0,0;0;1,2,1,0>",1,0,0,0,1,2,1,0,4,2,20.0,False,False
"|0,0,0;0;0,2,0,1>",0,0,0,0,0,2,0,1,3,5,20.1,False,False
"|0,0,0;1;1,2,1,0>",0,0,0,1,1,2,1,0,4,2,20.1,False,False
"|0,1,0;0;1,2,1,0>",0,1,0,0,1,2,1,0,4,2,20.2,False,False
"|1,0,0;0;1,2,0,0>",1,0,0,0,1,2,0,0,3,5,20.2,False,False
"|0,0,0;1;1,2,0,0>",0,0,0,1,1,2,0,0,3,5,20.3,False,False
"|0,1,0;0;1,2,0,0>",0,1,0,0,1,2,0,0,3,5,20.4,False,False
"|0,0,1;1;0,2,1,0>",0,0,1,1,0,2,1,0,3,1,20.700000000000003,False,False
"|1,0,0;0;0,2,1,1>",1,0,0,0,0,2,1,1,4,2,20.9,False,False
"|0,0,1;1;0,2,0,0>",0,0,1,1,0,2,0,0,2,4,20.900000000000002,False,False
"|0,0,0;1;0,2,1,1>",0,0,0,1,0,2,1,1,4,2,21.0,False,False
"|0,1,0;0;0,2,1,1>",0,1,0,0,0,2,1,1,4,2,21.1,False,False
"|1,0,0;0;0,2,0,1>",1,0,0,0,0,2,0,1,3,5,21.1,False,False
"|1,0,0;1;1,2,1,0>",1,0,0,1,1,2,1,0,4,2,21.1,False,False
"|0,0,0;1;0,2,0,1>",0,0,0,1,0,2,0,1,3,5,21.200000000000003,False,False
"|0,1,0;0;0,2,0,1>",0,1,0,0,0,2,0,1,3,5,21.299999999999997,False,False
"|0,1,0;1;1,2,1,0>",0,1,0,1,1,2,1,0,4,2,21.3,False,False
"|1,0,0;1;1,2,0,0>",1,0,0,1,1,2,0,0,3,5,21.3,False,False
"|0,1,0;1;1,2,0,0>",0,1,0,1,1,2,0,0,3,5,21.5,False,False
"|1,0,0;1;0,2,1,1>",1,0,0,1,0,2,1,1,4,2,22.0,False,False
"|0,1,0;1;0,2,1,1>",0,1,0,1,0,2,1,1,4,2,22.200000000000003,False,False
"|1,0,0;1;0,2,0,1>",1,0,0,1,0,2,0,1,3,5,22.200000000000003,False,False
"|0,0,0;0;1,2,0,1>",0,0,0,0,1,2,0,1,4,4,22.299999999999997,False,False
"|0,0,0;0;0,3,1,0>",0,0,0,0,0,3,1,0,4,4,22.3,False,False
"|0,0,1;0;0,2,2,0>",0,0,1,0,0,2,2,0,4,0,22.4,False,False
"|0,1,0;1;0,2,0,1>",0,1,0,1,0,2,0,1,3,5,22.4,False,False
"|1,0,0;0;1,2,0,1>",1,0,0,0,1,2,0,1,4,4,23.299999999999997,False,False
"|1,0,0;0;0,3,1,0>",1,0,0,0,0,3,1,0,4,4,23.3,False,False
"|0,0,0;1;1,2,0,1>",0,0,0,1,1,2,0,1,4,4,23.4,False,False
