state,nu2,nu3,sigma5,eps5,wE,wA,wB,wC,inner_weight,balance,energy_diag,is_vollschale_1111,is_closed_equal
"|0,0,0;0;0,0,0,0>",0,0,0,0,0,0,0,0,0,0,0.0,False,True
"|1,0,0;0;0,0,0,0>",1,0,0,0,0,0,0,0,0,0,1.0,False,True
"|0,1,0;0;0,0,0,0>",0,1,0,0,0,0,0,0,0,0,1.2,False,True
"|0,0,0;0;1,0,0,0>",0,0,0,0,1,0,0,0,1,1,5.2,False,False
"|0,0,0;0;0,1,0,0>",0,0,0,0,0,1,0,0,1,1,5.5,False,False
"|0,0,0;0;0,0,1,0>",0,0,0,0,0,0,1,0,1,1,5.8,False,False
"|0,0,1;0;0,0,0,0>",0,0,1,0,0,0,0,0,0,0,5.8,False,True
"|0,0,0;0;0,0,0,1>",0,0,0,0,0,0,0,1,1,1,6.1,False,False
"|1,0,0;0;1,0,0,0>",1,0,0,0,1,0,0,0,1,1,6.2,False,False
"|0,1,0;0;1,0,0,0>",0,1,0,0,1,0,0,0,1,1,6.4,False,False
"|1,0,0;0;0,1,0,0>",1,0,0,0,0,1,0,0,1,1,6.5,False,False
"|0,0,0;1;0,1,0,0>",0,0,0,1,0,1,0,0,1,1,6.6,False,False
"|0,1,0;0;0,1,0,0>",0,1,0,0,0,1,0,0,1,1,6.7,False,False
"|1,0,0;0;0,0,1,0>",1,0,0,0,0,0,1,0,1,1,6.8,False,False
"|0,1,0;0;0,0,1,0>",0,1,0,0,0,0,1,0,1,1,7.0,False,False
"|1,0,0;0;0,0,0,1>",1,0,0,0,0,0,0,1,1,1,7.1,False,False
"|0,1,0;0;0,0,0,1>",0,1,0,0,0,0,0,1,1,1,7.3,False,False
"|1,0,0;1;0,1,0,0>",1,0,0,1,0,1,0,0,1,1,7.6,False,False
"|0,1,0;1;0,1,0,0>",0,1,0,1,0,1,0,0,1,1,7.800000000000001,False,False
"|0,0,0;0;0,1,1,0>",0,0,0,0,0,1,1,0,2,0,8.3,False,False
"|0,0,0;0;1,0,0,1>",0,0,0,0,1,0,0,1,2,0,8.3,False,False
"|1,0,0;0;0,1,1,0>",1,0,0,0,0,1,1,0,2,0,9.3,False,False
"|1,0,0;0;1,0,0,1>",1,0,0,0,1,0,0,1,2,0,9.3,False,False
"|0,0,0;1;0,1,1,0>",0,0,0,1,0,1,1,0,2,0,9.4,False,False
"|0,1,0;0;0,1,1,0>",0,1,0,0,0,1,1,0,2,0,9.5,False,False
"|0,1,0;0;1,0,0,1>",0,1,0,0,1,0,0,1,2,0,9.5,False,False
"|1,0,0;1;0,1,1,0>",1,0,0,1,0,1,1,0,2,0,10.4,False,False
"|0,1,0;1;0,1,1,0>",0,1,0,1,0,1,1,0,2,0,10.6,False,False
"|0,0,0;0;1,1,0,0>",0,0,0,0,1,1,0,0,2,2,10.7,False,False
"|0,0,0;0;1,0,1,0>",0,0,0,0,1,0,1,0,2,2,11.0,False,False
"|0,0,1;0;1,0,0,0>",0,0,1,0,1,0,0,0,1,1,11.0,False,False
"|0,0,1;0;0,1,0,0>",0,0,1,0,0,1,0,0,1,1,11.3,False,False
"|0,0,0;0;0,1,0,1>",0,0,0,0,0,1,0,1,2,2,11.6,False,False
"|0,0,1;0;0,0,1,0>",0,0,1,0,0,0,1,0,1,1,11.6,False,False
"|1,0,0;0;1,1,0,0>",1,0,0,0,1,1,0,0,2,2,11.7,False,False
"|0,0,0;1;1,1,0,0>",0,0,0,1,1,1,0,0,2,2,11.799999999999999,False,False
"|0,0,0;0;0,0,1,1>",0,0,0,0,0,0,1,1,2,2,11.899999999999999,False,False
"|0,0,1;0;0,0,0,1>",0,0,1,0,0,0,0,1,1,1,11.899999999999999,False,False
"|0,1,0;0;1,1,0,0>",0,1,0,0,1,1,0,0,2,2,11.9,False,False
"|1,0,0;0;1,0,1,0>",1,0,0,0,1,0,1,0,2,2,12.0,False,False
"|0,1,0;0;1,0,1,0>",0,1,0,0,1,0,1,0,2,2,12.2,False,False
"|0,0,1;1;0,1,0,0>",0,0,1,1,0,1,0,0,1,1,12.4,False,False
"|1,0,0;0;0,1,0,1>",1,0,0,0,0,1,0,1,2,2,12.6,False,False
"|0,0,0;1;0,1,0,1>",0,0,0,1,0,1,0,1,2,2,12.7,False,False
"|1,0,0;1;1,1,0,0>",1,0,0,1,1,1,0,0,2,2,12.799999999999999,False,False
"|0,1,0;0;0,1,0,1>",0,1,0,0,0,1,0,1,2,2,12.8,False,False
"|1,0,0;0;0,0,1,1>",1,0,0,0,0,0,1,1,2,2,12.899999999999999,False,False
"|0,1,0;1;1,1,0,0>",0,1,0,1,1,1,0,0,2,2,13.0,False,False
"|0,1,0;0;0,0,1,1>",0,1,0,0,0,0,1,1,2,2,13.1,False,False
"|0,0,0;0;2,0,0,0>",0,0,0,0,2,0,0,0,2,4,13.4,False,False
"|0,0,0;0;1,1,1,0>",0,0,0,0,1,1,1,0,3,1,13.5,False,False
"|0,0,0;0;2,0,0,1>",0,0,0,0,2,0,0,1,3,1,13.5,False,False
"|1,0,0;1;0,1,0,1>",1,0,0,1,0,1,0,1,2,2,13.7,False,False
"|0,0,0;0;0,2,1,0>",0,0,0,0,0,2,1,0,3,1,13.8,False,False
"|0,0,0;0;1,1,0,1>",0,0,0,0,1,1,0,1,3,1,13.8,False,False
"|0,1,0;1;0,1,0,1>",0,1,0,1,0,1,0,1,2,2,13.9,False,False
"|0,0,0;0;0,2,0,0>",0,0,0,0,0,2,0,0,2,4,14.0,False,False
"|0,0,0;0;0,1,2,0>",0,0,0,0,0,1,2,0,3,1,14.1,False,False
"|0,0,0;0;1,0,1,1>",0,0,0,0,1,0,1,1,3,1,14.1,False,False
"|0,0,1;0;1,0,0,1>",0,0,1,0,1,0,0,1,2,0,14.1,False,False
"|0,0,1;0;0,1,1,0>",0,0,1,0,0,1,1,0,2,0,14.100000000000001,False,False
"|0,0,0;0;1,0,0,2>",0,0,0,0,1,0,0,2,3,1,14.399999999999999,False,False
"|0,0,0;0;0,1,1,1>",0,0,0,0,0,1,1,1,3,1,14.4,False,False
"|1,0,0;0;2,0,0,0>",1,0,0,0,2,0,0,0,2,4,14.4,False,False
"|1,0,0;0;1,1,1,0>",1,0,0,0,1,1,1,0,3,1,14.5,False,False
"|1,0,0;0;2,0,0,1>",1,0,0,0,2,0,0,1,3,1,14.5,False,False
"|0,0,0;0;0,0,2,0>",0,0,0,0,0,0,2,0,2,4,14.6,False,False
"|0,0,0;1;1,1,1,0>",0,0,0,1,1,1,1,0,3,1,14.6,False,False
"|0,1,0;0;2,0,0,0>",0,1,0,0,2,0,0,0,2,4,14.6,False,False
"|0,1,0;0;1,1,1,0>",0,1,0,0,1,1,1,0,3,1,14.7,False,False
"|0,1,0;0;2,0,0,1>",0,1,0,0,2,0,0,1,3,1,14.7,False,False
"|1,0,0;0;1,1,0,1>",1,0,0,0,1,1,0,1,3,1,14.799999999999999,False,False
"|1,0,0;0;0,2,1,0>",1,0,0,0,0,2,1,0,3,1,14.8,False,False
"|0,0,0;1;0,2,1,0>",0,0,0,1,0,2,1,0,3,1,14.9,False,False
"|0,0,0;1;1,1,0,1>",0,0,0,1,1,1,0,1,3,1,14.9,False,False
"|0,1,0;0;0,2,1,0>",0,1,0,0,0,2,1,0,3,1,15.0,False,False
"|0,1,0;0;1,1,0,1>",0,1,0,0,1,1,0,1,3,1,15.0,False,False
"|1,0,0;0;0,2,0,0>",1,0,0,0,0,2,0,0,2,4,15.0,False,False
"|0,0,0;1;0,2,0,0>",0,0,0,1,0,2,0,0,2,4,15.1,False,False
"|1,0,0;0;0,1,2,0>",1,0,0,0,0,1,2,0,3,1,15.1,False,False
"|1,0,0;0;1,0,1,1>",1,0,0,0,1,0,1,1,3,1,15.1,False,False
"|0,0,0;0;0,0,0,2>",0,0,0,0,0,0,0,2,2,4,15.2,False,False
"|0,0,0;1;0,1,2,0>",0,0,0,1,0,1,2,0,3,1,15.2,False,False
"|0,1,0;0;0,2,0,0>",0,1,0,0,0,2,0,0,2,4,15.2,False,False
"|0,0,1;1;0,1,1,0>",0,0,1,1,0,1,1,0,2,0,15.200000000000001,False,False
"|0,1,0;0;1,0,1,1>",0,1,0,0,1,0,1,1,3,1,15.299999999999999,False,False
"|0,1,0;0;0,1,2,0>",0,1,0,0,0,1,2,0,3,1,15.3,False,False
"|1,0,0;0;1,0,0,2>",1,0,0,0,1,0,0,2,3,1,15.399999999999999,False,False
"|1,0,0;0;0,1,1,1>",1,0,0,0,0,1,1,1,3,1,15.4,False,False
"|0,0,0;1;0,1,1,1>",0,0,0,1,0,1,1,1,3,1,15.5,False,False
"|0,1,0;0;0,1,1,1>",0,1,0,0,0,1,1,1,3,1,15.6,False,False
