level,rank_in_level,state,weight_sq,nu2,nu3,sigma5,eps5,wE,wA,wB,wC,inner_weight,balance,is_vollschale_1111
1,1,"|0,0,0;0;0,0,0,0>",0.8619298594131594,0,0,0,0,0,0,0,0,0,0,False
1,2,"|1,0,0;0;0,0,0,0>",0.06297085118203614,1,0,0,0,0,0,0,0,0,0,False
1,3,"|0,1,0;0;0,0,0,0>",0.06171220995352696,0,1,0,0,0,0,0,0,0,0,False
1,4,"|0,0,1;0;0,0,0,0>",0.013327435996507023,0,0,1,0,0,0,0,0,0,0,False
1,5,"|0,0,0;0;0,2,0,0>",5.9383251369961444e-05,0,0,0,0,0,2,0,0,2,4,False
1,6,"|0,0,1;0;0,2,0,0>",8.316913557614884e-08,0,0,1,0,0,2,0,0,2,4,False
1,7,"|0,0,0;0;0,1,1,0>",6.498831457580167e-08,0,0,0,0,0,1,1,0,2,0,False
1,8,"|0,1,0;0;0,2,0,0>",3.977037436265311e-08,0,1,0,0,0,2,0,0,2,4,False
2,1,"|1,0,0;0;0,0,0,0>",0.8314164368499499,1,0,0,0,0,0,0,0,0,0,False
2,2,"|0,1,0;0;0,0,0,0>",0.14830532892932735,0,1,0,0,0,0,0,0,0,0,False
2,3,"|0,0,0;0;0,0,0,0>",0.01976691361240793,0,0,0,0,0,0,0,0,0,0,False
2,4,"|0,0,1;0;0,0,0,0>",0.000508537275072661,0,0,1,0,0,0,0,0,0,0,False
2,5,"|0,0,0;0;0,2,0,0>",2.768061157226275e-06,0,0,0,0,0,2,0,0,2,4,False
2,6,"|0,0,1;0;0,2,0,0>",4.459431993456089e-09,0,0,1,0,0,2,0,0,2,4,False
2,7,"|0,0,0;0;0,1,1,0>",4.302816537490881e-09,0,0,0,0,0,1,1,0,2,0,False
2,8,"|0,0,0;0;1,1,0,0>",2.4028332166004613e-09,0,0,0,0,1,1,0,0,2,2,False
3,1,"|0,1,0;0;0,0,0,0>",0.7898559262824059,0,1,0,0,0,0,0,0,0,0,False
3,2,"|1,0,0;0;0,0,0,0>",0.10552375847891517,1,0,0,0,0,0,0,0,0,0,False
3,3,"|0,0,0;0;0,0,0,0>",0.10162994456031785,0,0,0,0,0,0,0,0,0,0,False
3,4,"|0,0,1;0;0,0,0,0>",0.0029733300471026696,0,0,1,0,0,0,0,0,0,0,False
3,5,"|0,0,0;0;0,2,0,0>",1.6941878452255984e-05,0,0,0,0,0,2,0,0,2,4,False
