level,eigenvalue
1,-0.29489402075347126
2,1.0539669871897788
3,1.3434818260455188
4,4.63673548151911
5,5.205004631666139
6,5.50495435323335
7,5.786686594006491
8,5.985567197910934
9,6.073353052066315
10,6.2750879766490515
11,6.305356243571337
12,6.553961415379797
13,6.843446156871249
14,6.853958893121599
15,7.143429634819039
16,7.422359936998652
17,7.653978284265723
18,7.711832014217211
19,7.8729972529189105
20,7.943550451455714
21,7.979170028232998
22,9.06738103798839
23,9.22143258442415
24,9.327624654286545
