level,W_shell,W_one,W_mix,W_full,W_25,W_AA,dominant_sector,eigenvalue
1,0.9999403565452321,2.6294600981048358e-31,5.964345476875946e-05,5.0684506378176056e-20,0.013327519717833339,5.953749281719464e-05,W_shell,-0.2948940207534729
2,0.9999972166667589,7.7897400323965455e-31,2.7833332411683955e-06,7.54353414998319e-21,0.0005085417752127604,2.7765061485856876e-06,W_shell,1.053966987189757
3,0.9999829593687418,1.2414047360980954e-30,1.704063125814171e-05,6.041164853032024e-20,0.002973358489091777,1.6995484520807382e-05,W_shell,1.3434818260455186
4,5.988609414728976e-30,0.9999418616501937,5.813834980277897e-05,2.36199508477563e-33,0.013317682085803945,5.8014028884834185e-05,W_one,4.636735481519099
5,2.20810545018507e-30,0.9999144033114029,8.559668859441787e-05,1.4385380670635837e-31,0.013360560763079853,8.551933757366694e-05,W_one,5.205004631666121
6,2.0510286163436658e-27,0.9999040838266954,9.591617330189707e-05,4.676438548473866e-32,0.013376744599829196,9.569108693726303e-05,W_one,5.504954353233336
7,0.9862872366398987,5.321663786759597e-27,0.013712763360085447,1.6466434090588226e-14,0.9694829187073621,0.013449251516883858,W_shell,5.786686594006504
8,3.2251195542085862e-27,0.999997237033329,2.7629666740573277e-06,2.867357376603046e-32,0.0005080482633818919,2.754482467590457e-06,W_one,5.985567197910961
9,5.546191894777982e-29,0.9999075243326615,9.247566733998484e-05,9.64330563895869e-32,0.013377532612344038,9.222145849164928e-05,W_one,6.073353052066325
10,8.196714756182678e-30,0.999983011859569,1.698814043005821e-05,4.0874750532403933e-32,0.0029703892732373194,1.6931285581264824e-05,W_one,6.2750879766490515
11,1.1779357689192806e-30,0.9999707446546924,2.9255345306865028e-05,3.6772952862237536e-32,0.013246598321254705,2.925520550045696e-05,W_one,6.305356243571344
12,2.3172516745124246e-31,0.99999559089274,4.409107259726532e-06,5.91713216407675e-32,0.0005108683439548984,4.403081978442496e-06,W_one,6.55396141537981
13,1.4009597519824287e-29,0.9999721995315669,2.7800468433214623e-05,1.001508719284083e-31,0.002988502837900327,2.775832881242852e-05,W_one,6.843446156871271
14,1.9697196663472152e-30,0.9999949782153406,5.021784662269387e-06,1.7242573065899135e-31,0.0005119045075099341,5.004120144354863e-06,W_one,6.853958893121606
15,9.370930351770013e-30,0.9999678789598854,3.21210401153558e-05,2.4824975528194452e-31,0.0029955160696179734,3.199665249092626e-05,W_one,7.143429634819059
16,4.212724603848937e-30,0.9999951668086764,4.833191322094719e-06,3.3759603398020717e-32,0.0005119083776587146,4.813582509393876e-06,W_one,7.422359936998635
17,2.976707118902103e-30,0.9999987210817347,1.2789182644225226e-06,6.765960400924581e-32,0.0005038881465929384,1.278906329082613e-06,W_one,7.65397828426572
18,3.6228802349099696e-31,0.999969447552276,3.05524477219987e-05,1.1484793817504094e-31,0.002994948141534374,3.041611164425441e-05,W_one,7.711832014217197
19,0.0002054259522187179,8.119687295068599e-27,0.9997945378508097,3.619696856289988e-08,0.013531839857899757,0.0011264824542850998,W_mix,7.872997252918883
20,6.222833235195373e-30,0.9999922890657981,7.710934200233863e-06,4.04869108884495e-31,0.0029446903583458684,7.710849665643454e-06,W_one,7.9435504514556925
21,0.00018494913562379378,4.570013752033408e-26,0.9998150186628503,3.22015247383644e-08,0.013509360941290433,0.0011238165992954515,W_mix,7.979170028232979
22,6.909791959586763e-32,1.7321275690542372e-28,0.9999999999970336,2.9664027555083794e-12,0.013326535250529539,0.002490345975823599,W_mix,9.067381037988396
23,1.7351108823414943e-06,9.001648711625088e-29,0.9999982624785537,2.410564049855431e-09,0.0005105325438017842,0.0012213573120452288,W_mix,9.221432584424168
24,1.5964925096736927e-06,4.9462300389052224e-29,0.9999984013533374,2.154153501799946e-09,0.0005102295639429429,0.0011960546300713402,W_mix,9.327624654286558
25,7.5593850238793206e-06,9.186243639924334e-30,0.9999924245015298,1.6113442696628075e-08,0.0029830131082197037,0.001228024006993506,W_mix,9.510968056876695
26,6.992325050793638e-06,8.525207400432262e-29,0.9999929933340443,1.4340906281115747e-08,0.0029813821049019954,0.001203475661437945,W_mix,9.617161076501654
27,0.00014242101236849736,2.081615542707565e-28,0.999857575793049,3.1945835029517037e-09,0.013440551841414006,0.003471092169214042,W_mix,10.16316691701684
28,2.492807429128551e-32,2.9554143330067112e-30,0.9999999999997025,2.9556370737012783e-13,0.0005084846364235098,0.002434250699924599,W_mix,10.416239142917583
29,4.802293311791948e-31,1.560185468816433e-24,0.9999999999978294,2.1706554532802616e-12,0.002973005796375139,0.002448311350817709,W_mix,10.70575468593955
