state,nu2,nu3,sigma5,eps5,wE,wA,wB,wC,inner_weight,balance,energy_diag,is_vollschale_1111,is_closed_equal
"|0,0,1;0;0,0,0,0>",0,0,1,0,0,0,0,0,0,0,5.8,False,True
"|0,0,1;0;1,0,0,0>",0,0,1,0,1,0,0,0,1,1,11.0,False,False
"|0,0,1;0;0,1,0,0>",0,0,1,0,0,1,0,0,1,1,11.3,False,False
"|0,0,1;0;0,0,1,0>",0,0,1,0,0,0,1,0,1,1,11.6,False,False
"|0,0,1;0;0,0,0,1>",0,0,1,0,0,0,0,1,1,1,11.899999999999999,False,False
"|0,0,1;1;0,1,0,0>",0,0,1,1,0,1,0,0,1,1,12.4,False,False
"|0,0,1;0;1,0,0,1>",0,0,1,0,1,0,0,1,2,0,14.1,False,False
"|0,0,1;0;0,1,1,0>",0,0,1,0,0,1,1,0,2,0,14.100000000000001,False,False
"|0,0,1;1;0,1,1,0>",0,0,1,1,0,1,1,0,2,0,15.200000000000001,False,False
"|0,0,1;0;1,1,0,0>",0,0,1,0,1,1,0,0,2,2,16.5,False,False
"|0,0,1;0;1,0,1,0>",0,0,1,0,1,0,1,0,2,2,16.8,False,False
"|0,0,1;0;0,1,0,1>",0,0,1,0,0,1,0,1,2,2,17.4,False,False
"|0,0,1;1;1,1,0,0>",0,0,1,1,1,1,0,0,2,2,17.6,False,False
"|0,0,1;0;0,0,1,1>",0,0,1,0,0,0,1,1,2,2,17.7,False,False
"|0,0,1;1;0,1,0,1>",0,0,1,1,0,1,0,1,2,2,18.5,False,False
"|0,0,1;0;2,0,0,0>",0,0,1,0,2,0,0,0,2,4,19.2,False,False
"|0,0,1;0;2,0,0,1>",0,0,1,0,2,0,0,1,3,1,19.299999999999997,False,False
"|0,0,1;0;1,1,1,0>",0,0,1,0,1,1,1,0,3,1,19.3,False,False
"|0,0,1;0;0,2,1,0>",0,0,1,0,0,2,1,0,3,1,19.6,False,False
"|0,0,1;0;1,1,0,1>",0,0,1,0,1,1,0,1,3,1,19.6,False,False
"|0,0,1;0;0,2,0,0>",0,0,1,0,0,2,0,0,2,4,19.8,False,False
"|0,0,1;0;0,1,2,0>",0,0,1,0,0,1,2,0,3,1,19.9,False,False
"|0,0,1;0;1,0,1,1>",0,0,1,0,1,0,1,1,3,1,19.9,False,False
"|0,0,1;0;1,0,0,2>",0,0,1,0,1,0,0,2,3,1,20.2,False,False
"|0,0,1;0;0,1,1,1>",0,0,1,0,0,1,1,1,3,1,20.200000000000003,False,False
"|0,0,1;0;0,0,2,0>",0,0,1,0,0,0,2,0,2,4,20.4,False,False
"|0,0,1;1;1,1,1,0>",0,0,1,1,1,1,1,0,3,1,20.400000000000002,False,False
"|0,0,1;1;0,2,1,0>",0,0,1,1,0,2,1,0,3,1,20.700000000000003,False,False
"|0,0,1;1;1,1,0,1>",0,0,1,1,1,1,0,1,3,1,20.700000000000003,False,False
"|0,0,1;1;0,2,0,0>",0,0,1,1,0,2,0,0,2,4,20.900000000000002,False,False
"|0,0,1;0;0,0,0,2>",0,0,1,0,0,0,0,2,2,4,21.0,False,False
"|0,0,1;1;0,1,2,0>",0,0,1,1,0,1,2,0,3,1,21.0,False,False
"|0,0,1;1;0,1,1,1>",0,0,1,1,0,1,1,1,3,1,21.300000000000004,False,False
"|0,0,1;0;0,2,2,0>",0,0,1,0,0,2,2,0,4,0,22.4,False,False
"|0,0,1;0;1,1,1,1>",0,0,1,0,1,1,1,1,4,0,22.4,True,True
"|0,0,1;0;2,0,0,2>",0,0,1,0,2,0,0,2,4,0,22.4,False,False
"|0,0,1;1;0,2,2,0>",0,0,1,1,0,2,2,0,4,0,23.5,False,False
"|0,0,1;1;1,1,1,1>",0,0,1,1,1,1,1,1,4,0,23.5,True,True
"|0,0,1;0;2,1,0,0>",0,0,1,0,2,1,0,0,3,5,24.7,False,False
"|0,0,1;0;2,1,0,1>",0,0,1,0,2,1,0,1,4,2,24.799999999999997,False,False
"|0,0,1;0;1,2,1,0>",0,0,1,0,1,2,1,0,4,2,24.8,False,False
"|0,0,1;0;1,2,0,0>",0,0,1,0,1,2,0,0,3,5,25.0,False,False
"|0,0,1;0;2,0,1,0>",0,0,1,0,2,0,1,0,3,5,25.0,False,False
"|0,0,1;0;1,1,2,0>",0,0,1,0,1,1,2,0,4,2,25.1,False,False
"|0,0,1;0;2,0,1,1>",0,0,1,0,2,0,1,1,4,2,25.1,False,False
"|0,0,1;0;1,0,2,0>",0,0,1,0,1,0,2,0,3,5,25.6,False,False
"|0,0,1;0;1,1,0,2>",0,0,1,0,1,1,0,2,4,2,25.7,False,False
"|0,0,1;0;0,2,1,1>",0,0,1,0,0,2,1,1,4,2,25.700000000000003,False,False
"|0,0,1;1;2,1,0,0>",0,0,1,1,2,1,0,0,3,5,25.8,False,False
"|0,0,1;0;0,2,0,1>",0,0,1,0,0,2,0,1,3,5,25.9,False,False
"|0,0,1;1;2,1,0,1>",0,0,1,1,2,1,0,1,4,2,25.9,False,False
"|0,0,1;1;1,2,1,0>",0,0,1,1,1,2,1,0,4,2,25.900000000000002,False,False
"|0,0,1;0;0,1,2,1>",0,0,1,0,0,1,2,1,4,2,26.0,False,False
"|0,0,1;0;1,0,1,2>",0,0,1,0,1,0,1,2,4,2,26.0,False,False
"|0,0,1;1;1,2,0,0>",0,0,1,1,1,2,0,0,3,5,26.1,False,False
"|0,0,1;1;1,1,2,0>",0,0,1,1,1,1,2,0,4,2,26.200000000000003,False,False
"|0,0,1;0;0,0,2,1>",0,0,1,0,0,0,2,1,3,5,26.5,False,False
"|0,0,1;0;0,1,0,2>",0,0,1,0,0,1,0,2,3,5,26.5,False,False
"|0,0,1;0;0,0,1,2>",0,0,1,0,0,0,1,2,3,5,26.799999999999997,False,False
"|0,0,1;1;1,1,0,2>",0,0,1,1,1,1,0,2,4,2,26.8,False,False
"|0,0,1;1;0,2,1,1>",0,0,1,1,0,2,1,1,4,2,26.800000000000004,False,False
"|0,0,1;1;0,2,0,1>",0,0,1,1,0,2,0,1,3,5,27.0,False,False
"|0,0,1;1;0,1,2,1>",0,0,1,1,0,1,2,1,4,2,27.1,False,False
"|0,0,1;0;2,1,1,0>",0,0,1,0,2,1,1,0,4,4,27.5,False,False
"|0,0,1;0;3,0,0,1>",0,0,1,0,3,0,0,1,4,4,27.5,False,False
"|0,0,1;1;0,1,0,2>",0,0,1,1,0,1,0,2,3,5,27.6,False,False
"|0,0,1;0;0,3,1,0>",0,0,1,0,0,3,1,0,4,4,28.1,False,False
"|0,0,1;0;1,2,0,1>",0,0,1,0,1,2,0,1,4,4,28.1,False,False
"|0,0,1;1;2,1,1,0>",0,0,1,1,2,1,1,0,4,4,28.6,False,False
"|0,0,1;0;0,1,3,0>",0,0,1,0,0,1,3,0,4,4,28.7,False,False
"|0,0,1;0;1,0,2,1>",0,0,1,0,1,0,2,1,4,4,28.700000000000003,False,False
"|0,0,1;1;0,3,1,0>",0,0,1,1,0,3,1,0,4,4,29.200000000000003,False,False
"|0,0,1;1;1,2,0,1>",0,0,1,1,1,2,0,1,4,4,29.200000000000003,False,False
"|0,0,1;0;1,0,0,3>",0,0,1,0,1,0,0,3,4,4,29.299999999999997,False,False
"|0,0,1;0;0,1,1,2>",0,0,1,0,0,1,1,2,4,4,29.3,False,False
"|0,0,1;1;0,1,3,0>",0,0,1,1,0,1,3,0,4,4,29.8,False,False
"|0,0,1;0;3,0,0,0>",0,0,1,0,3,0,0,0,3,9,30.400000000000002,False,False
"|0,0,1;1;0,1,1,2>",0,0,1,1,0,1,1,2,4,4,30.400000000000002,False,False
"|0,0,1;0;0,3,0,0>",0,0,1,0,0,3,0,0,3,9,31.3,False,False
"|0,0,1;0;0,0,3,0>",0,0,1,0,0,0,3,0,3,9,32.2,False,False
"|0,0,1;1;0,3,0,0>",0,0,1,1,0,3,0,0,3,9,32.4,False,False
"|0,0,1;0;0,0,0,3>",0,0,1,0,0,0,0,3,3,9,33.099999999999994,False,False
"|0,0,1;0;2,2,0,0>",0,0,1,0,2,2,0,0,4,8,33.2,False,False
"|0,0,1;0;2,0,2,0>",0,0,1,0,2,0,2,0,4,8,33.8,False,False
"|0,0,1;1;2,2,0,0>",0,0,1,1,2,2,0,0,4,8,34.300000000000004,False,False
"|0,0,1;0;0,2,0,2>",0,0,1,0,0,2,0,2,4,8,35.0,False,False
"|0,0,1;0;0,0,2,2>",0,0,1,0,0,0,2,2,4,8,35.599999999999994,False,False
"|0,0,1;0;3,1,0,0>",0,0,1,0,3,1,0,0,4,10,35.900000000000006,False,False
"|0,0,1;1;0,2,0,2>",0,0,1,1,0,2,0,2,4,8,36.1,False,False
"|0,0,1;0;3,0,1,0>",0,0,1,0,3,0,1,0,4,10,36.2,False,False
"|0,0,1;0;1,3,0,0>",0,0,1,0,1,3,0,0,4,10,36.5,False,False
"|0,0,1;1;3,1,0,0>",0,0,1,1,3,1,0,0,4,10,37.00000000000001,False,False
"|0,0,1;0;0,3,0,1>",0,0,1,0,0,3,0,1,4,10,37.4,False,False
"|0,0,1;0;1,0,3,0>",0,0,1,0,1,0,3,0,4,10,37.4,False,False
"|0,0,1;1;1,3,0,0>",0,0,1,1,1,3,0,0,4,10,37.6,False,False
"|0,0,1;0;0,0,3,1>",0,0,1,0,0,0,3,1,4,10,38.3,False,False
"|0,0,1;1;0,3,0,1>",0,0,1,1,0,3,0,1,4,10,38.5,False,False
"|0,0,1;0;0,1,0,3>",0,0,1,0,0,1,0,3,4,10,38.6,False,False
"|0,0,1;0;0,0,1,3>",0,0,1,0,0,0,1,3,4,10,38.9,False,False
"|0,0,1;1;0,1,0,3>",0,0,1,1,0,1,0,3,4,10,39.7,False,False
"|0,0,1;0;4,0,0,0>",0,0,1,0,4,0,0,0,4,16,44.6,False,False
"|0,0,1;0;0,4,0,0>",0,0,1,0,0,4,0,0,4,16,45.8,False,False
"|0,0,1;1;0,4,0,0>",0,0,1,1,0,4,0,0,4,16,46.9,False,False
"|0,0,1;0;0,0,4,0>",0,0,1,0,0,0,4,0,4,16,47.0,False,False
"|0,0,1;0;0,0,0,4>",0,0,1,0,0,0,0,4,4,16,48.2,False,False
