A_new_primes (1B \ 100M),B_new_primes (1B \ 100M),C_new_primes (1B \ 100M)
269,367,587
281,379,599
293,439,647
317,463,659
353,487,683
389,499,719
401,523,743
449,547,827
461,571,839
509,607,863
521,619,887
557,631,911
569,643,947
593,691,971
617,727,983
641,739,1019
653,751,1031
677,787,1091
701,811,1103
761,823,1151
773,859,1163
797,883,1187
809,907,1223
821,919,1259
857,967,1283
881,991,1307
929,1039,1319
941,1051,1367
953,1063,1427
977,1087,1439
1013,1123,1451
1049,1171,1487
1061,1231,1499
1097,1279,1511
1109,1291,1523
1181,1303,1559
1193,1327,1571
1217,1399,1583
1229,1423,1607
1277,1447,1619
1289,1459,1667
1301,1471,1787
1361,1483,1811
1373,1531,1823
1409,1543,1847
1433,1567,1871
1481,1579,1907
1493,1627,1931
1553,1663,1979
1601,1699,2003
1613,1723,2027
1637,1747,2039
1697,1759,2063
1709,1783,2087
1721,1831,2099
1733,1867,2111
1877,1879,2207
1889,1951,2243
1901,1987,2267
1913,1999,2339
1949,2011,2351
1973,2083,2399
1997,2131,2411
2069,2143,2423
2081,2179,2447
2129,2203,2459
2141,2239,2531
2153,2251,2543
2213,2287,2579
2237,2311,2591
2273,2347,2663
2297,2371,2687
2309,2383,2699
2333,2467,2711
2357,2503,2819
2381,2539,2843
2393,2551,2879
2417,2647,2903
2441,2659,2927
2477,2671,2939
2549,2683,2963
,2707,2999
,2719,3011
,2731,3023
,2767,3083
,2791,3119
,2803,3167
,2851,3191
,2887,3203
,2971,3251
,3019,3299
,3067,3323
,3079,3347
,3163,3359
,3187,3371
,3259,3407
,3271,3467
,3307,3491
,3319,3527
,3331,3539
,3343,3623
,3391,3659
,3463,3671
,3499,3719
,3511,3767
,3547,3779
,3559,3803
,3571,3851
,3583,3863
,3607,3911
,3631,3923
,,3947
,,4007
,,4019
,,4079
,,4091
,,4127
,,4139
,,4211
,,4259
,,4271
,,4283
,,4391
,,4451
,,4463
,,4523
,,4547
,,4583
,,4643
,,4679
,,4691
,,4703
,,4751
,,4787
,,4799
,,4871
,,4919
,,4931
,,4943
,,4967
,,5003
,,5039
,,5051
,,5087
,,5099
,,5147
,,5171
,,5231
,,5279
,,5303
,,5351
,,5387
,,5399
,,5471
,,5483
,,5507
,,5519
,,5531
,,5591
,,5639
,,5651
