Carmichael_n,r8_Carmichael,Nearby_Prime_p,r8_Prime,Density_Ratio
561,2932360704,563,2855256768,1.027004203917537
1105,21774759552,1109,21823008480,0.9977890799041654
1729,82990853120,1733,83275197408,0.9965854864731587
2465,241622559360,2467,240230105024,1.0057963357084696
2821,360417419264,2833,363797496608,0.9907089043340996
6601,4615890499584,6607,4614587688704,1.000282324438907
8911,11356078684160,8923,11367178023488,0.9990235624615832
10585,19128108424320,10589,18996991463520,1.0069019855618604
15841,63789291905024,15859,63818615756480,0.9995405125744518
29341,404345705746304,29347,404399973838784,0.9998658058951764
