metric,value
N_zeros,100000.0
gamma_min,14.134725142
gamma_max,74920.827498994
r_mean,0.041806415954338844
r_median,0.03639057887846635
r_min,0.029628081327619234
r_max,0.5164775053845313
d_mean,0.9798885482665195
formula_max_abs_error,3.3306690738754696e-16
corr_r_theta12,0.8009392393232279
corr_r_theta12log,0.7443488638457568
corr_r_theta4,0.8037411391948844
corr_r_theta4log,0.7447856453685665
corr_d_theta12,-0.8060883056467314
corr_d_theta12log,-0.7419300006244064
window_corr_wr_wth12,0.8804204789699999
window_corr_wr_wth12log,0.8427779965001456
window_corr_wr_wth4,0.884041233659945
window_corr_wr_wth4log,0.8438142405139558
detrended_corr_wr_wth12,0.43109600197638465
detrended_corr_wr_wth12log,0.41531721128846283
detrended_corr_wr_wth4,0.4540888400685343
detrended_corr_wr_wth4log,0.42070026149650785
theta12_at_maxX,0.004331348132106118
theta12log_at_maxX,0.003949308621469033
theta4_at_maxX,0.004332520985648524
theta4log_at_maxX,0.003949403460639234
