window_index,n_start,n_end,gamma_mean,r_mean,d_mean,theta12_mean,theta12log_mean,theta4_mean,theta4log_mean
0,1,1000,789.669300060408,0.14914157021397942,0.9353251625506834,0.028873819932953328,0.02802763621336968,0.029704721090342275,0.028234905204109234
1,1001,2000,1977.0276727707967,0.10010254203558205,0.9539012474996608,0.023934916845126556,0.022919366537047493,0.02410155286373042,0.022941888132211218
2,2001,3000,3029.595031572505,0.08650222909228916,0.959676272800738,0.013656800448042659,0.011479442275543043,0.013721316128595404,0.011486576945186872
3,3001,4000,4023.4004821182025,0.0786163194160982,0.9630998180108422,0.015034556798829994,0.013627964188145963,0.015089233866972956,0.013634185671855597
4,4001,5000,4979.757110474697,0.07319085045271771,0.9654860046504201,0.015658986086300054,0.014628152943506318,0.01570605038761461,0.014633498492278043
5,5001,6000,5908.995366625017,0.06911850611199699,0.967293303467306,0.0189163163079359,0.018520724754477923,0.018965374193643202,0.018526439753254662
6,6001,7000,6817.174844753822,0.06589356761631529,0.9687343079311956,0.014271913237352898,0.013261524538083335,0.01430450856432002,0.013265058445752985
7,7001,8000,7708.255329017403,0.06324479798822284,0.9699242873637498,0.010310992601146447,0.008837504197642346,0.010332411477502695,0.008839624869118275
8,8001,9000,8585.014081744459,0.06101080831999409,0.9709324069217566,0.004846653215925434,0.002761005968439153,0.00485575195289094,0.0027615952760203584
9,9001,10000,9449.497754362867,0.05908827370138238,0.9718032496367611,0.004985378480662878,0.003118642843318465,0.004993935099502541,0.003119241995313758
10,10001,11000,10303.270293390762,0.05740732475335035,0.9725671344150724,0.008863111377956335,0.007691623926035096,0.008877163343145046,0.007692972714883812
11,11001,12000,11147.567205966006,0.05591865233965501,0.9732455623450055,0.012796183304186443,0.012252136731841024,0.012815155422634133,0.012254127572792324
12,12001,13000,11983.385799118794,0.05458625613056907,0.9738542975104982,0.014132325256989516,0.01380459063029595,0.01415206930362309,0.01380668767008588
13,13001,14000,12811.542752107482,0.05338311357344806,0.9744052166492416,0.008618206880211346,0.007567623976835461,0.008629523466081722,0.007568695329978031
14,14001,15000,13632.72282292524,0.052288454504628074,0.9749074788177573,0.008842579385478394,0.007884767220047788,0.008853579147834545,0.007885817187946982
15,15001,16000,14447.507194112934,0.05128599750770166,0.9753682850968789,0.007775749755896461,0.0067288122037232586,0.0077849435884229014,0.0067296576255159
16,16001,17000,15256.38942677451,0.050362767275632665,0.9757933897488615,0.009072915486734523,0.008255540118478528,0.009083123243751483,0.008256520661302608
17,17001,18000,16059.802207075916,0.049508258969520505,0.9761874630466834,0.01005921416038742,0.009414843310005328,0.010070000544762646,0.009415902004687352
18,18001,19000,16858.120927285672,0.04871386528188569,0.9765543402929799,0.009761563659537295,0.009110311449273352,0.009771586113718717,0.009111286123701871
19,19001,20000,17651.67491074562,0.04797245091173596,0.9768972075311151,0.012936917247961723,0.012727383290096345,0.012949695805608069,0.012728687234750395
20,20001,21000,18440.758908720425,0.047278036852371016,0.9772187397286375,0.009655052367076016,0.009027007923639174,0.009664230619921244,0.009027893908005282
21,21001,22000,19225.63267556119,0.04662557204475199,0.9775212007468419,0.007560713255217595,0.006685660615536663,0.007567657385577445,0.006686291621251076
22,22001,23000,20006.533624768035,0.046010748120098595,0.9778065248999126,0.005013853011181488,0.0038452831058510615,0.005018299666016233,0.003845632260691648
23,23001,24000,20783.671788383133,0.04542986903736093,0.9780763741762125,0.004822587586148917,0.003675527173320927,0.004826705232288417,0.0036758462077315225
24,24001,25000,21557.237709987745,0.0448797391830798,0.9783321876900046,0.007145194770555825,0.006335862576050871,0.007151107854371597,0.006336394019471321
25,25001,26000,22327.407176193068,0.04435757704215777,0.9785752198608079,0.008062186169815973,0.007398573359476328,0.008068643305236697,0.0073991713879958
26,26001,27000,23094.3399348944,0.04386094986007672,0.978806569277215,0.007880919648936842,0.0072167373498327435,0.00788704307198831,0.007217301110826993
27,27001,28000,23858.18142698542,0.04338771875592144,0.9790272030317613,0.006111353004900837,0.005245161487497774,0.006115972658325665,0.005245559008688879
28,28001,29000,24619.06727349923,0.04293599239287863,0.9792379773324295,0.00489302413545305,0.0039017737113748933,0.004896612358691972,0.0039020591848775146
29,29001,30000,25377.119642845064,0.042504093513408475,0.9794396523177138,0.004416198186307368,0.003392414179841554,0.00441935948856157,0.0033926558772628466
30,30001,31000,26132.45300164172,0.0420905260219038,0.9796329067731506,0.003417995557566914,0.002299505181379516,0.0034203796334804134,0.0022996643769430964
31,31001,32000,26885.17600913738,0.04169394975524787,0.9798183493870317,0.0011075712437469609,-0.00026575575535673723,0.0011083227944102103,-0.00026577364977725627
32,32001,33000,27635.384896238713,0.041313163518475395,0.9799965262397011,0.0023094469270606966,0.0011209936548998703,0.002310977798789218,0.001121066814254778
33,33001,34000,28383.17466844669,0.04094708202649338,0.9801679312225097,0.004153417765578541,0.003225119189287998,0.004156105222085123,0.003225324138857321
34,34001,35000,29128.630151220663,0.040594725998809894,0.9803330103689325,0.005166345555384611,0.004387898824387389,0.005169608551825425,0.004388170229937236
35,35001,36000,29871.830650353244,0.040255207313614226,0.9804921685475747,0.006276708150408621,0.005653079110144873,0.0062805908281974784,0.005653420757250368
36,36001,37000,30612.854037421544,0.039927716705189555,0.9806457750104369,0.005489445664044263,0.00478288055757851,0.005492774940880394,0.00478316337179391
37,37001,38000,31351.77135167881,0.039611517228964756,0.9807941662721616,0.0045279360612559836,0.0037214035380176325,0.004530619353091998,0.0037216178273470285
38,38001,39000,32088.64716591499,0.039305936099145254,0.9809376497792391,0.005715046431890806,0.00507136375618569,0.005718367758625808,0.005071649499747967
39,39001,40000,32823.54705758125,0.039010354845455744,0.9810765083949284,0.005444784451692179,0.004783669032057793,0.005447880859306873,0.0047839320931638285
40,40001,41000,33556.52905377349,0.03872420702544105,0.9812110013570527,0.005620102523451762,0.004995169114825888,0.0056232352348481555,0.00499543775403289
41,41001,42000,34287.65032406825,0.03844697035303089,0.9813413678744466,0.0048512814862228006,0.0041473648987623265,0.00485393051343659,0.004147582779389501
42,42001,43000,35016.96486129978,0.03817816320282818,0.9814678286829587,0.006644030717954727,0.00617132334315946,0.006647590064492845,0.006171640688457133
43,43001,44000,35744.521367621935,0.037917341393270375,0.9815905874811228,0.007184740261421885,0.006786261002622364,0.007188522958625033,0.0067866032464095226
44,44001,45000,36470.36928297589,0.03766409252963684,0.9817098335249759,0.00684929899214851,0.006418132483950133,0.00685284272481981,0.006418449907126991
45,45001,46000,37194.553088027686,0.03741803501261279,0.9818257420363603,0.006101641688171244,0.005589509601993271,0.006104741703978705,0.005589780494996701
46,46001,47000,37917.11846678101,0.037178813199598565,0.9819384764299444,0.005757538438175419,0.005214611504332305,0.005760411477717035,0.005214859130938662
47,47001,48000,38638.104170343155,0.03694609772612883,0.9820481881161311,0.005288604993122442,0.004698789001519864,0.005291203902181845,0.004699008363884644
48,48001,49000,39357.55224292559,0.03671957998492981,0.9821550190627022,0.005837026566688396,0.005323889589345906,0.0058398458679794416,0.005324133352224222
49,49001,50000,40075.49687082666,0.03649897379637683,0.9822591009715663,0.007271137281273391,0.006937426790690525,0.007274594625544219,0.006937738940262182
50,50001,51000,40791.977650326495,0.03628400954126862,0.9823605580143453,0.008541356723865867,0.008364504326779043,0.008545356523033003,0.008364874280863232
51,51001,52000,41507.02737901321,0.03607443641865528,0.9824595057391959,0.007903213843037054,0.007653687372696758,0.007906856139916811,0.007654019901012306
52,52001,53000,42220.678505263386,0.035870019042452045,0.9825560526512414,0.00809539107833475,0.007873144066238513,0.00809906068573644,0.007873479851259094
53,53001,54000,42932.96518421026,0.03567053568148683,0.9826503010215374,0.007401688784705793,0.007101676662801469,0.007404990222774962,0.007101974134745557
54,54001,55000,43643.91355112821,0.03547577985371137,0.9827423461133622,0.007365603324249121,0.007065602084903836,0.007368845859273488,0.007065893746725754
55,55001,56000,44353.55610431203,0.03528555529932004,0.9828322785391115,0.006070990502609752,0.005623887256549769,0.006073623949193412,0.005624115596666942
56,56001,57000,45061.92014377871,0.035099678291880515,0.9829201831520422,0.006395945712694507,0.005994151478964163,0.006398680507161236,0.0059943909600213095
57,57001,58000,45769.03140974067,0.03491797574861029,0.9830061399242878,0.00534120577581465,0.004821463234033356,0.0053434603714048534,0.004821653125645385
58,58001,59000,46474.91620589395,0.03474028393420961,0.9830902245465787,0.005800231797100713,0.005342217525411632,0.005802646407169905,0.005342424654859092
59,59001,60000,47179.600043904094,0.03456644814580611,0.9831725085653293,0.0064386209802822746,0.006061447530002411,0.006441268418277533,0.006061679360282872
60,60001,61000,47883.10525502885,0.03439632265116065,0.983253059400635,0.0054730223632563964,0.004988883359777898,0.005475242519989554,0.004989071310566
61,61001,62000,48585.45754825722,0.0342297685230389,0.9833319413615267,0.005235691080105689,0.004730901933019389,0.005237787385810048,0.0047310775676309945
62,62001,63000,49286.67551067725,0.034066655622430206,0.9834092146976479,0.0048878558859165875,0.004350034260891701,0.004889787276369103,0.004350193403399078
63,63001,64000,49986.78448749443,0.03390685883958055,0.9834849373713268,0.006014210212954574,0.005615226060245103,0.006016554127171991,0.005615428323754968
64,64001,65000,50685.80266406722,0.03375026090314038,0.9835591637192742,0.007472655218666429,0.007247981086989816,0.0074755328804887375,0.007248238716396317
65,65001,66000,51383.750394554096,0.03359674979692861,0.9836319456694345,0.007027686281269764,0.006754424261962216,0.007030360523458185,0.00675466117637592
66,66001,67000,52080.648017709726,0.033446218918388115,0.9837033326598129,0.006773102253972163,0.006474129990289669,0.0067756475354234695,0.006474353934245816
67,67001,68000,52776.51361513621,0.03329856721345642,0.9837733715686083,0.005481215020395385,0.005037143445106212,0.00548325100726011,0.005037315428127549
68,68001,69000,53471.363715507905,0.03315369867618013,0.9838421069459615,0.004080867816017833,0.003481337438415352,0.0040823658619575,0.0034814547533529114
69,69001,70000,54165.219568412336,0.03301152077124473,0.9839095817576183,0.004108365073649229,0.003519664231366508,0.004109855755273814,0.0035197812965155444
70,70001,71000,54858.09369126538,0.032871946935097235,0.9839758361934867,0.003749638410148728,0.003127248534621514,0.003750983502641204,0.0031273512445162423
71,71001,72000,55550.0068462137,0.03273489285003383,0.9840409094317278,0.003410896888972635,0.002757090820451739,0.003412107274854462,0.002757180281352571
72,72001,73000,56240.97166452005,0.03260027952146886,0.9841048381742261,0.002872178285746468,0.002165114222991689,0.0028731857181565844,0.002165183571990304
73,73001,74000,56931.005028725165,0.032468030578842205,0.9841676579243575,0.002911589381339038,0.002218315760484919,0.002912598592313252,0.002218385879610111
74,74001,75000,57620.121324951346,0.03233807341524464,0.9842294024426503,0.003115624658777162,0.002454282695844781,0.0031166925720480707,0.002454359317995974
75,75001,76000,58308.335918629506,0.032210338327361795,0.9842901041522214,0.0028253176973963593,0.0021390578086827204,0.0028262752712327442,0.002139123750389767
76,76001,77000,58995.661975222516,0.03208475893736056,0.9843497939354795,0.0028243333543581254,0.0021458499110318194,0.0028252807150235077,0.002145915302159381
77,77001,78000,59682.11444664188,0.03196127129371635,0.984408501558819,0.0026965327123156246,0.0020119402233179204,0.002697427009342164,0.0020120007560452775
78,78001,79000,60367.70538072763,0.03183981457393394,0.9844662553361482,0.0018706111765003834,0.0010994150432139032,0.0018712261379496425,0.001099447823177514
79,79001,80000,61052.447934601994,0.0317203302124511,0.9845230825411727,0.0012347802051988336,0.00039996596294193323,0.001235181940836347,0.00039997774141789754
80,80001,81000,61736.3565061824,0.03160276176982393,0.9845790094676411,0.002316680414341501,0.0016133945661235072,0.0023174266480476967,0.0016134415496880617
81,81001,82000,62419.44005173501,0.031487055947627476,0.9846340609445161,0.0034117383896092113,0.002839945787786905,0.0034128268958979868,0.0028400276276962294
82,82001,83000,63101.713058433816,0.031373160592477536,0.9846882612836593,0.004001707448363636,0.0035023426445499866,0.004002972859123076,0.003502442586046955
83,83001,84000,63783.18612435605,0.031261026200453255,0.9847416335624396,0.003923403839097504,0.0034209321526767534,0.0039246317540904815,0.0034210286627969176
84,84001,85000,64463.871940887715,0.03115060480761196,0.9847942001500565,0.0037548932519666216,0.0032383990127388316,0.003756057882256408,0.003238489455423633
85,85001,86000,65143.77947463563,0.031041850845035877,0.9848459822990305,0.0037624421850200583,0.0032519604300380893,0.003763598563647396,0.003252050329239372
86,86001,87000,65822.92093399673,0.030934719919854095,0.9848970007241098,0.004077992082935006,0.0036086041774286873,0.004079233239550943,0.0036087028622072744
87,87001,88000,66501.30552178467,0.03082916973608892,0.9849472751625464,0.0035464740636160794,0.0030217155953053887,0.0035475444068282136,0.003021797467979844
88,88001,89000,67178.94481443122,0.030725159166165285,0.9849968248150339,0.002166489962125731,0.0014921171059436315,0.0021671379221419903,0.001492157138821264
89,89001,90000,67855.84660002109,0.030622649129871084,0.9850456679258722,0.0027767281464830995,0.0021782855844558347,0.0027775496796787784,0.002178343293020337
90,90001,91000,68532.02441516679,0.03052160107535812,0.9850938225056133,0.004175921166424434,0.0037397125090470047,0.004177146994752384,0.0037398107427256888
91,91001,92000,69207.48312097335,0.03042197908294866,0.9851413053275594,0.005194110073222819,0.004876041626506606,0.00519562189620477,0.004876168507619052
92,92001,93000,69882.23692208382,0.03032374711640702,0.9851881332367577,0.005209533490715818,0.004895916752546162,0.0052110380347864275,0.004896043053533195
93,93001,94000,70556.28956098962,0.030226871882079055,0.9852343217863373,0.004671971952648738,0.004301300441839868,0.004673309351173426,0.004301410319920109
94,94001,95000,71229.65289669979,0.030131320057833522,0.9852798865575872,0.003953536171552259,0.0035064068350628462,0.003954657643841266,0.003506495503133317
95,95001,96000,71902.33599472755,0.030037059840506947,0.9853248424215566,0.0038904965489618927,0.0034408241005174345,0.0038915901474702343,0.0034409102334477222
96,96001,97000,72574.34630594593,0.029944060707098975,0.985369203652052,0.003744555002579945,0.0032828879629012778,0.003745598618395367,0.0032829693649478733
97,97001,98000,73245.69129538635,0.02985229313365996,0.9854129840589724,0.0036520107583850317,0.003184213410784432,0.003653020325783619,0.0031842916554405036
98,98001,99000,73916.37944734658,0.02976172841948825,0.9854561970715486,0.003852186664000004,0.0034108614825741576,0.0038532428767661373,0.0034109445307811824
99,99001,100000,74586.41956737252,0.029672338749070774,0.9854988557082177,0.004047815680578593,0.0036322096346719937,0.004048916487826072,0.0036322972760370674
