child,parent,shifts,child_count,parent_count,hits,conditional_rate
twin_02,triplet_026,0,58980,8543,8543,0.14484571041030858
twin_02,triplet_046,4,58980,8677,8677,0.14711766700576467
twin_02,quad_0268,0;6,58980,899,1797,0.03046795523906409
twin_02,quint_0461012,4;10,58980,161,322,0.005459477789081044
twin_02,sext_046101216,4;10,58980,18,36,0.0006103763987792472
twin_02,sept_0268121820,0;6;18,58980,3,9,0.0001525940996948118
cousin_04,triplet_026,2,58622,8543,8543,0.14573027191156904
cousin_04,triplet_046,0,58622,8677,8677,0.14801610316945857
cousin_04,quad_0268,2,58622,899,899,0.015335539558527515
cousin_04,quint_0461012,0;6,58622,161,322,0.005492818395824093
cousin_04,sext_046101216,0;6;12,58622,18,54,0.0009211558800450342
cousin_04,sept_0268121820,2;8,58622,3,6,0.00010235065333833715
sexy_06,triplet_026,0,117207,8543,8543,0.07288813808049008
sexy_06,triplet_046,0,117207,8677,8677,0.07403141450595954
sexy_06,quad_0268,0;2,117207,899,1798,0.015340380693985854
sexy_06,quint_0461012,0;4;6,117207,161,483,0.004120914279863831
sexy_06,sext_046101216,0;4;6;10,117207,18,72,0.0006142977808492667
sexy_06,sept_0268121820,0;2;6;12,117207,3,12,0.00010238296347487778
triplet_026,quad_0268,0,8543,899,899,0.10523235397401381
triplet_026,quint_0461012,4,8543,161,161,0.018845838698349524
triplet_026,sext_046101216,4;10,8543,18,36,0.004213976354910453
triplet_026,sept_0268121820,0;6,8543,3,6,0.0007023293924850755
triplet_046,quad_0268,2,8677,899,899,0.10360723752449003
triplet_046,quint_0461012,0;6,8677,161,322,0.03710960009219776
triplet_046,sext_046101216,0;6,8677,18,36,0.0041488993891898125
triplet_046,sept_0268121820,2,8677,3,3,0.00034574161576581767
quad_0268,quint_0461012,4,899,161,161,0.17908787541713014
quad_0268,sext_046101216,4,899,18,18,0.020022246941045607
quad_0268,sept_0268121820,0,899,3,3,0.0033370411568409346
quint_0461012,sext_046101216,0,161,18,18,0.11180124223602485
