kind,bits,n,truth
prime,128,288478935104403565551105603228255051769,288478935104403565551105603228255051769
prime,128,204570760575874288519468877646317125763,204570760575874288519468877646317125763
prime,128,189145314333408255363755851191023704163,189145314333408255363755851191023704163
prime,128,239179032185710314712002575189867174683,239179032185710314712002575189867174683
prime,128,225061511019071809059635267529908539717,225061511019071809059635267529908539717
prime,128,299940125036243616978694598955173289727,299940125036243616978694598955173289727
prime,128,199748057000878114392321690700632561833,199748057000878114392321690700632561833
prime,128,225329675596759486432566854585320283179,225329675596759486432566854585320283179
prime,128,325073493450558146147634670330260656323,325073493450558146147634670330260656323
prime,128,231610632675615831580360282686619351129,231610632675615831580360282686619351129
semi_bal,128,140937470861935509652934910909327566209,9628080924716953399*14638168495252733191
semi_bal,128,209703380565315536626693044489486053893,14466381407035675861*14495911220986265713
semi_bal,128,287159122662921974534748858369304722449,16931258434719281501*16960294107499578949
semi_bal,128,325910156961272920565660220861247075063,17713277949436141781*18399200751639956123
semi_bal,128,137992444126488865294239074119954605197,10078673675631013847*13691528128362517051
semi_bal,128,117092685602905121950789123625226601169,9354781957492232879*12516880258136400511
semi_bal,128,180696777763166172779574880625985585013,10635697688719099961*16989649673366018333
semi_bal,128,182192100002295506737816275130807595119,13146760092828797167*13858326973021769857
semi_bal,128,191272980617183572329101742145422635101,11959057637275596619*15993984343799653879
semi_bal,128,192807671558941022887382039983950571837,12159762727612345591*15856203437351129707
semi_unbal,128,220021256660234165433295286200856511703,895947432607*245573845800331331305712329
semi_unbal,128,209426157616923481887178342480821445081,719022765247*291264988730893700800485223
semi_unbal,128,182455779444659902558373452711413520123,598338830597*304937219706453586496501759
semi_unbal,128,168095010425579516446642394389784308201,910999914557*184517043020054032062699293
semi_unbal,128,140724105260981233226746395742159487681,658994806199*213543572630959495412450119
semi_unbal,128,269281886639129055754048858330599742913,1000812983227*269063142817014917096240819
semi_unbal,128,207954667374923907389647025656064028013,1088639283757*191022564110723741316460609
semi_unbal,128,119021432208514573180363099268690668471,738053474311*161263968467359966639780561
semi_unbal,128,207776500566388745404610164717512260437,771776495447*269218487207294492200037171
semi_unbal,128,186375806389810077121752619982328240767,993662668147*187564464646102716237675461
triple,128,34629644239411672013421257224207173971,2909602341907*3339938764831*3563492818463
triple,128,55698697816439004707834450389175426387,3325487322991*3968532607751*4220460035707
triple,128,55209645407380499082224036873917117561,3547266501223*3616866199679*4303171918433
triple,128,30544130916607795517686626350098750529,2780152610041*2803077358591*3919440291959
triple,128,28825851539865787562822580666898447417,2302771862723*3483879636047*3593089946557
triple,128,27803568277555970751356262322828155941,2807895414893*3058117521281*3237914954777
triple,128,43364881784985715931030615972798247881,2795299601023*3551723251033*4367879874959
triple,128,47442088684957114385543670392779630367,3050490882949*3900611929967*3987138528349
triple,128,44298234310825150037691862171791942113,3142348185007*3468422404987*4064434489757
triple,128,34957595753678400313754171021765046091,2858380656107*2993782981733*4085085742861
quadruple,128,148720413980226554234842397354603904347,2738307241*3437729287*3724631563*4241636207
quadruple,128,102888800565080531406407390591937790681,2302290139*3249550723*3648322529*3769567337
quadruple,128,67739027973711656780934295024025651437,2474009933*2808662249*3101322659*3143337779
quadruple,128,51004248358517170217283836738603146169,2245382281*2325094987*2865358043*3409545289
quadruple,128,130667291071140584608450882064654801029,2393185699*3498494023*3774691703*4134546359
quadruple,128,89266299156598681786557374691033144761,2245130981*2554601729*3632256427*4284953807
quadruple,128,109815071884808839348766582343588075583,2213325911*2837329123*4110862843*4253768777
quadruple,128,73867813852581138917355051162547038811,2165459171*3115123021*3151648949*3474499129
quadruple,128,87912409758703758986619009007241572933,2376831911*2767725823*3429238649*3897004789
quadruple,128,95317851151631920444986039087702864217,2741214271*2754858767*3359846173*3756751997
bamberg_quad,128,125560288228163214145658877759442626721,2561608613*3286424257*3507788171*4251895111
bamberg_quad,128,82973875414635561758848998220404563017,2199305221*2676730787*3358637131*4196508341
bamberg_quad,128,78004587467294435269883415459340687201,2344934269*2938602707*3157600661*3585018427
bamberg_quad,128,143193700448708811465541865705662020877,2798309231*3623722457*3675328879*3842174389
bamberg_quad,128,136381016121976574998014148019718331741,2908400713*3133095967*3497407877*4279368623
bamberg_quad,128,66455521196472267928774571681060721313,2160553841*2262630673*3233226743*4204517287
bamberg_quad,128,79935396129590950076536869858492053041,2400889397*2534663557*3609873899*3638770171
bamberg_quad,128,74074015883739082792979347011616299241,2338336747*2629764701*3148069357*3826464179
bamberg_quad,128,98469295292386016926969371899449677157,2402745691*3043001999*3140852069*4287886717
bamberg_quad,128,114310502305455632166718035434663093497,2946429691*3034900619*3255814337*3926322289
