alpha,group,mean,median,q95,max,std
0,actual,0.792639904522055,0.8071426235417336,0.9919749601352502,0.9999092232850261,0.1526961062844694
0,shifted,0.7926414721797748,0.8070486923176153,0.9920294008166605,0.9999062776232966,0.1526865314734894
0,random,0.7925794892994548,0.8068038491406632,0.9919663285656153,0.9999007420045842,0.1526494614206883
10,actual,0.7926389532578707,0.8071639630728387,0.992094379381953,0.9999117520852957,0.152699873472672
10,shifted,0.7926430107134489,0.8074499609820988,0.9919422680163883,0.9998779913043429,0.15267934662404187
10,random,0.7925232455850192,0.8068704980624357,0.9919926392785742,0.9998743179663389,0.15276875728502362
30,actual,0.7926413319153693,0.8073819070217605,0.9920522765263221,0.9999248881325992,0.1526877747977516
30,shifted,0.7926424070803396,0.8071568869744434,0.9920465633671168,0.9998477555885305,0.1526873430092276
30,random,0.7924429522224079,0.8074430002707258,0.9920004818133954,0.9999194117575124,0.1529317323871373
100,actual,0.792642616018889,0.8072706560483518,0.992159672546603,0.9999679206776322,0.15270501596843125
100,shifted,0.7926535397877293,0.8074964936410105,0.9920041787946465,0.9998315166805134,0.1526739633793184
100,random,0.7925642488638774,0.8066655291930906,0.9920765400976964,0.9999079923932253,0.15253978999996204
300,actual,0.7926413336877807,0.8066932125632928,0.9920764906240022,0.9998918348038508,0.15268668759354045
300,shifted,0.7926409204243096,0.8072646420521046,0.9920076492372969,0.9999094480716523,0.152687287832683
300,random,0.7926784606713267,0.8071510202337002,0.9921811627507192,0.9998674766934534,0.1525274083379433
1000,actual,0.792643861724253,0.8070458250226072,0.9919731298895726,0.9998609863078253,0.15268662811857153
1000,shifted,0.7926445754641951,0.8073575578766437,0.9920361786885188,0.999922763817146,0.15269302784620517
1000,random,0.7924396918670007,0.8060223253561395,0.9920495475589199,0.999886109211387,0.1527695761558429
3000,actual,0.7926511200517611,0.8069877104689445,0.991930601369466,0.9999160110405253,0.15268849157893882
3000,shifted,0.7926470652452265,0.8069185883271146,0.9920130950259951,0.9999120474813084,0.15269696667084856
3000,random,0.7928011241602071,0.8069002377039796,0.9920554044422303,0.9999075469228693,0.15284207110818854
