alpha,group,index,gamma,value
0,actual,75724,58462.094222359,0.9999092232850261
0,actual,8257,8373.14744544,0.9998457258592957
0,actual,39505,32826.689497655,0.9998262949307632
0,actual,83608,63856.638135769,0.999824837415242
0,actual,89231,67673.549041245,0.9997755267609654
0,shifted,90794,68730.950206864,0.9999062776232966
0,shifted,70192,54645.209861424,0.99985820953418
0,shifted,15599,14528.236788203001,0.9998318740587155
0,shifted,70335,54744.149279712,0.9998233462576697
0,shifted,56230,44871.123524189,0.9997865047036097
0,random,72506,36841.51000561792,0.9999007420045842
0,random,71098,838.3021475061043,0.9998456471309659
0,random,77283,47110.357905301935,0.9997973429858459
0,random,9385,51026.21570916935,0.9997743846419122
0,random,36997,25093.938773037735,0.99977170426107
10,actual,501,812.771108389,0.9999117520852957
10,actual,89632,67944.87018218,0.9998718821870024
10,actual,76263,58832.371381215,0.9998590065231415
10,actual,18145,16575.136466524,0.9998087613730497
10,actual,64809,50901.717199816,0.9997985949768159
10,shifted,83861,64029.011344686005,0.9998779913043429
10,shifted,8341,8446.556349822,0.9998657515011422
10,shifted,1788,2291.467663612,0.9998642318892197
10,shifted,52347,42111.572398655,0.9998614327829913
10,shifted,10404,10222.121367791,0.9998482000638719
10,random,91683,60311.08402323318,0.9998743179663389
10,random,823,18913.324598215015,0.9998721449659379
10,random,75737,25365.28110805716,0.9998197695161612
10,random,25445,49745.34980433606,0.9998196803773428
10,random,46475,51000.68170831768,0.9997942044844326
30,actual,60595,47949.809747993,0.9999248881325992
30,actual,77811,59895.270320038,0.9998223693277887
30,actual,17501,16060.365151631,0.9998175891046421
30,actual,60455,47850.865841972,0.99981196871682
30,actual,82961,63415.307697287,0.9998006240147058
30,shifted,43994,36103.312343384,0.9998477555885305
30,shifted,38635,32187.450382634997,0.9998336882635716
30,shifted,64072,50386.968064511006,0.999819086170338
30,shifted,56857,45314.742227457005,0.9997835125571217
30,shifted,41055,33963.028408903,0.9997665861631694
30,random,26549,37680.961018098766,0.9999194117575124
30,random,19920,40019.15840942931,0.9998711520562674
30,random,89357,18002.75020364149,0.9998451770757614
30,random,11825,58317.620507804946,0.9998120876276145
30,random,52917,17903.799208687455,0.9998034230618343
100,actual,13383,12715.003384573,0.9999679206776322
100,actual,72948,56549.912698745,0.9999074022994918
100,actual,13503,12813.965108507,0.9998745998468699
100,actual,78499,60366.812304941,0.9998444422380042
100,actual,89715,68000.594163756,0.9998432692445564
100,shifted,38242,31898.434099593,0.9998315166805134
100,shifted,96110,72312.269368104,0.9998208967085186
100,shifted,25107,22025.40468905,0.9998201020813652
100,shifted,30247,25941.251835475,0.9997858594316799
100,shifted,65493,51378.746986569,0.9997846850881174
100,random,23385,8700.19184650046,0.9999079923932253
100,random,2606,54112.752554071005,0.9998850853823172
100,random,96089,61647.5858581604,0.9998325608432549
100,random,22866,6361.985132151348,0.9997979492252548
100,random,95126,49900.02594263928,0.9997912786380647
300,actual,91306,69075.985574407,0.9998918348038508
300,actual,14693,13790.396653244,0.9998454443062343
300,actual,24328,21424.176399127,0.9998348818240863
300,actual,62942,49595.691906999,0.9998336596450049
300,actual,57234,45580.891231184,0.9998215964884707
300,shifted,29451,25340.041258676,0.9999094480716523
300,shifted,79780,61244.297465528005,0.999890173134308
300,shifted,97122,72991.83498878899,0.999877415664978
300,shifted,38231,31890.947903401,0.9998465397039749
300,shifted,87703,66638.838534832,0.999827101923157
300,random,72225,13592.496006001655,0.9998674766934534
300,random,59677,39722.64831058165,0.9998495552238823
300,random,7656,72793.93187649033,0.9998389020039219
300,random,74690,26298.499825640203,0.9998053013678271
300,random,3903,34328.099095708414,0.9997904295021631
1000,actual,12103,11652.228958012,0.9998609863078253
1000,actual,13888,13130.914598694,0.9998589778989515
1000,actual,88437,67135.727513569,0.9998395297072544
1000,actual,14129,13328.832824735,0.9998350259041302
1000,actual,84555,64500.67035885,0.9997891311398044
1000,shifted,67751,52951.026893721006,0.999922763817146
1000,shifted,58534,46499.058241249004,0.9998731623096003
1000,shifted,88582,67234.684700631,0.9998655212823073
1000,shifted,47678,38766.324335646,0.9998547646071553
1000,shifted,22083,19681.829021298,0.9998502625069441
1000,random,91472,41302.42417629667,0.999886109211387
1000,random,76387,59402.98410930562,0.9998836523143683
1000,random,29251,68515.4724400521,0.9998647615940941
1000,random,67489,45218.27020949074,0.999839121320176
1000,random,32093,19286.011745310712,0.9998154176030447
3000,actual,27202,23630.411957342,0.9999160110405253
3000,actual,35651,29983.409355269,0.9999051647949883
3000,actual,88923,67465.311852929,0.9999010548124752
3000,actual,7906,8065.960611558,0.9998893627382583
3000,actual,22380,19912.463395046,0.9998880421610826
3000,shifted,35784,30082.359496004,0.9999120474813084
3000,shifted,20365,18334.821276173,0.999859512514074
3000,shifted,56767,45250.99729829,0.9998402745616877
3000,shifted,32249,27447.313420784998,0.9998291556278496
3000,shifted,14290,13460.512035520002,0.9997860088043082
3000,random,55672,60914.40083650896,0.9999075469228693
3000,random,29866,11981.80729467386,0.9998784467106886
3000,random,77685,63351.54616800767,0.9998734273677689
3000,random,36115,63252.595283715156,0.9998431712911046
3000,random,76402,67465.32331753722,0.9998410175779161
