k,p,N_11,N_101,N_191,N_221,N_311,N_401,B_101_11,B_101_11_over_sqrt_k
1,11,1,0,0,0,0,0,-1,-1.00000000
2,101,1,1,0,0,0,0,0,0.00000000
3,191,1,1,1,0,0,0,0,0.00000000
4,821,1,1,1,0,0,1,0,0.00000000
5,1481,1,1,1,1,0,1,0,0.00000000
6,1871,1,1,2,1,0,1,0,0.00000000
7,2081,1,1,2,1,0,2,0,0.00000000
8,3251,1,1,2,1,1,2,0,0.00000000
9,3461,1,2,2,1,1,2,1,0.33333333
10,5651,1,2,3,1,1,2,1,0.31622777
11,9431,1,2,4,1,1,2,1,0.30151134
12,13001,1,2,4,1,1,3,1,0.28867513
13,15641,1,3,4,1,1,3,2,0.55470020
14,15731,1,3,5,1,1,3,2,0.53452248
15,16061,1,4,5,1,1,3,3,0.77459667
16,18041,1,4,5,1,1,4,3,0.75000000
17,18911,2,4,5,1,1,4,2,0.48507125
18,19421,2,5,5,1,1,4,3,0.70710678
19,21011,3,5,5,1,1,4,2,0.45883147
20,22271,4,5,5,1,1,4,1,0.22360680
21,25301,4,6,5,1,1,4,2,0.43643578
22,31721,4,6,5,2,1,4,2,0.42640143
23,34841,4,6,5,2,1,5,2,0.41702883
24,43781,4,7,5,2,1,5,3,0.61237244
25,51341,4,8,5,2,1,5,4,0.80000000
26,55331,4,8,5,2,2,5,4,0.78446454
27,62981,4,8,5,2,2,6,4,0.76980036
28,67211,5,8,5,2,2,6,3,0.56694671
29,69491,5,8,6,2,2,6,3,0.55708601
30,72221,5,8,6,2,2,7,3,0.54772256
31,77261,5,8,6,2,2,8,3,0.53881591
32,79691,5,8,6,2,3,8,3,0.53033009
33,81041,5,8,6,2,3,9,3,0.52223297
34,82721,5,8,6,2,3,10,3,0.51449576
35,88811,5,8,7,2,3,10,3,0.50709255
36,97841,5,8,7,2,3,11,3,0.50000000
37,99131,6,8,7,2,3,11,2,0.32879797
38,101111,6,8,7,2,4,11,2,0.32444284
