center,idx_spread,idx_var,dEA,dAB,dBC,dCE,D3,T,N,S,theta_four_log,pE,pA,pB,pC,IE,IA,IB,IC,theta12_count,theta12_log,pattern,center_mod12,rank_type
1410975,183,5114.25,183,-24,-15,-144,-0.42391304347826086,3963485516713948553878189,7963401802540,2.009191598899119e-12,-1.0647634649732865e-13,1410973,1410977,1410979,1410971,26848,27031,27007,26992,0.0011123882976751085,0.0010394074947513438,CEAB,3,idx_var_top
1402365,173,4521.5,173,-21,-25,-127,-0.5287356321839081,3867624090394623514036189,7866510372940,2.0339387151085203e-12,1.0784019576639673e-13,1402369,1402361,1402363,1402367,26707,26880,26859,26834,0.000988087026230914,0.0009042450012705698,ABCE,9,idx_var_top
1400805,171,4276.5,171,-30,-13,-128,-0.5,3850443303656471543440189,7849018592140,2.0384714104701625e-12,1.0797419174091715e-13,1400809,1400801,1400803,1400807,26684,26855,26825,26812,0.0009144008808106444,0.0008243116819041,ABCE,9,idx_var_top
1447005,162,3754.6875,162,-36,-3,-123,-0.4785276073619632,4384096723585655604100189,8375293880140,1.9103807256537972e-12,1.0096489597667971e-13,1447009,1447001,1447003,1447007,27502,27664,27628,27625,0.0007879221496689821,0.0006900759485513031,ABCE,9,idx_var_top
1381275,148,3574.6875,148,-12,-9,-127,-0.28187919463087246,3640161113647132994128189,7631682502540,2.0965232758320693e-12,-1.1119099283344502e-13,1381273,1381277,1381279,1381271,26342,26490,26478,26469,0.0010871928680147858,0.0010103590398789965,CEAB,3,idx_var_top
1451835,148,3564.6875,148,-16,-1,-131,-0.22818791946308725,4442925670849932381856189,8431299468940,1.8976908671368997e-12,-1.003151908386295e-13,1451833,1451837,1451839,1451831,27587,27735,27719,27718,0.0010383090910732504,0.0009616240605884523,CEAB,3,idx_var_top
1440585,156,3548.75,156,-32,-2,-122,-0.43312101910828027,4306808421498332775106189,8301140568940,1.927445977746102e-12,1.0193605855257472e-13,1440589,1440581,1440583,1440587,27391,27547,27515,27513,0.0008184496744389072,0.0007227337573200867,ABCE,9,idx_var_top
1360785,151,3416.1875,151,-30,4,-125,-0.34210526315789475,3428925533053432256926189,7406943264940,2.160135352471237e-12,1.1473595296274662e-13,1360789,1360781,1360783,1360787,25980,26131,26101,26105,0.0009107031587020084,0.0008178418377514911,ABCE,9,idx_var_top
1358805,147,3356.6875,147,-29,12,-130,-0.22972972972972974,3409012118652047314840189,7385404112140,2.1664352765810207e-12,1.1503080042702015e-13,1358809,1358801,1358803,1358807,25945,26092,26063,26075,0.0009695410519040442,0.0008814757298995805,ABCE,9,idx_var_top
803445,140,3303.1875,137,3,-24,-116,-0.2978723404255319,416701064177047140040189,2582095472140,6.196517585668858e-12,3.4180395847285007e-13,803449,803441,803443,803447,15952,16089,16092,16068,0.0018536114269692675,0.0017934832365714734,ABCE,9,idx_var_top
1368465,145,3256.25,145,-20,-5,-120,-0.3424657534246575,3506992017120219412126189,7490785824940,2.1359574781955416e-12,1.1340159689618039e-13,1368469,1368461,1368463,1368467,26118,26263,26243,26238,0.0009536524890329964,0.0008648996317232127,ABCE,9,idx_var_top
773025,139,3189.6875,128,11,-17,-122,-0.08571428571428572,357087097061530709878189,2390270602540,6.6938027786765016e-12,3.7029088586761044e-13,773029,773021,773023,773027,15392,15520,15531,15514,0.002146719393107901,0.002110418859509002,ABCE,9,idx_var_top
795795,136,3166.6875,136,-3,-15,-118,-0.26277372262773724,401055821346659814460189,2533158728140,6.316224807893809e-12,-3.4864692865890043e-13,795793,795797,795799,795791,15814,15950,15947,15932,0.0018070112034694614,0.0017422136405374304,CEAB,3,idx_var_top
1461405,137,3090.25,137,-9,-11,-117,-0.2898550724637681,4561234027468592613220189,8542818296140,1.87291821570513e-12,9.892350105408152e-14,1461409,1461401,1461403,1461407,27763,27900,27891,27880,0.0009692009476631488,0.0008872544391158985,ABCE,9,idx_var_top
