window,n_start,n_end,metric,corr_local_detrended_theta_log12,mean_metric,mean_theta_log12
0,1,1000,r,-0.18745676546724416,0.14914157021397942,0.02823490520410923
0,1,1000,Delta,0.14629003336047192,0.9353251625506834,0.02823490520410923
0,1,1000,Lambda,0.18497158048820628,0.32522083898131393,0.02823490520410923
1,1001,2000,r,-0.5037459759122739,0.10010254203558205,0.022941888132211305
1,1001,2000,Delta,0.5011811498714482,0.9539012474996608,0.022941888132211305
1,1001,2000,Lambda,0.5083080808851252,0.32998315158720926,0.022941888132211305
2,2001,3000,r,0.422255158818917,0.08650222909228916,0.01148657694518692
2,2001,3000,Delta,-0.42297441667444047,0.959676272800738,0.01148657694518692
2,2001,3000,Lambda,-0.4205506338170545,0.3308364649969046,0.01148657694518692
3,3001,4000,r,-0.5524260145137477,0.0786163194160982,0.013634185671855528
3,3001,4000,Delta,0.5536247723307205,0.9630998180108422,0.013634185671855528
3,3001,4000,Lambda,0.5491649353951896,0.3312720322616302,0.013634185671855528
4,4001,5000,r,-0.28910695000885017,0.07319085045271771,0.014633498492277972
4,4001,5000,Delta,0.2892347413560804,0.9654860046504201,0.014633498492277972
4,4001,5000,Lambda,0.28871593251143846,0.3315471053207426,0.014633498492277972
5,5001,6000,r,0.0970698674010439,0.06911850611199699,0.018526439753254787
5,5001,6000,Delta,-0.09695961056489724,0.967293303467306,0.018526439753254787
5,5001,6000,Lambda,-0.0974298902081782,0.33174052016949734,0.018526439753254787
6,6001,7000,r,0.8316696183659199,0.06589356761631529,0.013265058445753136
6,6001,7000,Delta,-0.8314490927637461,0.9687343079311956,0.013265058445753136
6,6001,7000,Lambda,-0.8324337062204072,0.3318857788300609,0.013265058445753136
7,7001,8000,r,0.1347459924027596,0.06324479798822284,0.008839624869118322
7,7001,8000,Delta,-0.13439847526462512,0.9699242873637498,0.008839624869118322
7,7001,8000,Lambda,-0.1360319727762984,0.3319998693061963,0.008839624869118322
8,8001,9000,r,0.4119144083842784,0.06101080831999409,0.0027615952760205037
8,8001,9000,Delta,-0.41211531500682647,0.9709324069217566,0.0027615952760205037
8,8001,9000,Lambda,-0.41113054699065016,0.33209244215638334,0.0027615952760205037
9,9001,10000,r,0.4241866540477992,0.05908827370138238,0.003119241995313554
9,9001,10000,Delta,-0.42403959654776,0.9718032496367611,0.003119241995313554
9,9001,10000,Lambda,-0.42478267712276874,0.3321694361590925,0.003119241995313554
10,10001,11000,r,-0.09159671254984879,0.05740732475335035,0.007692972714883332
10,10001,11000,Delta,0.09139239335688155,0.9725671344150724,0.007692972714883332
10,10001,11000,Lambda,0.09245992794707965,0.33223473057247555,0.007692972714883332
11,11001,12000,r,0.36389143481170816,0.05591865233965501,0.01225412757279167
11,11001,12000,Delta,-0.36416437411685953,0.9732455623450055,0.01225412757279167
11,11001,12000,Lambda,-0.36269593315369236,0.3322909799374572,0.01225412757279167
12,12001,13000,r,-0.13173707668009713,0.05458625613056907,0.013806687670085584
12,12001,13000,Delta,0.13198710821526508,0.9738542975104982,0.013806687670085584
12,12001,13000,Lambda,0.13060728919278286,0.33234006919674164,0.013806687670085584
13,13001,14000,r,0.661730053074649,0.05338311357344806,0.007568695329977922
13,13001,14000,Delta,-0.6618899375467662,0.9744052166492416,0.007568695329977922
13,13001,14000,Lambda,-0.6609848297190942,0.33238337793694256,0.007568695329977922
14,14001,15000,r,0.4692589939287707,0.052288454504628074,0.00788581718794708
14,14001,15000,Delta,-0.46944520936747114,0.9749074788177573,0.00788581718794708
14,14001,15000,Lambda,-0.4683680226442041,0.3324219421178791,0.00788581718794708
15,15001,16000,r,-0.07691172063767417,0.05128599750770166,0.006729657625515743
15,15001,16000,Delta,0.07691057597994702,0.9753682850968789,0.006729657625515743
15,15001,16000,Lambda,0.07691726875123696,0.3324565565122365,0.006729657625515743
16,16001,17000,r,0.5109265476158927,0.050362767275632665,0.008256520661302575
16,16001,17000,Delta,-0.5110296934092328,0.9757933897488615,0.008256520661302575
16,16001,17000,Lambda,-0.5104082389219439,0.3324878420271539,0.008256520661302575
17,17001,18000,r,-0.5703393379249496,0.049508258969520505,0.009415902004687237
17,17001,18000,Delta,0.5704481933084867,0.9761874630466834,0.009415902004687237
17,17001,18000,Lambda,0.5697800752462057,0.3325162919473739,0.009415902004687237
18,18001,19000,r,0.011349551270252545,0.04871386528188569,0.009111286123701825
18,18001,19000,Delta,-0.011225254631121858,0.9765543402929799,0.009111286123701825
18,18001,19000,Lambda,-0.012000660103586093,0.33254230344612656,0.009111286123701825
19,19001,20000,r,0.35310169785152934,0.04797245091173596,0.012728687234750655
19,19001,20000,Delta,-0.3531253003304712,0.9768972075311151,0.012728687234750655
19,19001,20000,Lambda,-0.3529752667528382,0.33256620037348333,0.012728687234750655
20,20001,21000,r,0.49858277514532107,0.047278036852371016,0.009027893908005777
20,20001,21000,Delta,-0.49862695143704366,0.9772187397286375,0.009027893908005777
20,20001,21000,Lambda,-0.49834190873056133,0.3325882498437059,0.009027893908005777
21,21001,22000,r,-0.12297795799458468,0.04662557204475199,0.006686291621251547
21,21001,22000,Delta,0.12291206437122985,0.9775212007468419,0.006686291621251547
21,21001,22000,Lambda,0.12334289587522959,0.33260867421597756,0.006686291621251547
22,22001,23000,r,-0.33085066103020905,0.046010748120098595,0.0038456322606921006
22,22001,23000,Delta,0.33092191763286566,0.9778065248999126,0.0038456322606921006
22,22001,23000,Lambda,0.3304489835276466,0.3326276604444612,0.0038456322606921006
23,23001,24000,r,-0.155166100264584,0.04542986903736093,0.0036758462077322884
23,23001,24000,Delta,0.15511255166878635,0.9780763741762125,0.0036758462077322884
23,23001,24000,Lambda,0.15547254570373015,0.3326453667999157,0.0036758462077322884
24,24001,25000,r,-0.21054691475487958,0.0448797391830798,0.006336394019471948
24,24001,25000,Delta,0.21044692709020524,0.9783321876900046,0.006336394019471948
24,24001,25000,Lambda,0.21112805678522323,0.3326619283658465,0.006336394019471948
25,25001,26000,r,-0.5291995306980503,0.04435757704215777,0.0073991713879963915
25,25001,26000,Delta,0.5291629056913678,0.9785752198608079,0.0073991713879963915
25,25001,26000,Lambda,0.5294153161611919,0.3326774612565388,0.0073991713879963915
26,26001,27000,r,0.4369203052446332,0.04386094986007672,0.007217301110827608
26,26001,27000,Delta,-0.43693264535105836,0.978806569277215,0.007217301110827608
26,26001,27000,Lambda,-0.4368462671587308,0.33269206583664623,0.007217301110827608
27,27001,28000,r,-0.4732416158179176,0.04338771875592144,0.00524555900868962
27,27001,28000,Delta,0.47321395777197967,0.9790272030317613,0.00524555900868962
27,27001,28000,Lambda,0.47340913813911806,0.33270582935398657,0.00524555900868962
28,28001,29000,r,-0.04856530191119333,0.04293599239287863,0.003902059184878217
28,28001,29000,Delta,0.0486065665098103,0.9792379773324295,0.003902059184878217
28,28001,29000,Lambda,0.048311762843883874,0.3327188281039182,0.003902059184878217
29,29001,30000,r,-0.19104635958986446,0.042504093513408475,0.003392655877263549
29,29001,30000,Delta,0.19113102460329817,0.9794396523177138,0.003392655877263549
29,29001,30000,Lambda,0.19051951450672078,0.3327311290534735,0.003392655877263549
30,30001,31000,r,-0.031145626728152784,0.0420905260219038,0.002299664376943743
30,30001,31000,Delta,0.031092145945367588,0.9796329067731506,0.002299664376943743
30,30001,31000,Lambda,0.03148242789340477,0.33274279132026596,0.002299664376943743
31,31001,32000,r,0.9197259104647357,0.04169394975524787,-0.0002657736497765538
31,31001,32000,Delta,-0.9197406249288393,0.9798183493870317,-0.0002657736497765538
31,31001,32000,Lambda,-0.9196318261490637,0.3327538673258295,-0.0002657736497765538
32,32001,33000,r,0.7182760212051993,0.041313163518475395,0.0011210668142554636
32,32001,33000,Delta,-0.7182687929819489,0.9799965262397011,0.0011210668142554636
32,32001,33000,Lambda,-0.7183223684689924,0.3327644036368091,0.0011210668142554636
33,33001,34000,r,-0.0981530076014573,0.04094708202649338,0.0032253241388579632
33,33001,34000,Delta,0.0980930717058237,0.9801679312225097,0.0032253241388579632
33,33001,34000,Lambda,0.09854350816531032,0.33277444191012995,0.0032253241388579632
34,34001,35000,r,0.8260239671783206,0.040594725998809894,0.004388170229937696
34,34001,35000,Delta,-0.8260366094679494,0.9803330103689325,0.004388170229937696
34,34001,35000,Lambda,-0.825940475328159,0.33278401941902136,0.004388170229937696
