center,orientation,orient_sign,idx_E,idx_A,idx_B,idx_C,dEA,dAB,dBC,dCE,idx_spread,idx_var,cyc_sum_abs,cyc_signed,cyc_energy,cyc_skew,cyc_balance,dir_obs,dir_obs2,dir_obs3,theta_log12,theta_res,spread_res,var_res,dir_res,dir2_res,dir3_res,energy_res,bin,master_pc1,master_eq,master_or,master_pc1_res,master_eq_res,master_or_res
9,ABCE,1,1,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0629260277053125,0.0421828310908833,304.62579035974693,14407.049693297116,-0.5567887739831815,0.0537981113002335,-0.5567887739831815,157504.60156364384,0,-11.167257768645001,4.879427413885971,4.42187656655222,-11.167257768644987,4.879427413885965,3.6691239075830437
15,CEAB,-1,1,2,2,1,1,0,-1,0,1,0.25,2,0,2,-2,0,0.0,-1.0,0.0,0.0164324867189283,-0.0035067780911638,286.4457758382992,13617.71042821354,-0.533030055224125,-0.9481878477645732,-0.533030055224125,148906.6160773608,0,-10.531275651749498,3.804160611378297,-3.1519173157936002,-10.531275651749485,3.8041606113782915,-3.873691441445059
105,ABCE,1,6,7,7,7,1,0,0,-1,1,0.1875,2,2,2,0,2,1.0,0.0,1.0,0.0396600476007487,0.0227832349943549,213.38251671445596,10609.831379811274,0.5574750600458516,0.0442469524489997,0.5574750600458516,116146.31929328098,0,-8.076923123680015,3.533144455463119,3.206981092328632,-8.076923123680004,3.5331444554631144,2.6032148339047
195,CEAB,-1,9,12,12,11,3,0,-1,-2,3,1.5,6,-4,14,-2,-4,-1.0,-0.5,-1.0,0.0487086373725555,0.0328060619316751,192.13939723457645,9654.287585054804,-1.41373316098088,-0.4581597132901651,-1.41373316098088,105736.50809186704,0,-7.3206040580190646,2.8045387789512723,-2.399257922955217,-7.320604058019055,2.8045387789512684,-2.965483138310075
825,ABCE,1,32,38,38,35,6,0,-3,-3,6,6.1875,12,6,54,6,6,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0175478427461138,0.0039152752673588,140.9820850813764,7429.465182748465,0.5104955863606246,0.8933755253143458,0.5104955863606246,81493.30966296067,0,-5.547259747609236,3.1152238046123264,3.085214008501141,-5.547259747609227,3.115223804612323,2.6064607863014437
1485,ABCE,1,54,61,61,59,7,0,-2,-5,7,8.1875,14,10,78,4,10,1.25,0.5,1.25,0.0195956443237061,0.0068881290978045,119.9124075949148,6522.91631759091,0.9306909389942816,0.5339475043092513,0.9306909389942816,71621.64947676646,0,-4.8177565752046805,2.5123385008322088,2.434023732234015,-4.8177565752046725,2.5123385008322057,1.9909162723751708
1875,CEAB,-1,68,71,75,73,3,4,-2,-5,7,6.6875,14,-2,54,4,-2,-0.25,0.5,-0.25,0.0316662202488893,0.0193257030233798,111.15665625022802,6160.96574223942,-0.5584631133402451,0.533040906259874,-0.5584631133402451,67671.72260107993,0,-4.522218946467671,2.383593450042393,-2.317853803681352,-4.522218946467663,2.38359345004239,-2.746819442403944
2085,ABCE,1,74,79,80,81,5,1,1,-7,7,7.25,14,12,76,-2,12,1.5,-0.25,1.5,0.024750026550415,0.0125765830851289,107.17065006170324,5997.435160167118,1.1964744428800134,-0.2173718173652111,1.1964744428800134,65906.46663569915,0,-4.3854170314075125,1.7253488656791465,1.4993422521379667,-4.385417031407505,1.7253488656791436,1.0768145973583882
3255,CEAB,-1,110,118,114,117,8,-4,3,-7,8,9.6875,22,-22,138,0,-22,-2.4444444444444446,0.0,-2.4444444444444446,0.0033014031007858,-0.0081710378356449,91.44629780883756,5311.376361607366,-2.7272531673222624,0.0308964905694643,-2.7272531673222624,58469.55747265888,0,-3.8393755887250003,1.6870043066517886,-1.5393914399155864,-3.839375588724993,1.6870043066517857,-1.934906815694891
3465,ABCE,1,117,123,121,124,6,-2,3,-7,7,7.1875,18,18,98,0,18,2.25,0.0,2.25,0.0078631426093864,-0.0035109044700071,88.09884047898088,5212.237899429773,1.970099125728688,0.0306534274498685,1.970099125728688,57376.99836516388,0,-3.7451675497196426,1.6459797393081854,1.5026540524752634,-3.7451675497196355,1.6459797393081828,1.1109301641853746
