center,orientation,orient_sign,idx_E,idx_A,idx_B,idx_C,dEA,dAB,dBC,dCE,idx_spread,idx_var,cyc_sum_abs,cyc_signed,cyc_energy,cyc_skew,cyc_balance,dir_obs,dir_obs2,dir_obs3,theta_log12,theta_res,spread_res,var_res,dir_res,dir2_res,dir3_res,energy_res,bin,master_pc1,master_eq,master_or,master_pc1_res,master_eq_res,master_or_res
2177505,ABCE,1,40244,40288,40299,40320,44,11,21,-76,76,770.1875,152,130,8274,-22,130,1.6883116883116882,-0.2857142857142857,1.6883116883116882,0.0004589398047225,-0.000774834064971,-84.82539533836135,-3984.12784303696,1.70808784887038,-0.280110454998593,1.70808784887038,-42921.62841276289,217,3.083712023849507,-1.5591181729264647,-1.490638667510023,3.0837120238495066,-1.5591181729264647,-1.491619473136944
2203965,ABCE,1,40688,40734,40747,40767,46,13,20,-79,79,843.5,158,132,8926,-26,132,1.65,-0.325,1.65,0.0004865938576399,-0.0007281713386502,-82.27889976491022,-3929.4848923467616,1.6703379267718672,-0.3194431265598521,1.6703379267718672,-42472.97192336994,220,3.025635027958125,-1.5653337142008374,-1.5086054552010542,3.0256350279581246,-1.5653337142008374,-1.5088537847408552
2176635,CEAB,-1,40228,40270,40282,40309,42,12,27,-81,81,852.1875,162,-138,9198,24,-138,-1.6829268292682926,0.2926829268292683,-1.6829268292682926,0.0004993798983141,-0.0007350228884766,-79.81039078325799,-3901.5101461304375,-1.6631692551921295,0.298288311163817,-1.6631692551921295,-41990.90063078063,217,2.971691356986448,-1.0488432980393663,0.8579532606697134,2.9716913569864474,-1.0488432980393663,0.8569482204881382
2202795,CEAB,-1,40665,40714,40726,40747,49,12,21,-82,82,907.5,164,-140,9710,24,-140,-1.686746987951807,0.2891566265060241,-1.686746987951807,0.0005001351545286,-0.0007154657275275,-79.25896217189319,-3864.664115626272,-1.6664337583283544,0.2947155643472984,-1.6664337583283544,-41680.03225284018,220,2.9482513942516206,-1.0415519132147433,0.8524691179115682,2.94825139425162,-1.0415519132147433,0.8521885862381942
2144505,ABCE,1,39671,39733,39724,39752,62,-9,28,-81,81,902.5,180,180,11270,0,180,2.1951219512195124,0.0,2.1951219512195124,0.0003639785292105,-0.0008938286258955,-79.25201490892016,-3828.2108232703295,2.2141878524429046,0.0056632003298375,2.2141878524429046,-39668.534583881854,214,2.8970282959824916,-1.2500519942757717,-1.1251255290523965,2.897028295982491,-1.2500519942757717,-1.1270324280729023
1727775,CEAB,-1,32469,32527,32526,32539,58,-1,13,-70,70,739.1875,142,-142,8434,0,-142,-2.0,0.0,-2.0,0.0004277167110049,-0.001170145829261,-82.13905409523636,-3657.534693628514,-1.9909838072405928,0.0065032418247144,-1.9909838072405928,-38866.82382143988,172,2.876806507279822,-1.2408126508805135,1.1156993746225836,2.876806507279822,-1.2408126508805135,1.100688855341989
2225055,CEAB,-1,41043,41092,41101,41129,49,9,28,-86,86,962.1875,172,-154,10662,18,-154,-1.7701149425287357,0.2068965517241379,-1.7701149425287357,0.0005017380672426,-0.0006980389541372,-75.63648409094245,-3825.5181708363434,-1.7493340679465137,0.2124163997578179,-1.7493340679465137,-40897.30652637874,222,2.872269189394627,-1.0742584316981512,0.9070780870181535,2.8722691893946264,-1.0742584316981512,0.9074073085508763
1718865,ABCE,1,32319,32378,32362,32389,59,-16,27,-70,70,708.5,172,172,9366,0,172,2.422535211267605,0.0,2.422535211267605,0.0003045110822138,-0.0013014883636857,-81.94492572841392,-3680.230454398087,2.43131093281854,0.0065233424867548,2.43131093281854,-37847.78003243326,171,2.857871984998855,-1.2325357025512043,-1.1070252999574446,2.857871984998855,-1.2325357025512043,-1.122349364990197
2193885,ABCE,1,40522,40564,40576,40611,42,12,35,-89,89,1011.1875,178,154,11054,-24,154,1.711111111111111,-0.2666666666666666,1.711111111111111,0.000548682738261,-0.000673296811415,-72.10678143104249,-3754.711746577616,1.731235831001249,-0.2610919715525579,1.731235831001249,-40267.7970509771,219,2.7946679156616065,-1.418565137545528,-1.360317140865916,2.794667915661606,-1.418565137545528,-1.3608434667301905
2143485,ABCE,1,39650,39714,39701,39737,64,-13,36,-87,87,1016.25,200,200,13130,0,200,2.272727272727273,0.0,2.272727272727273,0.0003777823427877,-0.0008807735383758,-73.23415198002843,-3713.7254548544142,2.2917710467357315,0.0056650499137112,2.2917710467357315,-37800.5251567232,214,2.745644143935251,-1.1843810769845662,-1.066259599168344,2.7456441439352504,-1.1843810769845662,-1.0681953494359229
2223675,CEAB,-1,41015,41069,41079,41108,54,10,29,-93,93,1132.6875,186,-166,12506,20,-166,-1.7659574468085106,0.2127659574468085,-1.7659574468085106,0.0005546680251969,-0.0006460853777763,-68.61318981021083,-3654.059208371379,-1.745205427379864,0.2182882174436247,-1.745205427379864,-39042.861775360376,222,2.6931316900144036,-0.9919093355264506,0.8320410274412895,2.693131690014403,-0.9919093355264504,0.8323326252980264
2248245,ABCE,1,41436,41483,41514,41529,47,31,15,-93,93,1265.25,186,124,12044,-62,124,1.319148936170213,-0.6595744680851063,1.319148936170213,0.0006852527654466,-0.0004982067737909,-69.02578271397704,-3538.482041062299,1.3404120437813838,-0.6540949292560135,1.3404120437813838,-39689.86126950387,224,2.687693004030658,-1.6860304231151415,-1.720831825068583,2.6876930040306575,-1.6860304231151415,-1.7198738292275442
2084445,ABCE,1,38636,38710,38677,38720,74,-33,43,-84,84,1078.1875,234,234,15470,0,234,2.752941176470588,0.0,2.752941176470588,0.0002275659032059,-0.001074946500148,-75.18544768773012,-3608.615638664567,2.7706858967002157,0.0057736360565039,2.7706858967002157,-34990.304360848255,208,2.6857126262163336,-1.158377116498806,-1.03961579148361,2.685712626216333,-1.158377116498806,-1.0432453528180714
1711815,CEAB,-1,32194,32252,32242,32273,58,-10,31,-79,79,838.1875,178,-178,10666,0,-178,-2.225,0.0,-2.225,0.000431646458462,-0.0011808212263005,-72.79060801806608,-3544.1901121014,-2.216415435294937,0.0065393210281362,-2.216415435294937,-36478.58665055214,171,2.6687906180628014,-1.1504903953861776,1.0350133674048045,2.6687906180628014,-1.1504903953861776,1.0194400566623485
2157735,CEAB,-1,39896,39956,39954,39988,60,-2,34,-92,92,1100.75,188,-188,13224,0,-188,-2.021505376344086,0.0,-2.021505376344086,0.0004834398171452,-0.0007646880566693,-68.48294090877073,-3639.467421417417,-2.002153421850063,0.0056392895250677,-2.002153421850063,-37818.0777926161,215,2.662270450690868,-1.1482479383404545,1.035544718299871,2.6622704506908677,-1.1482479383404545,1.034010798599704
2083515,CEAB,-1,38620,38694,38662,38706,74,-32,44,-86,86,1108.75,236,-236,15832,0,-236,-2.71264367816092,0.0,-2.71264367816092,0.0002486267429196,-0.0010545879819045,-73.16869186848578,-3577.3633469551705,-2.6949197137444103,0.0057753710067605,-2.6949197137444103,-34620.7913424326,208,2.642276097246135,-1.1395309567818863,1.0229873966584382,2.6422760972461345,-1.1395309567818863,1.0193307722211753
2246145,ABCE,1,41400,41444,41479,41495,44,35,16,-95,95,1330.25,190,120,12442,-70,120,1.25,-0.7291666666666666,1.25,0.0007249908586698,-0.0004599393839885,-66.99069502020004,-3472.0375757146903,1.271219643689524,-0.7236834947473361,1.271219643689524,-39276.12855684654,224,2.634574999013823,-1.7185676934557548,-1.7715568857067634,2.6345749990138225,-1.7185676934557548,-1.7706555616315094
1678755,CEAB,-1,31609,31681,31687,31686,72,6,-1,-77,78,1078.6875,156,-142,11150,10,-142,-1.7974683544303798,0.1265822784810126,-1.7974683544303798,0.0005598539614849,-0.0010833053869114,-73.05837357851729,-3273.5460028596844,-1.7897908251238297,0.1331974173674283,-1.7897908251238297,-35666.265441742085,167,2.586887887112274,-1.014134866227791,0.8745492420902911,2.586887887112274,-1.014134866227791,0.8577932654558682
2141805,ABCE,1,39617,39686,39670,39710,69,-16,40,-93,93,1165.6875,218,218,15266,0,218,2.3191489361702127,0.0,2.3191489361702127,0.000398519794983,-0.0008612700590702,-67.20471214717944,-3563.0759966487813,2.338156242390381,0.0056680982066542,2.338156242390381,-35651.324846841424,214,2.5790239259643752,-1.112132139382031,-1.0013470964198279,2.579023925964375,-1.112132139382031,-1.0033303963303835
2159235,CEAB,-1,39921,39984,39985,40017,63,1,32,-96,96,1212.1875,192,-190,14210,2,-190,-1.958762886597938,0.0206185567010309,-1.958762886597938,0.0005303752879616,-0.0007166589096118,-64.50903357742229,-3529.10408593599,-1.9393786105237891,0.0262551445090705,-1.9393786105237891,-36843.77729218901,215,2.5591181368729945,-1.0870873661180716,0.9749223607967489,2.559118136872994,-1.0870873661180716,0.9734305845790212
