type,anchor_p,p,E,A,B,C,sum_X,mean_X,Pi,Pi_tilde,K_P,K_P_tilde,abs_K_P_tilde,symmetry_cv,prime_density,is_quadruplet,p_times_abs_K_tilde
prime,5,5,5.0,7.0,11.0,13.0,36.0,9.0,-591.7219879246283,-583.7219879246283,-0.30416077232496463,0.02917256100836868,0.02917256100836868,0.35136418446315326,0.375,1,0.1458628050418434
control_ap,5,5,5.0,7.666666666666666,10.333333333333332,13.0,36.0,9.0,-619.0937866367874,-611.0937866367874,-0.3181399274105088,0.015193405922824532,0.015193405922824532,0.33126932999996883,0.375,1,0.07596702961412266
control_consecutive,5,5,5.0,6.0,7.0,8.0,26.0,6.5,-333.97795486397325,-325.97795486397325,-0.32934341262530537,0.00398992070802795,0.00398992070802795,0.17200522903844537,0.375,1,0.01994960354013975
control_random,5,4,4.0,16.0,6.0,10.0,36.0,9.0,-849.971547907433,-841.971547907433,-0.44403205791238204,-0.11069872457904872,0.11069872457904872,0.5091750772173156,0.391304347826087,0,0.4427948983161949
prime,11,11,11.0,13.0,17.0,19.0,60.0,15.0,-1743.8609318758392,-1735.8609318758392,-0.3229078444565301,0.010425488876803224,0.010425488876803224,0.21081851067789198,0.36666666666666664,1,0.11468037764483546
control_ap,11,11,11.0,13.666666666666666,16.333333333333332,19.0,60.0,15.0,-1771.3514509434974,-1763.3514509434974,-0.3279862753968066,0.0053470579365267334,0.0053470579365267334,0.1987615979999813,0.36666666666666664,1,0.05881763730179407
control_consecutive,11,11,11.0,12.0,13.0,14.0,50.0,12.5,-1245.9937180113448,-1237.9937180113448,-0.33226328346041883,0.0010700498729144803,0.0010700498729144803,0.08944271909999159,0.36666666666666664,1,0.011770548602059283
control_random,11,1,1.0,40.0,4.0,15.0,60.0,15.0,-3314.1655417648763,-3306.1655417648763,-0.7253153881414903,-0.391982054808157,0.391982054808157,1.023067283548187,0.4,0,0.391982054808157
prime,101,101,101.0,103.0,107.0,109.0,420.0,105.0,-88143.99674328537,-88135.99674328537,-0.3331216684753276,0.00021166485800572232,0.00021166485800572232,0.03011693009684171,0.1951219512195122,1,0.021378150658577955
control_ap,101,101,101.0,103.66666666666667,106.33333333333333,109.0,420.0,105.0,-88171.55097740503,-88163.55097740503,-0.33322579890543513,0.00010753442789818157,0.00010753442789818157,0.028394513999997317,0.1951219512195122,1,0.010860977217716339
control_consecutive,101,101,101.0,102.0,103.0,104.0,410.0,102.5,-84045.99990484462,-84037.99990484462,-0.3333174690052034,1.5864328129888694e-05,1.5864328129888694e-05,0.010907648670730682,0.1951219512195122,1,0.001602297141118758
control_random,101,174,174.0,109.0,105.0,32.0,420.0,105.0,-96421.57052651307,-96413.57052651307,-0.36023662275759677,-0.026903289424263455,0.026903289424263455,0.4787076328328454,0.1951219512195122,0,4.681172359821841
prime,191,191,191.0,193.0,197.0,199.0,780.0,195.0,-304143.99905397656,-304135.99905397656,-0.3332719681210616,6.136521227173564e-05,6.136521227173564e-05,0.016216808513683997,0.1951219512195122,1,0.011720755543901507
control_ap,191,191,191.0,193.66666666666666,196.33333333333334,199.0,780.0,195.0,-304171.55422641133,-304163.55422641133,-0.33330216184146494,3.117149186837587e-05,3.117149186837587e-05,0.015289353692306266,0.1951219512195122,1,0.0059537549468597906
control_consecutive,191,191,191.0,192.0,193.0,194.0,770.0,192.5,-296445.99997301603,-296437.99997301603,-0.33332883560581317,4.497727520147432e-06,4.497727520147432e-06,0.0058079687727267265,0.1951219512195122,1,0.0008590659563481595
control_random,191,60,60.0,14.0,4.0,702.0,780.0,195.0,-43273.63706964574,-43265.63706964574,-0.142411413377961,0.1909219199553723,0.1909219199553723,1.5050124447686843,0.24390243902439024,0,11.455315197322339
prime,821,821,821.0,823.0,827.0,829.0,3300.0,825.0,-5444943.99994711,-5444935.99994711,-0.33332990510524746,3.4282280858555225e-06,3.4282280858555225e-06,0.003833063830507127,0.17073170731707318,1,0.002814575258487384
control_ap,821,821,821.0,823.6666666666666,826.3333333333334,829.0,3300.0,825.0,-5444971.555481262,-5444963.555481262,-0.3333315920053238,1.741328009507992e-06,1.741328009507992e-06,0.003613847236363307,0.17073170731707318,1,0.0014296302958060614
control_consecutive,821,821,821.0,822.0,823.0,824.0,3290.0,822.5,-5412045.999998522,-5412037.999998522,-0.3333330869693273,2.4636400602906505e-07,2.4636400602906505e-07,0.0013593118404254042,0.17073170731707318,1,0.0002022648489498624
control_random,821,1520,1520.0,627.0,378.0,775.0,3300.0,825.0,-4316687.756981309,-4316679.756981309,-0.2712142049930145,0.0621191283403188,0.0621191283403188,0.5158775632247938,0.07317073170731707,0,94.42107507728457
prime,1481,1481,1481.0,1483.0,1487.0,1489.0,5940.0,1485.0,-17641743.999983683,-17641735.999983683,-0.33333227523962705,1.0580937062631968e-06,1.0580937062631968e-06,0.0021294799058372924,0.17073170731707318,1,0.0015670367789757944
control_ap,1481,1481,1481.0,1483.6666666666667,1486.3333333333333,1489.0,5940.0,1485.0,-17641771.555532627,-17641763.555532627,-0.33333279588835785,5.374449754680377e-07,5.374449754680377e-07,0.0020076929090907087,0.17073170731707318,1,0.0007959560086681639
control_consecutive,1481,1481,1481.0,1482.0,1483.0,1484.0,5930.0,1482.5,-17582445.99999954,-17582437.99999954,-0.33333325750012255,7.583321076642946e-08,7.583321076642946e-08,0.0007541544612140944,0.17073170731707318,1,0.00011230898514508203
control_random,1481,657,657.0,1982.0,591.0,2710.0,5940.0,1485.0,-28713905.998904444,-28713897.998904444,-0.5490925059430602,-0.21575917260972693,0.21575917260972693,0.6053544333327984,0.1951219512195122,0,141.7537764045906
prime,1871,1871,1871.0,1873.0,1877.0,1879.0,7500.0,1875.0,-28124943.999989767,-28124935.999989767,-0.33333266962938696,6.637039463575078e-07,6.637039463575078e-07,0.0016865480854231357,0.17073170731707318,1,0.0012417900836348972
control_ap,1871,1871,1871.0,1873.6666666666667,1876.3333333333333,1879.0,7500.0,1875.0,-28124971.555541173,-28124963.555541173,-0.3333329962136508,3.371196825030509e-07,3.371196825030509e-07,0.0015900927839998414,0.17073170731707318,1,0.0006307509259632083
control_consecutive,1871,1871,1871.0,1872.0,1873.0,1874.0,7490.0,1872.5,-28050045.999999713,-28050037.999999713,-0.33333328579924604,4.7534087277423254e-08,4.7534087277423254e-08,0.0005970809018691028,0.17073170731707318,1,8.893627729605891e-05
control_random,1871,536,536.0,1414.0,2183.0,3367.0,7500.0,1875.0,-25447153.94956224,-25447145.94956224,-0.30176812212786613,0.03156521120546718,0.03156521120546718,0.5546647435864099,0.0975609756097561,0,16.91895320613041
prime,2081,2081,2081.0,2083.0,2087.0,2089.0,8340.0,2085.0,-34777743.99999172,-34777735.99999172,-0.33333279659230347,5.367410298440234e-07,5.367410298440234e-07,0.0015166799329344746,0.17073170731707318,1,0.0011169580831054127
control_ap,2081,2081,2081.0,2083.6666666666665,2086.3333333333335,2089.0,8340.0,2085.0,-34777771.55554392,-34777763.55554392,-0.3333330607028266,2.726305067257684e-07,2.726305067257684e-07,0.0014299395539567165,0.17073170731707318,1,0.000567344084496324
control_consecutive,2081,2081,2081.0,2082.0,2083.0,2084.0,8330.0,2082.5,-34694445.99999978,-34694437.99999978,-0.3333332949025905,3.843074281029146e-08,3.843074281029146e-08,0.0005368710630251596,0.17073170731707318,1,7.997437578821653e-05
control_random,2081,1934,1934.0,460.0,5200.0,746.0,8340.0,2085.0,-53747757.262737215,-53747749.262737215,-0.5943870384140028,-0.26105370508066944,0.26105370508066944,0.9023790585508976,0.0975609756097561,0,504.8778656260147
prime,3251,3251,3251.0,3253.0,3257.0,3259.0,13020.0,3255.0,-84760143.99999659,-84760135.99999659,-0.33333311310415814,2.2022917517405816e-07,2.2022917517405816e-07,0.0009715138740916681,0.12195121951219512,1,0.0007159650484908631
control_ap,3251,3251,3251.0,3253.6666666666665,3256.3333333333335,3259.0,13020.0,3255.0,-84760171.55555074,-84760163.55555074,-0.333333221470871,1.1186246229311081e-07,1.1186246229311081e-07,0.0009159520645160533,0.12195121951219512,1,0.00036366486491490324
control_consecutive,3251,3251,3251.0,3252.0,3253.0,3254.0,13010.0,3252.5,-84630045.9999999,-84630037.9999999,-0.3333333175784874,1.575484592786225e-08,1.575484592786225e-08,0.00034374603804762335,0.12195121951219512,1,5.121900411148017e-05
control_random,3251,1363,1363.0,1764.0,8580.0,1313.0,13020.0,3255.0,-61939679.65703376,-61939671.65703376,-0.30933918013562733,0.02399415319770598,0.02399415319770598,0.9460387159260576,0.0975609756097561,0,32.70403080847325
prime,3461,3461,3461.0,3463.0,3467.0,3469.0,13860.0,3465.0,-96049743.99999702,-96049735.99999702,-0.3333331389896839,1.943436493956341e-07,1.943436493956341e-07,0.0009126342453588396,0.14634146341463414,1,0.0006726233705582896
control_ap,3461,3461,3461.0,3463.6666666666665,3466.3333333333335,3469.0,13860.0,3465.0,-96049771.55555132,-96049763.55555132,-0.33333323461907993,9.871425338259243e-08,9.871425338259243e-08,0.0008604398181817471,0.14634146341463414,1,0.0003416500309571524
control_consecutive,3461,3461,3461.0,3462.0,3463.0,3464.0,13850.0,3462.5,-95911245.99999993,-95911237.99999993,-0.33333331943159206,1.3901741258148803e-08,1.3901741258148803e-08,0.0003228979028880563,0.14634146341463414,1,4.811392649445301e-05
control_random,3461,1230,1230.0,4143.0,4333.0,4154.0,13860.0,3465.0,-96231317.721944,-96231309.721944,-0.3265420710469848,0.006791262286348521,0.006791262286348521,0.37303901056126504,0.17073170731707318,0,8.35325261220868
prime,5651,5651,5651.0,5653.0,5657.0,5659.0,22620.0,5655.0,-255832143.99999887,-255832135.99999887,-0.3333332603688378,7.29644955010933e-08,7.29644955010933e-08,0.0005592002935753103,0.1951219512195122,1,0.0004123223640766782
control_ap,5651,5651,5651.0,5653.666666666667,5656.333333333333,5659.0,22620.0,5655.0,-255832171.55555394,-255832163.55555394,-0.3333332962719996,3.7061333724164314e-08,3.7061333724164314e-08,0.0005272190928381346,0.1951219512195122,1,0.00020943359687525254
control_consecutive,5651,5651,5651.0,5652.0,5653.0,5654.0,22610.0,5652.5,-255606045.99999997,-255606037.99999997,-0.33333332811697264,5.2163606767408055e-09,5.2163606767408055e-09,0.00019779460216716406,0.1951219512195122,1,2.9477654184262292e-05
control_random,5651,4067,4067.0,6353.0,3784.0,8416.0,22620.0,5655.0,-298091714.817991,-298091706.817991,-0.3900163522317288,-0.0566830188983955,0.0566830188983955,0.33239166028322986,0.12195121951219512,0,230.5298378597745
prime,9431,9431,9431.0,9433.0,9437.0,9439.0,37740.0,9435.0,-712153743.9999995,-712153735.9999995,-0.3333333071217665,2.6211566805933728e-08,2.6211566805933728e-08,0.0003351645638758219,0.17073170731707318,1,0.000247201286546761
control_ap,9431,9431,9431.0,9433.666666666666,9436.333333333334,9439.0,37740.0,9435.0,-712153771.5555551,-712153763.5555551,-0.3333333200195214,1.3313811941806364e-08,1.3313811941806364e-08,0.0003159961812400482,0.17073170731707318,1,0.00012556256042317582
control_consecutive,9431,9431,9431.0,9432.0,9433.0,9434.0,37730.0,9432.5,-711776446.0,-711776438.0,-0.333333331460086,1.8732473350269174e-09,1.8732473350269174e-09,0.00011852997495360667,0.17073170731707318,1,1.7666595616638858e-05
control_random,9431,2888,2888.0,16074.0,17825.0,953.0,37740.0,9435.0,-281879137.4554718,-281879129.4554718,-0.13099975873065825,0.20233357460267506,0.20233357460267506,0.8024303647090077,0.0975609756097561,0,584.3393634525256
prime,13001,13001,13001.0,13003.0,13007.0,13009.0,52020.0,13005.0,-1353040143.9999998,-1353040135.9999998,-0.3333333195372416,1.3796091713480507e-08,1.3796091713480507e-08,0.00024315860516481197,0.12195121951219512,1,0.00017936298836696007
control_ap,13001,13001,13001.0,13003.666666666666,13006.333333333334,13009.0,52020.0,13005.0,-1353040171.5555553,-1353040163.5555553,-0.33333332632579454,7.007538771475197e-09,7.007538771475197e-09,0.00022925213148787811,0.12195121951219512,1,9.110501156794903e-05
control_consecutive,13001,13001,13001.0,13002.0,13003.0,13004.0,52010.0,13002.5,-1352520045.9999998,-1352520037.9999998,-0.33333333234751916,9.858141525320718e-10,9.858141525320718e-10,8.59860787348506e-05,0.12195121951219512,1,1.2816569797069466e-05
control_random,13001,6479,6479.0,13622.0,22261.0,9658.0,52020.0,13005.0,-1113952608.4009933,-1113952600.4009933,-0.27809679542340976,0.055236537909923555,0.055236537909923555,0.45465670564901595,0.0975609756097561,0,357.8775291183947
prime,15641,15641,15641.0,15643.0,15647.0,15649.0,62580.0,15645.0,-1958128143.9999995,-1958128135.9999995,-0.33333332380041975,9.532913569643142e-09,9.532913569643142e-09,0.00020212704762981014,0.14634146341463414,1,0.0001491043011427884
control_ap,15641,15641,15641.0,15643.666666666666,15646.333333333334,15649.0,62580.0,15645.0,-1958128171.555555,-1958128163.555555,-0.33333332849121844,4.8421148757249455e-09,4.8421148757249455e-09,0.000190567208053682,0.14634146341463414,1,7.573551877121387e-05
control_consecutive,15641,15641,15641.0,15642.0,15643.0,15644.0,62570.0,15642.5,-1957502446.0,-1957502438.0,-0.3333333326521933,6.811400332651374e-10,6.811400332651374e-10,7.147412426082116e-05,0.14634146341463414,1,1.0653711260300014e-05
control_random,15641,8782,8782.0,21033.0,29630.0,3135.0,62580.0,15645.0,-1381416369.7185411,-1381416361.7185411,-0.23528675175536923,0.09804658157796409,0.09804658157796409,0.6613382929960966,0.04878048780487805,0,861.0450794176807
prime,15731,15731,15731.0,15733.0,15737.0,15739.0,62940.0,15735.0,-1980721744.0,-1980721736.0,-0.3333333239091594,9.424173941230407e-09,9.424173941230407e-09,0.00020097093486929645,0.14634146341463414,1,0.00014825168026949553
control_ap,15731,15731,15731.0,15733.666666666666,15736.333333333334,15739.0,62940.0,15735.0,-1980721771.5555558,-1980721763.5555558,-0.33333332854645137,4.786881946383659e-09,4.786881946383659e-09,0.00018947721448998127,0.14634146341463414,1,7.530243989856134e-05
control_consecutive,15731,15731,15731.0,15732.0,15733.0,15734.0,62930.0,15732.5,-1980092446.0,-1980092438.0,-0.3333333326599641,6.733691937377273e-10,6.733691937377273e-10,7.10652463848654e-05,0.14634146341463414,1,1.0592770786688188e-05
control_random,15731,6692,6692.0,11460.0,19876.0,24912.0,62940.0,15735.0,-1719109564.1187685,-1719109556.1187685,-0.2887681085873455,0.04456522474598784,0.04456522474598784,0.4509734535184451,0.17073170731707318,0,298.2304840001506
