p,E,A,B,C,Pi,Pi_tilde,K_P,K_P_tilde,abs_K_P_tilde,prime_density,is_quadruplet,symmetry_cv,p_times_abs_K_tilde
2,2.0,3.0,5.0,7.0,-127.11789439687796,-119.11789439687796,-0.2948204668029458,0.03851286653038749,0.03851286653038749,0.38095238095238093,0,0.45183210281580044,0.07702573306077498
5,5.0,7.0,11.0,13.0,-591.7219879246283,-583.7219879246283,-0.30416077232496463,0.02917256100836868,0.02917256100836868,0.375,1,0.35136418446315326,0.1458628050418434
11,11.0,13.0,17.0,19.0,-1743.8609318758392,-1735.8609318758392,-0.3229078444565301,0.010425488876803224,0.010425488876803224,0.36666666666666664,1,0.21081851067789198,0.11468037764483546
101,101.0,103.0,107.0,109.0,-88143.99674328537,-88135.99674328537,-0.3331216684753276,0.00021166485800572232,0.00021166485800572232,0.1951219512195122,1,0.03011693009684171,0.021378150658577955
191,191.0,193.0,197.0,199.0,-304143.99905397656,-304135.99905397656,-0.3332719681210616,6.136521227173564e-05,6.136521227173564e-05,0.1951219512195122,1,0.016216808513683997,0.011720755543901507
821,821.0,823.0,827.0,829.0,-5444943.99994711,-5444935.99994711,-0.33332990510524746,3.4282280858555225e-06,3.4282280858555225e-06,0.17073170731707318,1,0.003833063830507127,0.002814575258487384
1481,1481.0,1483.0,1487.0,1489.0,-17641743.999983683,-17641735.999983683,-0.33333227523962705,1.0580937062631968e-06,1.0580937062631968e-06,0.17073170731707318,1,0.0021294799058372924,0.0015670367789757944
1871,1871.0,1873.0,1877.0,1879.0,-28124943.999989767,-28124935.999989767,-0.33333266962938696,6.637039463575078e-07,6.637039463575078e-07,0.17073170731707318,1,0.0016865480854231357,0.0012417900836348972
2081,2081.0,2083.0,2087.0,2089.0,-34777743.99999172,-34777735.99999172,-0.33333279659230347,5.367410298440234e-07,5.367410298440234e-07,0.17073170731707318,1,0.0015166799329344746,0.0011169580831054127
3251,3251.0,3253.0,3257.0,3259.0,-84760143.99999659,-84760135.99999659,-0.33333311310415814,2.2022917517405816e-07,2.2022917517405816e-07,0.12195121951219512,1,0.0009715138740916681,0.0007159650484908631
3461,3461.0,3463.0,3467.0,3469.0,-96049743.99999702,-96049735.99999702,-0.3333331389896839,1.943436493956341e-07,1.943436493956341e-07,0.14634146341463414,1,0.0009126342453588396,0.0006726233705582896
5651,5651.0,5653.0,5657.0,5659.0,-255832143.99999887,-255832135.99999887,-0.3333332603688378,7.29644955010933e-08,7.29644955010933e-08,0.1951219512195122,1,0.0005592002935753103,0.0004123223640766782
9431,9431.0,9433.0,9437.0,9439.0,-712153743.9999995,-712153735.9999995,-0.3333333071217665,2.6211566805933728e-08,2.6211566805933728e-08,0.17073170731707318,1,0.0003351645638758219,0.000247201286546761
13001,13001.0,13003.0,13007.0,13009.0,-1353040143.9999998,-1353040135.9999998,-0.3333333195372416,1.3796091713480507e-08,1.3796091713480507e-08,0.12195121951219512,1,0.00024315860516481197,0.00017936298836696007
15641,15641.0,15643.0,15647.0,15649.0,-1958128143.9999995,-1958128135.9999995,-0.33333332380041975,9.532913569643142e-09,9.532913569643142e-09,0.14634146341463414,1,0.00020212704762981014,0.0001491043011427884
15731,15731.0,15733.0,15737.0,15739.0,-1980721744.0,-1980721736.0,-0.3333333239091594,9.424173941230407e-09,9.424173941230407e-09,0.14634146341463414,1,0.00020097093486929645,0.00014825168026949553
16061,16061.0,16063.0,16067.0,16069.0,-2064673744.0,-2064673736.0,-0.3333333242923571,9.04097618992239e-09,9.04097618992239e-09,0.14634146341463414,1,0.00019684268037151444,0.0001452071185863435
18041,18041.0,18043.0,18047.0,18049.0,-2604976143.9999995,-2604976135.9999995,-0.33333332616756084,7.165772475392629e-09,7.165772475392629e-09,0.14634146341463414,1,0.00017524398227588693,0.00012927770122855842
18911,18911.0,18913.0,18917.0,18919.0,-2862217743.999999,-2862217735.999999,-0.333333326811584,6.521749307264457e-09,6.521749307264457e-09,0.12195121951219512,1,0.0001671835929245773,0.00012333280114967815
19421,19421.0,19423.0,19427.0,19429.0,-3018644944.0,-3018644936.0,-0.3333333271495434,6.183789924563143e-09,6.183789924563143e-09,0.1951219512195122,1,0.00016279421673968492,0.00012009538412494081
21011,21011.0,21013.0,21017.0,21019.0,-3533041743.9999995,-3533041735.9999995,-0.3333333280498785,5.283454840299129e-09,5.283454840299129e-09,0.17073170731707318,1,0.00015047716679364166,0.000111010669649525
22271,22271.0,22273.0,22277.0,22279.0,-3969404944.0000005,-3969404936.0000005,-0.3333333286306974,4.70263589180675e-09,4.70263589180675e-09,0.17073170731707318,1,0.00014196532705581952,0.00010473240394642813
25301,25301.0,25303.0,25307.0,25309.0,-5122744144.0,-5122744136.0,-0.333333329689453,3.6438803086014104e-09,3.6438803086014104e-09,0.12195121951219512,1,0.00012496651492465438,9.219381568792429e-05
31721,31721.0,31723.0,31727.0,31729.0,-8051804944.000001,-8051804936.000001,-0.3333333310150126,2.318320702077159e-09,2.318320702077159e-09,0.12195121951219512,1,9.967778282642646e-05,7.353945099058956e-05
34841,34841.0,34843.0,34847.0,34849.0,-9713392144.0,-9713392136.0,-0.33333333141158794,1.921745373945072e-09,1.921745373945072e-09,0.0975609756097561,1,9.075269508303571e-05,6.695553057362025e-05
43781,43781.0,43783.0,43787.0,43789.0,-15337009743.999998,-15337009735.999998,-0.33333333211623384,1.2170994767579657e-09,1.2170994767579657e-09,0.17073170731707318,1,7.22228539492607e-05,5.3285832191940496e-05
51341,51341.0,51343.0,51347.0,51349.0,-21090472144.0,-21090472136.0,-0.3333333324482575,8.850757904355078e-10,8.850757904355078e-10,0.14634146341463414,1,6.158881410397078e-05,4.5440676156749404e-05
55331,55331.0,55333.0,55337.0,55339.0,-24495697744.0,-24495697736.0,-0.33333333257129477,7.620385433781962e-10,7.620385433781962e-10,0.17073170731707318,1,5.714787494656871e-05,4.2164354643658974e-05
62981,62981.0,62983.0,62987.0,62989.0,-31736881744.0,-31736881736.0,-0.3333333327451638,5.881695130938169e-10,5.881695130938169e-10,0.14634146341463414,1,5.020683750366563e-05,3.7043504104161684e-05
67211,67211.0,67213.0,67217.0,67219.0,-36142849744.0,-36142849736.0,-0.33333333281686417,5.164691452286263e-10,5.164691452286263e-10,0.12195121951219512,1,4.7047201668799816e-05,3.47124077199612e-05
69491,69491.0,69493.0,69497.0,69499.0,-38636440144.0,-38636440136.0,-0.33333333285019706,4.831362532264905e-10,4.831362532264905e-10,0.14634146341463414,1,4.5503671633475494e-05,3.357362137296205e-05
72221,72221.0,72223.0,72227.0,72229.0,-41731604944.0,-41731604936.0,-0.33333333288603045,4.473028614171426e-10,4.473028614171426e-10,0.12195121951219512,1,4.3783698998523774e-05,3.2304659954407455e-05
77261,77261.0,77263.0,77267.0,77269.0,-47759041744.0,-47759041736.0,-0.3333333329424824,3.908509071948174e-10,3.908509071948174e-10,0.17073170731707318,1,4.092768601783964e-05,3.0197531940778788e-05
79691,79691.0,79693.0,79697.0,79699.0,-50810344143.99999,-50810344135.99999,-0.333333332965954,3.6737929365315836e-10,3.6737929365315836e-10,0.12195121951219512,1,3.967974979821042e-05,2.9276823290513843e-05
81041,81041.0,81043.0,81047.0,81049.0,-52546336144.00001,-52546336136.00001,-0.33333333297809137,3.5524194696989753e-10,3.5524194696989753e-10,0.14634146341463414,1,3.9018787835997034e-05,2.8789162624387465e-05
82721,82721.0,82723.0,82727.0,82729.0,-54747404944.0,-54747404936.0,-0.3333333329923735,3.409598159365146e-10,3.409598159365146e-10,0.0975609756097561,1,3.822638452908286e-05,2.8204536934084423e-05
