sektor,c_e,c_a,c_b,c_c,norm,m_verhaeltnis,reziprok_norm,feld_norm,re_zugeordnet,ra_zugeordnet,ist_urzeug,radius_quelle
rational,-1,0,0,0,1.0,113160,1.0,,2300.000000,,False,4
rational,0,0,-1,0,1.0,113160,1.0,,2300.000000,,False,4
rational,0,0,0,-1,1.0,113160,1.0,,2300.000000,,False,4
rational,0,0,0,1,1.0,113160,1.0,,2300.000000,,False,4
rational,0,0,1,0,1.0,113160,1.0,,2300.000000,,False,4
rational,1,0,0,0,1.0,113160,1.0,,2300.000000,,False,4
rational,-2,0,0,0,2.0,56580,0.5,,1150.000000,,False,4
rational,0,0,-2,0,2.0,56580,0.5,,1150.000000,,False,4
rational,0,0,0,-2,2.0,56580,0.5,,1150.000000,,False,4
rational,0,0,0,2,2.0,56580,0.5,,1150.000000,,False,4
rational,0,0,2,0,2.0,56580,0.5,,1150.000000,,False,4
rational,2,0,0,0,2.0,56580,0.5,,1150.000000,,False,4
rational,-3,0,0,0,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,-2,0,-2,-1,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,-2,0,-2,1,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,-2,0,-1,-2,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,-2,0,-1,2,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,-2,0,1,-2,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,-2,0,1,2,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,-2,0,2,-1,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,-2,0,2,1,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,-1,0,-2,-2,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,-1,0,-2,2,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,-1,0,2,-2,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,-1,0,2,2,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,0,0,-3,0,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,0,0,0,-3,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,0,0,0,3,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,0,0,3,0,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,1,0,-2,-2,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,1,0,-2,2,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,1,0,2,-2,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,1,0,2,2,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,2,0,-2,-1,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,2,0,-2,1,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,2,0,-1,-2,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,2,0,-1,2,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,2,0,1,-2,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,2,0,1,2,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,2,0,2,-1,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,2,0,2,1,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,3,0,0,0,3.0,37720,0.3333333333333333,,766.666667,,False,4
rational,-4,0,0,0,4.0,28290,0.25,,575.000000,,False,4
rational,0,0,-4,0,4.0,28290,0.25,,575.000000,,False,4
rational,0,0,0,-4,4.0,28290,0.25,,575.000000,,False,4
rational,0,0,0,4,4.0,28290,0.25,,575.000000,,False,4
rational,0,0,4,0,4.0,28290,0.25,,575.000000,,False,4
rational,4,0,0,0,4.0,28290,0.25,,575.000000,,False,4
rational,-4,0,-3,0,5.0,22632,0.2,,460.000000,,False,4
rational,-4,0,0,-3,5.0,22632,0.2,,460.000000,,False,4
rational,-4,0,0,3,5.0,22632,0.2,,460.000000,,False,4
rational,-4,0,3,0,5.0,22632,0.2,,460.000000,,False,4
rational,-3,0,-4,0,5.0,22632,0.2,,460.000000,,False,4
rational,-3,0,0,-4,5.0,22632,0.2,,460.000000,,False,4
rational,-3,0,0,4,5.0,22632,0.2,,460.000000,,False,4
rational,-3,0,4,0,5.0,22632,0.2,,460.000000,,False,4
rational,0,0,-4,-3,5.0,22632,0.2,,460.000000,,False,4
rational,0,0,-4,3,5.0,22632,0.2,,460.000000,,False,4
rational,0,0,-3,-4,5.0,22632,0.2,,460.000000,,False,4
rational,0,0,-3,4,5.0,22632,0.2,,460.000000,,False,4
rational,0,0,3,-4,5.0,22632,0.2,,460.000000,,False,4
rational,0,0,3,4,5.0,22632,0.2,,460.000000,,False,4
rational,0,0,4,-3,5.0,22632,0.2,,460.000000,,False,4
rational,0,0,4,3,5.0,22632,0.2,,460.000000,,False,4
rational,3,0,-4,0,5.0,22632,0.2,,460.000000,,False,4
rational,3,0,0,-4,5.0,22632,0.2,,460.000000,,False,4
rational,3,0,0,4,5.0,22632,0.2,,460.000000,,False,4
rational,3,0,4,0,5.0,22632,0.2,,460.000000,,False,4
rational,4,0,-3,0,5.0,22632,0.2,,460.000000,,False,4
rational,4,0,0,-3,5.0,22632,0.2,,460.000000,,False,4
rational,4,0,0,3,5.0,22632,0.2,,460.000000,,False,4
rational,4,0,3,0,5.0,22632,0.2,,460.000000,,False,4
rational,-4,0,-4,-2,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,-4,0,-4,2,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,-4,0,-2,-4,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,-4,0,-2,4,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,-4,0,2,-4,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,-4,0,2,4,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,-4,0,4,-2,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,-4,0,4,2,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,-2,0,-4,-4,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,-2,0,-4,4,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,-2,0,4,-4,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,-2,0,4,4,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,2,0,-4,-4,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,2,0,-4,4,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,2,0,4,-4,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,2,0,4,4,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,4,0,-4,-2,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,4,0,-4,2,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,4,0,-2,-4,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,4,0,-2,4,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,4,0,2,-4,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,4,0,2,4,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,4,0,4,-2,6.0,18860,0.16666666666666666,,383.333333,,False,4
rational,4,0,4,2,6.0,18860,0.16666666666666666,,383.333333,,False,4
phi,0,-1,0,0,1.618034,,,1,,1708.000000,True,3
phi,-1,-1,0,0,1.902113,,,5,,8540.000000,False,2
phi,-2,-1,-1,0,2.760079,,,41,,70028.000000,False,2
phi,0,-2,0,0,3.236068,,,16,,27328.000000,False,2
phi,-2,-2,0,0,3.804226,,,80,,136640.000000,False,2
phi,-2,-2,-2,-1,4.412724,,,205,,350140.000000,False,2
phi,0,-3,0,0,4.854102,,,81,,138348.000000,False,3
phi,-2,-3,0,0,5.249982,,,205,,350140.000000,False,3
phi,-3,-3,0,0,5.706339,,,405,,691740.000000,False,3
