Prime,Residuum,First_Zeros_Gap
2,0.0,6.887314496999998
3,2.8284271247461903,3.9888179410000006
5,6.0,5.414018546000001
7,22.360679774997898,2.5101854620000026
11,80.049984384758,4.651116570999996
13,258.8667610953558,3.3325408529999976
17,1014.8122979152351,2.408354269
19,5928.385277628302,4.678077600000002
23,26353.532438745286,1.768681597000004
29,99733.62211410954,3.1964889999999997
31,491929.7683409696,3.4759262189999944
37,1879709.3562112201,2.9007963060000037
41,13559298.45626609,1.4847345219999966
43,143883681.78646687,4.280765523000007
47,996139055.8326807,1.9672664809999958
53,5250294348.676451,2.466591182000002
59,40704497425.77129,2.520755962999999
61,372266177084.64166,3.637533024999996
67,2569098658075.473,1.4401493700000003
71,30058878315097.047,2.192534950999999
73,272280838992159.72,3.573005834
79,3094851937460138.0,1.825112126999997
83,2.838589306745604e+16,2.689781632000006
89,3.063956041218935e+17,1.3838365950000053
97,3.0184783152733414e+18,3.6827880629999896
101,2.785092307513444e+19,2.1594447700000075
103,2.7983064844173378e+20,1.2192901869999986
107,3.1985404423855874e+21,2.960559989999993
109,3.342622500960403e+22,2.486656788000005
113,3.2748131822897135e+23,2.4076870340000056
127,3.655604572401616e+24,1.7210850120000032
131,4.035955783469325e+25,1.7219881319999928
137,4.7690952260702875e+26,3.860924358999995
139,5.871617828764894e+27,0.8451236340000037
149,7.102430339172274e+28,2.445561737999995
151,8.748586845382028e+29,1.9064594060000104
157,1.0795909560431035e+31,2.5641025449999972
163,1.1984629892065516e+32,2.579342135999994
167,1.5694047633638179e+33,1.5767042920000023
173,2.559285446594191e+34,1.309989260000009
179,3.442491169848324e+35,3.2598653259999963
181,3.869667314584372e+36,2.062020320000002
191,5.235017678508643e+37,1.5089843309999935
193,7.878888918035409e+38,2.4100486720000163
197,1.1262968526320623e+40,1.258772549999975
199,1.5995878825429354e+41,3.3595323020000194
211,2.0918837973174986e+42,1.62016689699999
223,3.4273311269817975e+43,1.3874984519999884
227,5.354626269944152e+44,1.9881384040000114
229,7.994019163314733e+45,2.8891366789999893
233,1.1667291183031226e+47,1.4217828560000214
239,1.8180248239149314e+48,2.630755077999993
241,2.972458130068033e+49,0.871737190999994
251,4.746698799412933e+50,2.099436198999996
257,7.854736820797324e+51,3.088215482999999
263,1.2621241413267778e+53,1.4846825240000214
269,2.069083828760619e+54,1.2523963529999946
271,3.406981912417579e+55,2.338975966999982
277,5.785877474836689e+56,1.8417455490000236
281,9.697574649831671e+57,2.5063595009999915
283,1.5348383728418637e+59,1.6473707899999965
293,2.4564733235012302e+60,1.910075438000007
307,3.960590351135576e+61,0.8174610629999961
311,6.952118244866378e+62,3.499560040999995
313,1.2950323117186433e+64,1.3426550030000044
317,2.2140728647623895e+65,1.6872427749999872
331,3.347302388945951e+66,1.9359734780000224
337,6.301387172817682e+67,1.5390762440000003
347,1.0812169926823946e+69,2.2905944639999802
349,1.4671753722113135e+70,2.6673893640000017
353,2.5862277795803295e+71,0.7243158299999948
359,3.675504102404846e+72,1.6301389060000133
367,8.565693791152624e+73,2.1872360719999904
373,2.427359291416469e+75,2.6104977050000002
379,4.3573021020994394e+76,1.0530702430000076
383,1.0212455755149802e+78,2.185670076000008
389,2.1642127381680285e+79,1.611085160999977
397,3.5157371916174563e+80,1.1388278350000007
401,7.773996980793882e+81,3.249442268000024
409,1.7084577387255838e+83,1.2288425699999834
419,2.8730653031324516e+84,1.6960772890000158
421,8.018953990032067e+85,1.205025398999993
431,1.476309902206615e+87,2.511561685999993
433,3.0215197033991566e+88,1.6702508289999969
439,5.094089223402526e+89,2.1143528780000054
443,1.1581235926824201e+91,1.657056764999993
449,1.5232971310733395e+92,1.1991254229999981
457,3.0730710556158575e+93,1.6224937249999982
461,2.1518617087815803e+94,2.898057841000025
463,4.3545628425016074e+95,1.6473224899999934
467,2.554992417882311e+97,0.7157867159999967
479,5.733440441413549e+98,2.5762947000000054
487,2.0793612864832318e+100,0.9763244149999935
491,5.0086907287842515e+101,2.438119610000001
499,1.0646948283143405e+103,1.915969025999999
503,2.291604990223629e+104,1.9127753939999934
509,4.711471316354039e+105,0.737046552999999
521,1.2360116834900246e+107,1.7061689260000037
523,3.092911272368404e+108,2.8308254869999985
541,7.523619764794018e+109,1.2455908150000141
