n,e(E),a(A),b(B),c(C),k_ABC,e_share,resid_E8_abs,resid_E8_rel,bal_lam_alpha_std,bal_lam_alpha_min,bal_lam_alpha_max,bal_lam_alpha_argmin_u,bal_lam_alpha_argmax_u,blank_wedge_norm,P_E8_renorm_BC,pol_E8_deg,pol_BC_deg
8227945,709,5,211,11,1,0.4122235895132116,0.00085825761232,0.042719152867553,0.007289373522279212,-0.017960943204675145,0.007139052516062079,14,11,17.204650534085253,251.12490283439496,20.932239143892023,70.96881123564236
2478889,37,17,7,563,1,0.2452515912905324,0.0009909384783716,0.033766496328059,0.0018620824620058987,-0.004679775915907923,0.0016839211925036982,14,11,28.372521918222212,138.40490436886262,38.6501497470589,39.38145923627144
7728301,37,53,7,563,1,0.2276687853357818,0.0009909708712893,0.0406262460587565,0.0032878051683354515,-0.008142057875847318,0.003144172173785163,14,11,28.372521918222212,138.40490885220137,38.64240306563304,39.38145923627144
6728413,37,17,19,563,1,0.2296751300819263,0.0009938899251209,0.0318552094543774,0.003086524779638079,-0.0033209837307139035,0.006915371821336148,12,10,17.11724276862369,138.40531286417053,38.69394746202818,39.42447479085413
8703145,229,5,691,11,1,0.3400497959556238,0.0013379121772034,0.0457595158324356,0.0016035388730897947,-0.005415358140338476,0.00013151958813504698,1,0,44.45222154178574,207.78771750335704,27.465822903889958,36.44096558778477
8916565,373,5,7,683,1,0.3700195285480944,0.0014736819927055,0.047138714805953,0.005323294303176552,-0.01776265153186336,0.0005307841588651819,1,0,17.08800749063506,226.41280119677617,29.1934332359832,46.248779801897314
8695885,709,5,223,11,1,0.4107965603494398,0.0016532432073574,0.0453919574452819,0.004778046469747697,-0.01292087237487004,0.003432593576535314,14,11,26.248809496813376,250.9253414887942,18.05820769026445,40.498308625448175
5196505,73,5,619,23,1,0.2774572585316368,0.002013595940714,0.0122784716955832,0.002274821070311227,-0.0039781955507672655,0.0033191888131131526,9,15,17.69180601295413,163.95807549500802,51.65880229345533,53.737753475441714
2485285,73,5,619,11,1,0.2913546916158283,0.002017174961733,0.0365996057938675,0.0011023113221784093,-0.0036842964016106476,5.434261324069107e-06,1,0,36.51027252705737,163.95748868665967,51.69309414560908,53.776850658673375
5930785,709,5,7,239,1,0.4208768671214335,0.0020714251223942,0.0248744169840783,0.00828573309005657,0.0007068065931497399,0.027056200013021853,0,1,15.132745950421556,251.86169788736345,16.46067978125842,22.97863904043979
