N,Ptolemy_Tension,Prominence,Nearest_Quintuplet,Distance_To_Quintuplet
11000,0.6668885366770887,6.212358076851388e-07,6000.0,5000.0
16000,0.6668439370548592,3.776132916688546e-06,16000.0,0.0
18000,0.666839064030421,6.068164493222561e-06,19000.0,1000.0
24000,0.6668108805969672,2.7978472503242813e-06,22000.0,2000.0
27000,0.6668039184268553,1.757425174941929e-06,22000.0,5000.0
29000,0.6668020423779135,2.5068426905416885e-06,22000.0,7000.0
31000,0.666802965480908,1.4814143362018584e-06,22000.0,9000.0
38000,0.6667845944469738,9.560751802473177e-07,44000.0,6000.0
40000,0.6667830800765572,2.6644825192878585e-06,44000.0,4000.0
43000,0.6667739322863232,3.012774190902512e-06,44000.0,1000.0
45000,0.6667745630825799,2.118275617135623e-06,44000.0,1000.0
48000,0.666774594877223,6.070915179456904e-07,44000.0,4000.0
64000,0.6667583571764176,1.5520796206036636e-06,55000.0,9000.0
66000,0.666757916471238,7.825856825904864e-07,55000.0,11000.0
68000,0.6667555846303825,2.496145994901333e-06,80000.0,12000.0
73000,0.6667536229633372,7.996787658726134e-07,80000.0,7000.0
76000,0.6667519262761351,1.15798145727819e-06,80000.0,4000.0
78000,0.6667508037706449,7.91035343561397e-07,80000.0,2000.0
88000,0.6667462433339015,1.67701720188429e-06,89000.0,1000.0
103000,0.6667404050512113,4.223580072348909e-07,101000.0,2000.0
105000,0.6667401372165744,4.738331002007712e-07,101000.0,4000.0
107000,0.6667394714537815,1.1395958930959793e-06,101000.0,6000.0
116000,0.6667379143954287,4.376759964452859e-07,101000.0,15000.0
118000,0.6667375225043252,7.330378967163043e-07,101000.0,17000.0
137000,0.6667315129550659,4.383691055709349e-07,144000.0,7000.0
153000,0.666727866845426,4.705073490818279e-07,144000.0,9000.0
156000,0.6667277570228204,4.1456394450634093e-07,166000.0,10000.0
158000,0.6667279289244135,4.835373352829464e-07,166000.0,8000.0
177000,0.6667262712138822,7.53815387666279e-07,167000.0,10000.0
180000,0.6667249848242846,1.0626743452979426e-06,167000.0,13000.0
190000,0.6667235665956702,4.943443330240882e-07,196000.0,6000.0
212000,0.6667204434165204,4.2166809310906217e-07,202000.0,10000.0
215000,0.666720862752197,3.935853780667742e-07,225000.0,10000.0
235000,0.6667190036039905,4.2720767912118873e-07,225000.0,10000.0
