node,rho,ell,q1,q2,g,sigma,p,class,role,bulk,s3,flux,br,region,mode,step
0,198,102,2.0,3.0,1.0,7.754823529411765,11.244724252136752,beta_like,oberer beta-Restkern,4.25,0.0,0.0,0.0,bulk,E3,0
1,192,108,1.0,2.5,0.5,4.367307692307692,4.030916659810777,beta_like,oberer beta-Restkern,3.125,0.0,0.0,0.0,bulk,E3,0
2,102,102,1.0,2.0,0.2,1.940909090909091,1.4227377622377624,beta_like,oberer beta-Restkern,2.55,0.0,0.0,0.0,bulk,E3,0
3,18,18,1.5,1.5,0.2,0.995,0.9727193181818181,bridge_like,Brückenknoten / Übergangszone,2.3,0.0,0.0,0.0,bulk,E3,0
4,12,12,1.2,1.1,0.1,0.11274999999999999,-0.18805859374999997,alpha_like,tiefe alpha-Bindungszone,1.725,0.0,0.0,0.0,bulk,E3,0
5,12,6,1.1,0.8,0.1,0.089953125,0.03414242788461537,mixed,gemischter Übergangszustand,1.375,0.0,0.0,0.0,bulk,E3,0
6,6,6,0.9,0.6,0.3,0.22661538461538466,-0.05615549545940152,mixed,gemischter Übergangszustand,1.125,0.0,0.0,0.0,bulk,E3,0
7,6,6,0.8,0.7,0.4,1.1711944444444442,-0.8024730643539468,mixed,gemischter Übergangszustand,1.2000000000000002,0.0,0.0,0.0,bulk,E3,0
0,198,102,0.4010036161013617,1.7619080254790132,0.0,2.2809302381325467,1.3050874303109712,beta_like,oberer beta-Restkern,4.029213488123335,0.2207865118766649,0.2207865118766649,0.05194976750039174,transfer,E3,1
1,192,108,1.3459413809074912,2.7740256934073186,0.7758090335038337,5.9007968672264255,9.001948848850088,beta_like,oberer beta-Restkern,2.801453046274392,0.323546953725608,0.323546953725608,0.10353502519219455,transfer,E3,1
2,102,102,1.1928491071061291,1.1487760481045415,2.5361984815640364,0.660229263109841,-1.1898874119494496,gamma_core,gamma-Kern / Vermittlungskern,2.0848123597530095,0.4651876402469905,0.4651876402469905,0.1824265255870551,transfer,E3,1
3,18,18,1.4463006026230203,1.4413136271374085,0.17149290485757215,0.7057093020198012,0.882477566875819,bridge_like,Brückenknoten / Übergangszone,2.063991389785382,0.23600861021461794,0.23600861021461794,0.10261243922374694,transfer,E3,1
4,12,12,1.3298651269121502,1.2267819468036412,0.2684644419807692,0.24613715562685318,0.1283954117077587,alpha_like,tiefe alpha-Bindungszone,1.5598019768716958,0.16519802312830442,0.16519802312830442,0.09576696992945183,transfer,E3,1
5,12,6,1.0730591933760685,0.7779699507478633,0.10577396750814638,0.12296999185988941,-0.06581685267692555,mixed,gemischter Übergangszustand,1.3505311055139189,0.024468894486081104,0.024468894486081104,0.0177955596262408,transfer,E3,1
6,6,6,0.8477451728333961,0.5792567902675653,0.3752126850264579,0.5391938124838256,0.36637491308643283,mixed,gemischter Übergangszustand,1.0991392990591866,0.025860700940813473,0.025860700940813473,0.02298728972516753,transfer,E3,1
7,6,6,1.8632358001403826,1.4899679180526486,1.206271968117439,1.4491859171003125,1.476572641354801,mixed,gemischter Übergangszustand,1.1558905977794687,0.04410940222053153,0.04410940222053153,0.03675783518377627,transfer,E3,1
0,198,102,1.0256638870289565,2.2481770143142725,0.7292604914936036,3.2623665702586693,4.627289816208407,beta_like,oberer beta-Restkern,3.7269543522290225,0.5230456477709775,0.30225913589431264,0.12306956418140647,transfer,E3,2
1,192,108,0.0,1.629978096274284,0.0,2.1406161108019526,1.8434535380407895,beta_like,oberer beta-Restkern,2.6600455879713523,0.46495441202864773,0.14140745830303975,0.14878541184916727,transfer,E3,2
2,102,102,1.1873454787810749,1.895318829649467,5.745151403438226,1.8679015735199873,2.324640422485053,beta_like,oberer beta-Restkern,1.775940912209065,0.774059087790935,0.30887144754394447,0.30355258344742553,transfer,E3,2
3,18,18,1.2295814070565072,1.2636208464919163,0.0,0.2902188963378337,-0.26698227622754256,alpha_like,mittlere alpha-Ordnungszone,1.8900562790206552,0.4099437209793446,0.1739351107647267,0.17823640042580202,transfer,E3,2
4,12,12,1.377297941341323,1.2760261727767175,0.32131625209431086,0.3045395693424695,0.378308721377805,alpha_like,tiefe alpha-Bindungszone,1.4039124041461686,0.3210875958538316,0.1558895727255272,0.1861377367268589,transfer,E3,2
5,12,6,1.17657346181273,0.868430719761041,0.20017933020914194,0.10809123653186088,-0.018823885813745986,mixed,gemischter Übergangszustand,1.3253432402413938,0.04965675975860613,0.025187865272525027,0.0361140070971681,transfer,E3,2
6,6,6,0.9088520059578428,0.6423915091956904,0.4487148564986883,0.27425753899441474,0.2588881690537067,mixed,gemischter Übergangszustand,1.0748123855107135,0.050187614489286686,0.024326913548473217,0.04461121287936593,transfer,E3,2
7,6,6,0.7300339133814362,1.3760568115366114,1.6322757374533796,0.4843363270018487,-0.41444668233543647,alpha_like,tiefe alpha-Bindungszone,0.9624676994111807,0.23753230058881955,0.19342289836828802,0.19794358382401625,transfer,E3,2
0,198,102,0.375896175751951,1.7340444799781354,0.0,1.4018702907774259,1.0591240626253258,beta_like,oberer beta-Restkern,3.567740211261138,0.6822597887388618,0.1592141409678843,0.16053171499737925,transfer,E3,3
1,192,108,0.2613530014761131,1.8415584576052941,0.26313163141784035,1.8810630132229043,2.335687402433269,beta_like,oberer beta-Restkern,2.520776333767295,0.6042236662327051,0.13926925420405734,0.1933515731944656,transfer,E3,3
2,102,102,0.9337829708854812,1.706444331880726,5.078266149416635,1.0613289093530545,0.8186952662156861,gamma_core,gamma-Kern / Vermittlungskern,1.2530483106258845,1.2969516893741155,0.5228926015831805,0.5086085056369081,boundary,E3,3
3,18,18,1.5016635655253983,1.4907198225849352,0.347602311642786,0.9348337858756857,1.160125709318328,bridge_like,Brückenknoten / Übergangszone,1.6684046620471598,0.63159533795284,0.22165161697349536,0.2746066686751478,transfer,E3,3
4,12,12,1.2871644483630666,1.168933168052027,0.23380104542923763,0.16464745256219632,-0.09975291468084546,alpha_like,tiefe alpha-Bindungszone,1.2750360503840392,0.4499639496159611,0.12887635376212947,0.26084866644403537,transfer,E3,3
5,12,6,1.262207564972107,0.9541104254840469,0.26508329331865177,0.14989073994311208,-0.02111735470678816,alpha_like,tiefe alpha-Bindungszone,1.202267436964946,0.17273256303505408,0.12307580327644795,0.12562368220731204,transfer,E3,3
6,6,6,0.7778571508736185,0.551555795353413,0.3937303489788176,0.6237285834666,0.34219345584484906,mixed,gemischter Übergangszustand,1.0493611775459615,0.07563882245403872,0.025451207964752028,0.0672345088480344,transfer,E3,3
7,6,6,0.23542321751213469,1.7526335190614224,1.7105879564059023,1.9019525059093763,2.5243596540605306,mixed,gemischter Übergangszustand,0.9196209525536656,0.28037904744633463,0.04284674685751508,0.23364920620527882,transfer,E3,3
0,198,102,0.5982473266003401,1.9203644655159071,0.24098554328539806,1.9182075652080899,2.406360321635617,beta_like,oberer beta-Restkern,3.3809389478450163,0.8690610521549837,0.18680126341612188,0.20448495344823148,transfer,E3,4
1,192,108,0.021980410909600734,1.640955453050427,0.0,1.9909437994068124,2.5361564680695485,beta_like,oberer beta-Restkern,2.3974979943020536,0.7275020056979463,0.12327833946524129,0.2328006418233428,transfer,E3,4
2,102,102,1.0873510241045716,0.8193277656127391,6.032679627184353,0.5059295517120037,-0.02368704079506867,boundary_like,Rand-dominanter Feinkern (Basis: gamma_like),0.9795748682289763,1.5704251317710236,0.2734734423969082,0.6158529928513818,boundary,E3,4
