mode,step,q1_total,q2_total,g_total,sigma_total,E_total,bulk_total,s3_total,flux_total,H,alpha,beta,gamma,gamma_core,bridge,mixed,boundary,defect
E4,0,9.5,12.2,2.8,16.658553266688376,22.465999999999998,17.65,0.0,0.0,0.0,1,3,0,0,1,3,0,0
E4,1,9.5,11.2,5.439223482558255,11.905152547559496,19.74637845278667,16.231834555377528,1.4181654446224736,1.4181654446224736,0.08034931697577753,1,2,0,1,1,3,0,0
E4,2,7.635348095359871,11.2,9.076898071187351,8.732327822789037,19.274039072067524,14.81180836000104,2.8381916399989606,1.420026195376487,0.16080405892345387,3,3,0,0,0,2,0,0
E4,3,6.635348095359871,11.2,8.29220273660987,8.119315281110355,17.74041753920468,13.519417174096013,4.1305828259039865,1.2923911859050257,0.2340273555752967,2,2,0,1,1,2,0,0
E4,4,7.741244493184601,10.2,9.80750906779805,6.168466837541077,17.161687214792796,12.362118509207026,5.287881490792974,1.1572986648889876,0.2995966850307634,2,2,2,0,1,1,0,0
E4,5,7.758112261172844,10.2,9.219058523730165,6.107911823271189,16.367448779381196,11.295861623113312,6.354138376886687,1.0662568860937132,0.3600078400502373,3,2,1,0,0,1,1,0
E4,6,7.758112261172844,10.2,8.665915012306355,5.002867443126996,14.729559009545497,10.327372422469756,7.322627577530245,0.9684892006435571,0.4148797494351414,4,2,0,0,0,1,1,0
E4,7,7.758112261172845,10.2,8.145960111567973,4.982680398357674,13.900057698908233,9.603451973023903,8.046548026976097,0.7239204494458527,0.45589507234992055,3,2,0,0,0,2,1,0
E4,8,7.758112261172844,10.2,7.6572025048738945,4.478024361325034,13.006645121254568,8.77922629245362,8.87077370754638,0.8242256805702837,0.5025934111924295,3,2,0,0,0,0,3,0
E4,9,7.794225306006001,10.2,7.1977703545814595,4.725357060881049,12.883733497399732,8.055858686929358,9.594141313070642,0.7233676055242615,0.5435774115054188,2,2,0,0,0,0,4,0
E4,10,7.794225306006002,10.2,6.765904133306572,4.842062592160057,12.629977420369713,7.418818342069325,10.231181657930676,0.6370403448600335,0.5796703488912563,1,2,0,0,0,0,5,0
E4,11,7.794225306006002,10.2,6.359949885308177,4.883425262950556,12.322187351781894,6.854760359049445,10.795239640950555,0.5640579830198793,0.6116283082691534,1,2,0,0,0,0,5,0
E4,12,6.794225306006002,10.2,5.319532803917297,5.519161978566527,12.082779085012923,6.376256215051919,11.273743784948081,0.4785041439975258,0.6387390246429508,0,2,0,0,0,0,6,0
E4,13,7.799494352800841,10.2,5.863857683693699,4.668806231219293,11.708814880637226,5.940932235907676,11.709067764092325,0.43532397914424337,0.6634032727531063,0,2,0,0,0,0,6,0
E4,14,7.800713480665697,10.2,5.512026222672077,5.004930774222238,11.789546936784985,5.533099066150446,12.116900933849555,0.40783316975723005,0.6865099679234875,0,2,0,0,0,0,6,0
E4,15,7.8007134806656975,10.2,5.181304649311753,5.100049263752284,11.585467269185084,5.164935939058671,12.48506406094133,0.3681631270917754,0.707369068608574,0,2,0,0,0,0,6,0
