p,X_p,left_orbits,right_orbits,double_orbits,double_orbit_sizes,left_equals_right_partition
2,24,1,1,1,24,True
3,96,4,4,1,96,False
5,144,6,6,1,144,False
7,192,8,8,2,96;96,False
11,288,12,12,1,288,False
13,336,14,14,3,96;96;144,False
17,432,18,18,2,144;288,False
19,480,20,20,3,96;96;288,False
23,576,24,24,2,288;288,False
29,720,30,30,3,144;288;288,False
31,768,32,32,4,96;96;288;288,False
37,912,38,38,5,96;96;144;288;288,False
41,1008,42,42,4,144;288;288;288,False
43,1056,44,44,5,96;96;288;288;288,False
47,1152,48,48,4,288;288;288;288,False
53,1296,54,54,5,144;288;288;288;288,False
59,1440,60,60,5,288;288;288;288;288,False
61,1488,62,62,7,96;96;144;288;288;288;288,False
67,1632,68,68,7,96;96;288;288;288;288;288,False
71,1728,72,72,6,288;288;288;288;288;288,False
73,1776,74,74,8,96;96;144;288;288;288;288;288,False
79,1920,80,80,8,96;96;288;288;288;288;288;288,False
83,2016,84,84,7,288;288;288;288;288;288;288,False
89,2160,90,90,8,144;288;288;288;288;288;288;288,False
97,2352,98,98,10,96;96;144;288;288;288;288;288;288;288,False
101,2448,102,102,9,144;288;288;288;288;288;288;288;288,False
103,2496,104,104,10,96;96;288;288;288;288;288;288;288;288,False
107,2592,108,108,9,288;288;288;288;288;288;288;288;288,False
109,2640,110,110,11,96;96;144;288;288;288;288;288;288;288;288,False
113,2736,114,114,10,144;288;288;288;288;288;288;288;288;288,False
127,3072,128,128,12,96;96;288;288;288;288;288;288;288;288;288;288,False
131,3168,132,132,11,288;288;288;288;288;288;288;288;288;288;288,False
137,3312,138,138,12,144;288;288;288;288;288;288;288;288;288;288;288,False
139,3360,140,140,13,96;96;288;288;288;288;288;288;288;288;288;288;288,False
149,3600,150,150,13,144;288;288;288;288;288;288;288;288;288;288;288;288,False
151,3648,152,152,14,96;96;288;288;288;288;288;288;288;288;288;288;288;288,False
157,3792,158,158,15,96;96;144;288;288;288;288;288;288;288;288;288;288;288;288,False
163,3936,164,164,15,96;96;288;288;288;288;288;288;288;288;288;288;288;288;288,False
167,4032,168,168,14,288;288;288;288;288;288;288;288;288;288;288;288;288;288,False
173,4176,174,174,15,144;288;288;288;288;288;288;288;288;288;288;288;288;288;288,False
179,4320,180,180,15,288;288;288;288;288;288;288;288;288;288;288;288;288;288;288,False
181,4368,182,182,17,96;96;144;288;288;288;288;288;288;288;288;288;288;288;288;288;288,False
191,4608,192,192,16,288;288;288;288;288;288;288;288;288;288;288;288;288;288;288;288,False
193,4656,194,194,18,96;96;144;288;288;288;288;288;288;288;288;288;288;288;288;288;288;288,False
197,4752,198,198,17,144;288;288;288;288;288;288;288;288;288;288;288;288;288;288;288;288,False
199,4800,200,200,18,96;96;288;288;288;288;288;288;288;288;288;288;288;288;288;288;288;288,False
