alpha,beta,bandwidth,mean_B6,mean_B18,mean_B30,dom6,dom18,dom30
0.1,0.0,3.779064501037664,0.27135573556830034,0.3048083285311211,0.4238359359005786,4,20,18
0.1,1.0,3.778997929909762,0.22968432228632515,0.2622738223187217,0.5080418553949532,0,8,34
0.1,2.0,3.780559217583688,0.24269948336656577,0.2549042131557799,0.5023963034776544,0,12,30
0.1,4.0,3.8332887197946164,0.25698756448124477,0.24575714333939264,0.4972552921793625,5,14,23
0.1,8.0,3.9852385116681637,0.2670447424160505,0.23557954066652215,0.4973757169174275,7,14,21
0.2,0.0,3.862942049772067,0.2713438893970039,0.30484941156829215,0.4238066990347041,4,20,18
0.2,1.0,3.8624449242787646,0.23383434468039216,0.28176764806503557,0.48439800725457216,0,12,30
0.2,2.0,3.8631608606917798,0.22972878708957514,0.2623615422528293,0.5079096706575955,0,8,34
0.2,4.0,3.868324422881555,0.24265012110912737,0.25542523007162476,0.5019246488192479,0,13,29
0.2,8.0,3.9777505452081714,0.25639068201367354,0.24799166250337595,0.49561765548295045,6,14,22
0.35,0.0,3.989386122292351,0.2713116323241331,0.3049675374889346,0.42372083018693224,4,20,18
0.35,1.0,3.9884081194801317,0.2498039552065166,0.2921087336643696,0.4580873111291139,0,20,22
0.35,2.0,3.988551848949988,0.22862288776231335,0.27836336678976825,0.49301374544791843,0,12,30
0.35,4.0,3.991910802915414,0.23202267217241998,0.2621647221235889,0.5058126057039911,0,10,32
0.35,8.0,4.012511467532177,0.2458668109697189,0.250816492373923,0.503316696656358,2,14,26
0.5,0.0,4.116623082403375,0.2712657810684522,0.3051667589498038,0.42356745998174394,4,20,18
0.5,1.0,4.115223012654086,0.25621293469502154,0.2962504857411145,0.447536579563864,0,20,22
0.5,2.0,4.1148896154841825,0.24135398817023482,0.28687034567885844,0.4717756661509067,0,17,25
0.5,4.0,4.117200153974764,0.22670290091056128,0.2637767530501242,0.5095203460393145,0,6,36
0.5,8.0,4.133367347403773,0.23835559531823552,0.26186979983957875,0.4997746048421858,0,13,29
1.0,0.0,4.548171065173271,0.2720481867358133,0.30301809708096705,0.4249337161832197,4,22,16
1.0,1.0,4.5454896508603895,0.2636941022629503,0.30088108536166863,0.43542481237538105,4,20,18
1.0,2.0,4.543748896670305,0.25619132581290205,0.2969735938599286,0.44683508032716934,0,20,22
1.0,4.0,4.54302326685408,0.24178554564371105,0.2878819104264001,0.47033254392988877,0,17,25
1.0,8.0,4.552354356864775,0.22866548881842713,0.2658761582260199,0.505458352955553,0,8,34
