residue_mod_48,family_mod_12,count,mean_v2,mean_U_over_n,most_common_target_mod_48,target_prob
1,e,10417,2.0,0.7500288963786673,1,0.25007199769607374
3,3,10417,1.0,1.500025729182523,5,0.5000479984640491
5,a,10417,4.999712009215705,0.1250077608388354,1,0.08361332437362004
7,b,10417,1.0,1.5000164677238357,11,0.5000479984640491
9,9,10417,2.0,0.7500074445099508,7,0.25007199769607374
11,c,10417,1.0,1.5000138670512733,17,0.5000479984640491
13,e,10417,3.0,0.37500328646314446,5,0.12508399731208603
15,3,10417,1.0,1.500012605878555,23,0.5000479984640491
17,a,10417,2.0,0.750006091884505,13,0.25007199769607374
19,b,10417,1.0,1.5000118427866587,29,0.5000479984640491
21,9,10417,5.0001919938561965,0.12499348161285655,13,0.08351732744552175
23,c,10417,1.0,1.5000113209537012,35,0.5000479984640491
25,e,10417,2.0,0.7500055575267143,19,0.25007199769607374
27,3,10417,1.0,1.5000109352766349,41,0.5000479984640491
29,a,10417,3.0,0.37500269410344406,11,0.12508399731208603
31,b,10417,1.0,1.5000106345845357,47,0.5000479984640491
33,9,10416,2.0,0.7500052538746689,1,0.25
35,c,10416,1.0,1.5000103917835048,5,0.5
37,e,10416,5.0000960061443935,0.12500137037291817,1,0.08352534562211981
39,3,10416,1.0,1.5000101883867372,11,0.5
41,a,10416,2.0,0.7500050491746962,7,0.25
43,b,10416,1.0,1.5000100147427542,17,0.5
45,9,10416,3.0,0.3750024841942487,5,0.125
47,c,10416,1.0,1.5000098637924864,23,0.5
