p,num_reps_for_p,rep_E,rep_A,rep_B,rep_C,lengths,entropy,concentration,balance,critical_value,critical_gap
5,1,2,1,0,0,"[4, 1, 0, 0]",0.5004024235381879,0.6800000000000002,0.0,1.8234765819369751,1.318116071652818
7,1,2,1,1,1,"[4, 1, 1, 1]",1.15374194270109,0.3877551020408163,0.25,2.3288370922211326,0.8127555613686606
11,1,3,1,1,0,"[9, 1, 1, 0]",0.6001660731596457,0.6859504132231407,0.0,1.7934783554768243,1.3481142981129688
17,2,3,2,2,0,"[9, 4, 4, 0]",1.017602986115916,0.39100346020761245,0.0,2.4919043101575413,0.6496883434322518
17,2,4,1,0,0,"[16, 1, 0, 0]",0.22371807606583377,0.8892733564013842,0.0,1.633337088591388,1.508255564998405
29,2,4,3,2,0,"[16, 9, 4, 0]",0.9644814094229555,0.41973840665873957,0.0,2.4208829985823255,0.7207096550074676
29,2,5,2,0,0,"[25, 4, 0, 0]",0.40118986218700575,0.7621878715814505,0.0,1.731486979746807,1.410105673842986
47,2,5,3,3,2,"[25, 9, 9, 4]",1.1785068472794942,0.3635129017655047,0.16,2.468022766620087,0.6735698869697062
47,2,6,3,1,1,"[36, 9, 1, 1]",0.6845794531899323,0.6242643730194658,0.027777777777777776,1.8790392844645656,1.2625533691252275
53,3,6,4,1,0,"[36, 16, 1, 0]",0.6991956618491697,0.5528657885368458,0.0,2.0591316697400144,1.0824609838497787
53,3,6,3,2,2,"[36, 9, 4, 4]",0.9538379914878754,0.5016019935920256,0.1111111111111111,2.046158610618903,1.09543404297089
53,3,7,2,0,0,"[49, 4, 0, 0]",0.2675679125728715,0.8604485582057673,0.0,1.6525199179924037,1.4890727355973894
61,4,5,4,4,2,"[25, 16, 16, 4]",1.2462851399461377,0.3098629400698737,0.16,3.1204835109999194,0.02110914258987373
61,4,6,5,0,0,"[36, 25, 0, 0]",0.6767988247286394,0.5162590701424348,0.0,2.3384438482029273,0.8031488053868658
61,4,6,4,3,0,"[36, 16, 9, 0]",0.9445931668572058,0.43886052136522435,0.0,2.2840305736182978,0.8575620799714954
61,4,7,2,2,2,"[49, 4, 4, 4]",0.7119439143231573,0.6581564095673206,0.08163265306122448,1.815967100387418,1.325625553202375
71,2,6,5,3,1,"[36, 25, 9, 1]",1.0337559530673583,0.3973417972624479,0.027777777777777776,2.6189054546088015,0.5226871989809916
71,2,7,3,3,2,"[49, 9, 9, 4]",0.9416317862814252,0.5116048403094623,0.08163265306122448,2.02196432337287,1.1196283302169232
83,4,7,5,3,0,"[49, 25, 9, 0]",0.9134657713489871,0.451008854695892,0.0,2.2909405925631257,0.8506520610266675
83,4,7,4,3,3,"[49, 16, 9, 9]",1.1102784806241985,0.4092030773697199,0.1836734693877551,2.272871383941629,0.8687212696481641
83,4,8,3,3,1,"[64, 9, 9, 1]",0.7354844665065865,0.6182319640005807,0.015625,1.8686072815594212,1.2729853720303719
83,4,9,1,1,0,"[81, 1, 1, 0]",0.13028179420060346,0.952678182609958,0.0,1.5954883120880856,1.5461043415017075
131,5,8,7,3,3,"[64, 49, 9, 9]",1.0857488168309863,0.38803100052444495,0.140625,2.7249939875338427,0.4165986660559504
131,5,9,7,1,0,"[81, 49, 1, 0]",0.7022997954462794,0.5222889109026281,0.0,2.232830662873743,0.9087619907160502
131,5,9,5,5,0,"[81, 25, 25, 0]",0.9294402791410173,0.4551599557135365,0.0,2.198326271243558,0.943266382346235
131,5,9,5,4,3,"[81, 25, 16, 9]",1.0541384079184413,0.43837771691626365,0.1111111111111111,2.1947408281386735,0.9468518254511196
131,5,11,3,1,0,"[121, 9, 1, 0]",0.2945432986726657,0.8579336868480858,0.0,1.6535098038674492,1.488082849722344
149,6,8,7,6,0,"[64, 49, 36, 0]",1.071903395026938,0.3510202243142201,0.0,3.040215085267405,0.10137756832238809
149,6,9,8,2,0,"[81, 64, 4, 0]",0.7914357266973646,0.4807441106256475,0.0,2.5312095222595192,0.6103831313302739
149,6,9,6,4,4,"[81, 36, 16, 16]",1.1537456185323014,0.37696500157650553,0.19753086419753085,2.4290273480331837,0.7125653055566095
