Familie;Schalenbereich;N;Status;EABC;rest235;vK_plateau
EABC-e;S1;1.0;Basis-Ursprung;e;1.0;0.0
EABC-e;S2;2.0;Basis;e;1.0;1.0
EABC-e;S3;3.0;Basis;e;1.0;1.0
EABC-e;S4;;;;;
EABC-e;S5;8.0;Basis;e;1.0;3.0
EABC-e;S6;16.0;Basis;e;1.0;4.0
EABC-e;S7;27.0;Basis;e;1.0;3.0
EABC-e;S8;;;;;
EABC-e;S9;;;;;
EABC-e;S10;81.0;Basis;e;1.0;4.0
EABC-e;S11;;;;;
EABC-e;S12;;;;;
Mischzahlen;S1;;;;;
Mischzahlen;S2;;;;;
Mischzahlen;S3;;;;;
Mischzahlen;S4;6.0;Misch-Basis;e;1.0;3.0
Mischzahlen;S5;10.0;Misch-Basis;a;1.0;3.0
Mischzahlen;S6;15.0;Misch-Basis;a;1.0;3.0
Mischzahlen;S7;;;;;
Mischzahlen;S8;;;;;
Mischzahlen;S9;49.0;Mischzahl;e;49.0;0.0
Mischzahlen;S10;77.0;Mischzahl;a;77.0;0.0
Mischzahlen;S11;119.0;Mischzahl;c;119.0;0.0
Mischzahlen;S12;187.0;Mischzahl;b;187.0;0.0
Nachläufer;S1;;;;;
Nachläufer;S2;;;;;
Nachläufer;S3;;;;;
Nachläufer;S4;;;;;
Nachläufer;S5;;;;;
Nachläufer;S6;14.0;harmonischer Nachläufer;b;7.0;1.0
Nachläufer;S7;21.0;harmonischer Nachläufer;b;7.0;1.0
Nachläufer;S8;28.0;harmonischer Nachläufer;b;7.0;2.0
Nachläufer;S9;46.0;harmonischer Nachläufer;c;23.0;1.0
Nachläufer;S10;74.0;harmonischer Nachläufer;e;37.0;1.0
Nachläufer;S11;116.0;harmonischer Nachläufer;a;29.0;2.0
Nachläufer;S12;188.0;harmonischer Nachläufer;c;47.0;2.0
Neue Generatoren;S1;;;;;
Neue Generatoren;S2;;;;;
Neue Generatoren;S3;;;;;
Neue Generatoren;S4;;;;;
Neue Generatoren;S5;7.0;neuer Generator;b;7.0;0.0
Neue Generatoren;S6;11.0;neuer Generator;c;11.0;0.0
Neue Generatoren;S7;19.0;neuer Generator;b;19.0;0.0
Neue Generatoren;S8;29.0;neuer Generator;a;29.0;0.0
Neue Generatoren;S9;47.0;neuer Generator;c;47.0;0.0
Neue Generatoren;S10;73.0;neuer Generator;e;73.0;0.0
Neue Generatoren;S11;127.0;neuer Generator;b;127.0;0.0
Neue Generatoren;S12;191.0;neuer Generator;c;191.0;0.0
Plateaus;S1;;;;;
Plateaus;S2;;;;;
Plateaus;S3;;;;;
Plateaus;S4;;;;;
Plateaus;S5;;;;;
Plateaus;S6;12.0;Plateauwechsel;e;1.0;5.0
Plateaus;S7;18.0;Plateauwechsel;e;1.0;5.0
Plateaus;S8;30.0;Plateauwechsel;a;1.0;6.0
Plateaus;S9;45.0;Plateauwechsel;a;1.0;5.0
Plateaus;S10;75.0;Plateauwechsel;e;1.0;5.0
Plateaus;S11;120.0;Plateauwechsel;a;1.0;12.0
Plateaus;S12;192.0;Plateauwechsel;e;1.0;13.0
a-Schalen;S1;;;;;
a-Schalen;S2;;;;;
a-Schalen;S3;;;;;
a-Schalen;S4;5.0;a-Schale;a;1.0;1.0
a-Schalen;S5;;;;;
a-Schalen;S6;;;;;
a-Schalen;S7;25.0;a-Schale;e;1.0;2.0
a-Schalen;S8;;;;;
a-Schalen;S9;;;;;
a-Schalen;S10;;;;;
a-Schalen;S11;125.0;a-Schale;a;1.0;3.0
a-Schalen;S12;;;;;
