Familie2;Schalenbereich;N;Status;EABC;rest235;vK_plateau
a:Gen;S1;;;;;
a:Gen;S2;;;;;
a:Gen;S3;;;;;
a:Gen;S4;;;;;
a:Gen;S5;;;;;
a:Gen;S6;17.0;neuer Generator;a;17.0;0.0
a:Gen;S7;;;;;
a:Gen;S8;29.0;neuer Generator;a;29.0;0.0
a:Gen;S9;53.0;neuer Generator;a;53.0;0.0
a:Gen;S10;89.0;neuer Generator;a;89.0;0.0
a:Gen;S11;137.0;neuer Generator;a;137.0;0.0
a:Gen;S12;197.0;neuer Generator;a;197.0;0.0
a:Misch;S1;;;;;
a:Misch;S2;;;;;
a:Misch;S3;;;;;
a:Misch;S4;;;;;
a:Misch;S5;10.0;Misch-Basis;a;1.0;3.0
a:Misch;S6;15.0;Misch-Basis;a;1.0;3.0
a:Misch;S7;;;;;
a:Misch;S8;;;;;
a:Misch;S9;;;;;
a:Misch;S10;77.0;Mischzahl;a;77.0;0.0
a:Misch;S11;154.0;Mischzahl;a;77.0;1.0
a:Misch;S12;209.0;Mischzahl;a;209.0;0.0
a:Nach;S1;;;;;
a:Nach;S2;;;;;
a:Nach;S3;;;;;
a:Nach;S4;;;;;
a:Nach;S5;;;;;
a:Nach;S6;;;;;
a:Nach;S7;;;;;
a:Nach;S8;34.0;harmonischer Nachläufer;a;17.0;1.0
a:Nach;S9;51.0;harmonischer Nachläufer;a;17.0;1.0
a:Nach;S10;82.0;harmonischer Nachläufer;a;41.0;1.0
a:Nach;S11;116.0;harmonischer Nachläufer;a;29.0;2.0
a:Nach;S12;195.0;harmonischer Nachläufer;a;13.0;3.0
a:Plat;S1;;;;;
a:Plat;S2;;;;;
a:Plat;S3;;;;;
a:Plat;S4;;;;;
a:Plat;S5;;;;;
a:Plat;S6;;;;;
a:Plat;S7;20.0;Plateauwechsel;a;1.0;5.0
a:Plat;S8;30.0;Plateauwechsel;a;1.0;6.0
a:Plat;S9;45.0;Plateauwechsel;a;1.0;5.0
a:Plat;S10;80.0;Plateauwechsel;a;1.0;9.0
a:Plat;S11;120.0;Plateauwechsel;a;1.0;12.0
a:Plat;S12;240.0;Plateauwechsel;a;1.0;15.0
a:a;S1;;;;;
a:a;S2;;;;;
a:a;S3;;;;;
a:a;S4;5.0;a-Schale;a;1.0;1.0
a:a;S5;;;;;
a:a;S6;;;;;
a:a;S7;;;;;
a:a;S8;;;;;
a:a;S9;;;;;
a:a;S10;;;;;
a:a;S11;125.0;a-Schale;a;1.0;3.0
a:a;S12;;;;;
b:Gen;S1;;;;;
b:Gen;S2;;;;;
b:Gen;S3;;;;;
b:Gen;S4;;;;;
b:Gen;S5;7.0;neuer Generator;b;7.0;0.0
b:Gen;S6;;;;;
b:Gen;S7;19.0;neuer Generator;b;19.0;0.0
b:Gen;S8;31.0;neuer Generator;b;31.0;0.0
b:Gen;S9;67.0;neuer Generator;b;67.0;0.0
b:Gen;S10;79.0;neuer Generator;b;79.0;0.0
b:Gen;S11;127.0;neuer Generator;b;127.0;0.0
b:Gen;S12;199.0;neuer Generator;b;199.0;0.0
b:Misch;S1;;;;;
b:Misch;S2;;;;;
b:Misch;S3;;;;;
b:Misch;S4;;;;;
b:Misch;S5;;;;;
b:Misch;S6;;;;;
b:Misch;S7;;;;;
b:Misch;S8;;;;;
b:Misch;S9;;;;;
b:Misch;S10;91.0;Mischzahl;b;91.0;0.0
b:Misch;S11;182.0;Mischzahl;b;91.0;1.0
b:Misch;S12;187.0;Mischzahl;b;187.0;0.0
b:Nach;S1;;;;;
b:Nach;S2;;;;;
b:Nach;S3;;;;;
b:Nach;S4;;;;;
b:Nach;S5;;;;;
b:Nach;S6;14.0;harmonischer Nachläufer;b;7.0;1.0
b:Nach;S7;21.0;harmonischer Nachläufer;b;7.0;1.0
b:Nach;S8;28.0;harmonischer Nachläufer;b;7.0;2.0
b:Nach;S9;55.0;harmonischer Nachläufer;b;11.0;1.0
b:Nach;S10;76.0;harmonischer Nachläufer;b;19.0;2.0
b:Nach;S11;124.0;harmonischer Nachläufer;b;31.0;2.0
b:Nach;S12;189.0;harmonischer Nachläufer;b;7.0;3.0
c:Gen;S1;;;;;
c:Gen;S2;;;;;
c:Gen;S3;;;;;
c:Gen;S4;;;;;
c:Gen;S5;;;;;
c:Gen;S6;11.0;neuer Generator;c;11.0;0.0
c:Gen;S7;23.0;neuer Generator;c;23.0;0.0
c:Gen;S8;;;;;
c:Gen;S9;47.0;neuer Generator;c;47.0;0.0
c:Gen;S10;83.0;neuer Generator;c;83.0;0.0
c:Gen;S11;131.0;neuer Generator;c;131.0;0.0
c:Gen;S12;191.0;neuer Generator;c;191.0;0.0
c:Misch;S1;;;;;
c:Misch;S2;;;;;
c:Misch;S3;;;;;
c:Misch;S4;;;;;
c:Misch;S5;;;;;
c:Misch;S6;;;;;
c:Misch;S7;;;;;
c:Misch;S8;;;;;
c:Misch;S9;;;;;
c:Misch;S10;;;;;
c:Misch;S11;119.0;Mischzahl;c;119.0;0.0
c:Misch;S12;203.0;Mischzahl;c;203.0;0.0
c:Nach;S1;;;;;
c:Nach;S2;;;;;
c:Nach;S3;;;;;
c:Nach;S4;;;;;
c:Nach;S5;;;;;
c:Nach;S6;;;;;
c:Nach;S7;22.0;harmonischer Nachläufer;c;11.0;1.0
c:Nach;S8;33.0;harmonischer Nachläufer;c;11.0;1.0
c:Nach;S9;46.0;harmonischer Nachläufer;c;23.0;1.0
c:Nach;S10;88.0;harmonischer Nachläufer;c;11.0;3.0
c:Nach;S11;118.0;harmonischer Nachläufer;c;59.0;1.0
c:Nach;S12;188.0;harmonischer Nachläufer;c;47.0;2.0
e:Basis;S1;1.0;Basis-Ursprung;e;1.0;0.0
e:Basis;S2;2.0;Basis;e;1.0;1.0
e:Basis;S3;3.0;Basis;e;1.0;1.0
e:Basis;S4;;;;;
e:Basis;S5;8.0;Basis;e;1.0;3.0
e:Basis;S6;16.0;Basis;e;1.0;4.0
e:Basis;S7;27.0;Basis;e;1.0;3.0
e:Basis;S8;;;;;
e:Basis;S9;;;;;
e:Basis;S10;81.0;Basis;e;1.0;4.0
e:Basis;S11;;;;;
e:Basis;S12;;;;;
e:Gen;S1;;;;;
e:Gen;S2;;;;;
e:Gen;S3;;;;;
e:Gen;S4;;;;;
e:Gen;S5;;;;;
e:Gen;S6;13.0;neuer Generator;e;13.0;0.0
e:Gen;S7;;;;;
e:Gen;S8;37.0;neuer Generator;e;37.0;0.0
e:Gen;S9;61.0;neuer Generator;e;61.0;0.0
e:Gen;S10;73.0;neuer Generator;e;73.0;0.0
e:Gen;S11;157.0;neuer Generator;e;157.0;0.0
e:Gen;S12;193.0;neuer Generator;e;193.0;0.0
e:Misch;S1;;;;;
e:Misch;S2;;;;;
e:Misch;S3;;;;;
e:Misch;S4;6.0;Misch-Basis;e;1.0;3.0
e:Misch;S5;;;;;
e:Misch;S6;;;;;
e:Misch;S7;;;;;
e:Misch;S8;;;;;
e:Misch;S9;49.0;Mischzahl;e;49.0;0.0
e:Misch;S10;98.0;Mischzahl;e;49.0;1.0
e:Misch;S11;121.0;Mischzahl;e;121.0;0.0
e:Misch;S12;196.0;Mischzahl;e;49.0;2.0
e:Nach;S1;;;;;
e:Nach;S2;;;;;
e:Nach;S3;;;;;
e:Nach;S4;;;;;
e:Nach;S5;;;;;
e:Nach;S6;;;;;
e:Nach;S7;26.0;harmonischer Nachläufer;e;13.0;1.0
e:Nach;S8;39.0;harmonischer Nachläufer;e;13.0;1.0
e:Nach;S9;52.0;harmonischer Nachläufer;e;13.0;2.0
