N;nu2;nu3;nu5;rest235;EABC;AB_index;MW;Kepler;vK_plateau;Status
1;0;0;0;1;e;0;0;0;0;Basis-Ursprung
2;1;0;0;1;e;1;0;1;1;Basis
3;0;1;0;1;e;2;0;1;1;Basis
4;2;0;0;1;e;2;0;2;2;Basis
5;0;0;1;1;a;4;0;1;1;a-Schale
6;1;1;0;1;e;3;1;2;3;Misch-Basis
7;0;0;0;7;b;2;0;0;0;neuer Generator
8;3;0;0;1;e;3;0;3;3;Basis
9;0;2;0;1;e;4;0;2;2;Basis
10;1;0;1;1;a;5;1;2;3;Misch-Basis
11;0;0;0;11;c;3;0;0;0;neuer Generator
12;2;1;0;1;e;4;2;3;5;Plateauwechsel
13;0;0;0;13;e;0;0;0;0;neuer Generator
14;1;0;0;7;b;3;0;1;1;harmonischer Nachläufer
15;0;1;1;1;a;6;1;2;3;Misch-Basis
16;4;0;0;1;e;4;0;4;4;Basis
17;0;0;0;17;a;1;0;0;0;neuer Generator
18;1;2;0;1;e;5;2;3;5;Plateauwechsel
19;0;0;0;19;b;2;0;0;0;neuer Generator
20;2;0;1;1;a;6;2;3;5;Plateauwechsel
21;0;1;0;7;b;4;0;1;1;harmonischer Nachläufer
22;1;0;0;11;c;4;0;1;1;harmonischer Nachläufer
23;0;0;0;23;c;3;0;0;0;neuer Generator
24;3;1;0;1;e;5;3;4;7;Plateauwechsel
25;0;0;2;1;e;6;0;2;2;a-Schale
26;1;0;0;13;e;1;0;1;1;harmonischer Nachläufer
27;0;3;0;1;e;6;0;3;3;Basis
28;2;0;0;7;b;4;0;2;2;harmonischer Nachläufer
29;0;0;0;29;a;1;0;0;0;neuer Generator
30;1;1;1;1;a;7;3;3;6;Plateauwechsel
31;0;0;0;31;b;2;0;0;0;neuer Generator
32;5;0;0;1;e;5;0;5;5;Plateau
33;0;1;0;11;c;5;0;1;1;harmonischer Nachläufer
34;1;0;0;17;a;2;0;1;1;harmonischer Nachläufer
35;0;0;1;7;c;6;0;1;1;harmonischer Nachläufer
36;2;2;0;1;e;6;4;4;8;Plateauwechsel
37;0;0;0;37;e;0;0;0;0;neuer Generator
38;1;0;0;19;b;3;0;1;1;harmonischer Nachläufer
39;0;1;0;13;e;2;0;1;1;harmonischer Nachläufer
40;3;0;1;1;a;7;3;4;7;Plateauwechsel
41;0;0;0;41;a;1;0;0;0;neuer Generator
42;1;1;0;7;b;5;1;2;3;harmonischer Nachläufer
43;0;0;0;43;b;2;0;0;0;neuer Generator
44;2;0;0;11;c;5;0;2;2;harmonischer Nachläufer
45;0;2;1;1;a;8;2;3;5;Plateauwechsel
46;1;0;0;23;c;4;0;1;1;harmonischer Nachläufer
47;0;0;0;47;c;3;0;0;0;neuer Generator
48;4;1;0;1;e;6;4;5;9;Plateauwechsel
49;0;0;0;49;e;0;0;0;0;Mischzahl
50;1;0;2;1;e;7;2;3;5;Plateauwechsel
51;0;1;0;17;a;3;0;1;1;harmonischer Nachläufer
52;2;0;0;13;e;2;0;2;2;harmonischer Nachläufer
53;0;0;0;53;a;1;0;0;0;neuer Generator
54;1;3;0;1;e;7;3;4;7;Plateauwechsel
55;0;0;1;11;b;5;0;1;1;harmonischer Nachläufer
56;3;0;0;7;b;5;0;3;3;harmonischer Nachläufer
57;0;1;0;19;b;4;0;1;1;harmonischer Nachläufer
58;1;0;0;29;a;2;0;1;1;harmonischer Nachläufer
59;0;0;0;59;c;3;0;0;0;neuer Generator
60;2;1;1;1;a;8;5;4;9;Plateauwechsel
61;0;0;0;61;e;0;0;0;0;neuer Generator
62;1;0;0;31;b;3;0;1;1;harmonischer Nachläufer
63;0;2;0;7;b;6;0;2;2;harmonischer Nachläufer
64;6;0;0;1;e;6;0;6;6;Plateau
65;0;0;1;13;a;4;0;1;1;harmonischer Nachläufer
66;1;1;0;11;c;6;1;2;3;harmonischer Nachläufer
67;0;0;0;67;b;2;0;0;0;neuer Generator
68;2;0;0;17;a;3;0;2;2;harmonischer Nachläufer
69;0;1;0;23;c;5;0;1;1;harmonischer Nachläufer
70;1;0;1;7;c;7;1;2;3;harmonischer Nachläufer
71;0;0;0;71;c;3;0;0;0;neuer Generator
72;3;2;0;1;e;7;6;5;11;Plateauwechsel
73;0;0;0;73;e;0;0;0;0;neuer Generator
74;1;0;0;37;e;1;0;1;1;harmonischer Nachläufer
75;0;1;2;1;e;8;2;3;5;Plateauwechsel
76;2;0;0;19;b;4;0;2;2;harmonischer Nachläufer
77;0;0;0;77;a;1;0;0;0;Mischzahl
78;1;1;0;13;e;3;1;2;3;harmonischer Nachläufer
79;0;0;0;79;b;2;0;0;0;neuer Generator
80;4;0;1;1;a;8;4;5;9;Plateauwechsel
81;0;4;0;1;e;8;0;4;4;Basis
82;1;0;0;41;a;2;0;1;1;harmonischer Nachläufer
83;0;0;0;83;c;3;0;0;0;neuer Generator
84;2;1;0;7;b;6;2;3;5;harmonischer Nachläufer
85;0;0;1;17;e;3;0;1;1;harmonischer Nachläufer
86;1;0;0;43;b;3;0;1;1;harmonischer Nachläufer
87;0;1;0;29;a;3;0;1;1;harmonischer Nachläufer
88;3;0;0;11;c;6;0;3;3;harmonischer Nachläufer
89;0;0;0;89;a;1;0;0;0;neuer Generator
90;1;2;1;1;a;9;5;4;9;Plateauwechsel
91;0;0;0;91;b;2;0;0;0;Mischzahl
92;2;0;0;23;c;5;0;2;2;harmonischer Nachläufer
93;0;1;0;31;b;4;0;1;1;harmonischer Nachläufer
94;1;0;0;47;c;4;0;1;1;harmonischer Nachläufer
95;0;0;1;19;c;6;0;1;1;harmonischer Nachläufer
96;5;1;0;1;e;7;5;6;11;Plateauwechsel
97;0;0;0;97;e;0;0;0;0;neuer Generator
98;1;0;0;49;e;1;0;1;1;Mischzahl
99;0;2;0;11;c;7;0;2;2;harmonischer Nachläufer
100;2;0;2;1;e;8;4;4;8;Plateauwechsel
