pattern,degree,symmetry_index,M2,M3,M5,log_discriminant,factor_count,poly_expr
"(0, 2)",2,1,2.0,0.0,0.0,1.3862943611198906,2,y**2 - 1
"(0, 4)",2,1,8.0,0.0,0.0,2.772588722239781,2,y**2 - 4
"(0, 6)",2,1,18.0,0.0,0.0,3.58351893845611,2,y**2 - 9
"(0, 8)",2,1,32.0,0.0,0.0,4.1588830833596715,2,y**2 - 16
"(0, 10)",2,1,50.0,0.0,0.0,4.605170185988092,2,y**2 - 25
"(0, 12)",2,1,72.0,0.0,0.0,4.969813299576001,2,y**2 - 36
"(0, 14)",2,1,98.0,0.0,0.0,5.278114659230517,2,y**2 - 49
"(0, 16)",2,1,128.0,0.0,0.0,5.545177444479562,2,y**2 - 64
"(0, 18)",2,1,162.0,0.0,0.0,5.780743515792329,2,y**2 - 81
"(0, 20)",2,1,200.0,0.0,0.0,5.991464547107982,2,y**2 - 100
"(0, 2, 4)",3,1,8.0,0.0,0.0,5.545177444479562,3,y**3 - 4*y
"(0, 2, 6)",3,0,18.666666666666668,17.77777777777778,276.5432098765432,7.742402021815782,3,y**3 - 28*y/3 - 160/27
"(0, 4, 6)",3,0,18.666666666666668,-17.77777777777778,-276.5432098765432,7.742402021815782,3,y**3 - 28*y/3 + 160/27
"(0, 2, 8)",3,0,34.666666666666664,62.22222222222222,1797.530864197531,9.128696382935672,3,y**3 - 52*y/3 - 560/27
"(0, 4, 8)",3,1,32.0,0.0,0.0,9.704060527839234,3,y**3 - 16*y
"(0, 6, 8)",3,0,34.666666666666664,-62.22222222222222,-1797.530864197531,9.128696382935672,3,y**3 - 52*y/3 + 560/27
"(0, 2, 10)",3,0,56.0,144.0,6720.0,10.150347630467653,3,y**3 - 28*y - 48
"(0, 4, 10)",3,0,50.666666666666664,49.77777777777778,2101.7283950617284,10.961277846683982,3,y**3 - 76*y/3 - 448/27
"(0, 6, 10)",3,0,50.666666666666664,-49.77777777777778,-2101.7283950617284,10.961277846683982,3,y**3 - 76*y/3 + 448/27
"(0, 8, 10)",3,0,56.0,-144.0,-6720.0,10.150347630467653,3,y**3 - 28*y + 48
"(0, 2, 12)",3,0,82.66666666666667,273.77777777777777,18860.246913580246,10.961277846683982,3,y**3 - 124*y/3 - 2464/27
"(0, 4, 12)",3,0,74.66666666666667,142.22222222222223,8849.382716049382,11.901285105175454,3,y**3 - 112*y/3 - 1280/27
"(0, 6, 12)",3,1,72.0,0.0,0.0,12.136851176488221,3,y**3 - 36*y
"(0, 8, 12)",3,0,74.66666666666667,-142.22222222222223,-8849.382716049382,11.901285105175454,3,y**3 - 112*y/3 + 1280/27
"(0, 10, 12)",3,0,82.66666666666667,-273.77777777777777,-18860.246913580246,10.961277846683982,3,y**3 - 124*y/3 + 2464/27
"(0, 2, 14)",3,0,114.66666666666667,462.22222222222223,44167.9012345679,11.634222319926408,3,y**3 - 172*y/3 - 4160/27
"(0, 4, 14)",3,0,104.0,288.0,24960.0,12.65587356745839,3,y**3 - 52*y - 96
"(0, 6, 14)",3,0,98.66666666666667,97.77777777777777,8039.506172839506,13.0205166810463,3,y**3 - 148*y/3 - 880/27
"(0, 8, 14)",3,0,98.66666666666667,-97.77777777777777,-8039.506172839506,13.0205166810463,3,y**3 - 148*y/3 + 880/27
"(0, 10, 14)",3,0,104.0,-288.0,-24960.0,12.65587356745839,3,y**3 - 52*y + 96
"(0, 12, 14)",3,0,114.66666666666667,-462.22222222222223,-44167.9012345679,11.634222319926408,3,y**3 - 172*y/3 + 4160/27
"(0, 2, 16)",3,0,152.0,720.0,91200.0,12.20958646482997,3,y**3 - 76*y - 240
"(0, 4, 16)",3,0,138.66666666666666,497.77777777777777,57520.98765432099,13.287579466295345,3,y**3 - 208*y/3 - 4480/27
"(0, 6, 16)",3,0,130.66666666666666,254.22222222222223,27681.975308641977,13.733866568923764,3,y**3 - 196*y/3 - 2288/27
"(0, 8, 16)",3,1,128.0,0.0,0.0,13.862943611198906,3,y**3 - 64*y
"(0, 10, 16)",3,0,130.66666666666666,-254.22222222222223,-27681.975308641977,13.733866568923764,3,y**3 - 196*y/3 + 2288/27
"(0, 12, 16)",3,0,138.66666666666666,-497.77777777777777,-57520.98765432099,13.287579466295345,3,y**3 - 208*y/3 + 4480/27
"(0, 14, 16)",3,0,152.0,-720.0,-91200.0,12.20958646482997,3,y**3 - 76*y + 240
"(0, 2, 18)",3,0,194.66666666666666,1057.7777777777778,171595.06172839506,12.712215321391783,3,y**3 - 292*y/3 - 9520/27
