T_K,Korrelation
1.000000000000000000e+02,0.000000000000000000e+00
1.498327759197324553e+02,1.577940764263440626e-02
1.996655518394648823e+02,6.734899119450654670e-02
2.494983277591973092e+02,-1.932837410231137976e-01
2.993311036789297646e+02,-2.059963016898063437e-01
3.491638795986622199e+02,1.513154046449221024e-01
3.989966555183946184e+02,-1.417369588565045857e-01
4.488294314381270738e+02,1.172791653402327078e-01
4.986622073578595291e+02,2.174236147984537626e-01
5.484949832775919276e+02,6.014154353289837690e-02
5.983277591973244398e+02,1.818226591246338009e-01
6.481605351170568383e+02,-2.724039516058683885e-01
6.979933110367892368e+02,-2.337496681573979565e-02
7.478260869565217490e+02,5.986181393201715079e-02
7.976588628762541475e+02,3.927276980862278583e-02
8.474916387959866597e+02,3.185712266060037323e-01
8.973244147157190582e+02,-1.992660690456872713e-04
9.471571906354514567e+02,-1.175550760688299362e-01
9.969899665551839689e+02,-1.615699011462211343e-01
1.046822742474916367e+03,-2.846563123607385171e-01
1.096655518394648880e+03,2.639921701433061915e-02
1.146488294314381164e+03,2.356514892468059286e-01
1.196321070234113677e+03,1.898445538286891443e-01
1.246153846153846189e+03,9.490287152617382649e-02
1.295986622073578474e+03,-7.149306878408653865e-02
1.345819397993310986e+03,-3.260373650929886125e-02
1.395652173913043498e+03,1.093852390550672030e-02
1.445484949832776010e+03,6.055718321962860057e-02
1.495317725752508295e+03,4.332678113154250082e-02
1.545150501672240807e+03,-1.841831438428487983e-02
1.594983277591973319e+03,-1.131916898462131255e-01
1.644816053511705604e+03,-3.331433668751118682e-01
1.694648829431438116e+03,-2.174504084558941397e-01
1.744481605351170629e+03,-6.913314467378069150e-02
1.794314381270902913e+03,6.351872523326750064e-02
1.844147157190635426e+03,2.068635583973493508e-01
1.893979933110367938e+03,2.798716006232324083e-01
1.943812709030100223e+03,1.962054557733697857e-01
1.993645484949832735e+03,9.073163409918980071e-02
2.043478260869565247e+03,1.448933309366426947e-01
2.093311036789297759e+03,2.114144902978443707e-01
2.143143812709030044e+03,1.031573118600432049e-01
2.192976588628762329e+03,-1.014461688091676667e-01
2.242809364548495068e+03,-2.558033816919886849e-01
2.292642140468227353e+03,-2.479942108683104440e-01
2.342474916387959638e+03,-2.333096691088381303e-01
2.392307692307692378e+03,-2.284718741750333959e-01
2.442140468227424662e+03,-1.762037288194461260e-01
2.491973244147156947e+03,-1.038532612013437773e-01
2.541806020066889687e+03,-4.118553264982415668e-02
2.591638795986621972e+03,4.434216092404400650e-02
2.641471571906354711e+03,1.214382180875555328e-01
2.691304347826086996e+03,1.586189258516181311e-01
2.741137123745819281e+03,1.606225087183439648e-01
2.790969899665552020e+03,1.119904765492493737e-01
2.840802675585284305e+03,1.881597482591430837e-02
2.890635451505016590e+03,-6.156590942524942101e-02
2.940468227424749330e+03,-5.225659478299671257e-02
2.990301003344481614e+03,2.814368120790170999e-02
3.040133779264213899e+03,1.121949560075736069e-01
3.089966555183946639e+03,1.912500883482466663e-01
3.139799331103678924e+03,2.648708288558387358e-01
3.189632107023411209e+03,3.054167883350323853e-01
3.239464882943143948e+03,2.519249365378106731e-01
3.289297658862876233e+03,1.202638575877269800e-01
3.339130434782608518e+03,-1.913886343654096212e-02
3.388963210702341257e+03,-1.111910404435904748e-01
3.438795986622073542e+03,-1.414701669623899538e-01
3.488628762541805827e+03,-1.115017207026879204e-01
3.538461538461538566e+03,-3.713480478913889354e-02
3.588294314381270851e+03,3.096004247613041646e-02
3.638127090301003136e+03,4.130139446137458953e-02
3.687959866220735876e+03,3.209109465714719747e-03
3.737792642140468161e+03,-2.643578023334822169e-02
3.787625418060200445e+03,-1.488253174479558204e-02
3.837458193979933185e+03,1.085955595039317031e-02
3.887290969899665470e+03,5.414638951745617476e-03
3.937123745819397755e+03,-4.071438134852348872e-02
3.986956521739130494e+03,-9.655714411028068489e-02
4.036789297658862779e+03,-1.429830972020610658e-01
4.086622073578595518e+03,-1.815100916558943789e-01
4.136454849498328258e+03,-2.356012741393925525e-01
4.186287625418060088e+03,-2.849641906028626548e-01
4.236120401337792828e+03,-3.007145504396950275e-01
4.285953177257524658e+03,-2.802809441066504981e-01
4.335785953177257397e+03,-2.290923982982867313e-01
4.385618729096990137e+03,-1.941331823665993217e-01
4.435451505016721967e+03,-1.717126871519486508e-01
4.485284280936454707e+03,-1.381781649612113527e-01
4.535117056856187446e+03,-7.610005032438428574e-02
4.584949832775919276e+03,1.655639855147075096e-03
4.634782608695652016e+03,4.293653011304267991e-02
4.684615384615384755e+03,2.047290547183126461e-02
4.734448160535116585e+03,-3.739718651261168120e-02
4.784280936454849325e+03,-5.120096160042569150e-02
4.834113712374582065e+03,4.590579457933476049e-02
4.883946488294313895e+03,2.796204580459274447e-01
4.933779264214046634e+03,5.859203100501770844e-01
4.983612040133779374e+03,9.211848509415899722e-01
5.033444816053512113e+03,7.960802340415684686e-01
5.083277591973243943e+03,4.527441917667195947e-01
5.133110367892976683e+03,1.654941989010077774e-01
5.182943143812709422e+03,-3.128994508508447375e-02
5.232775919732441253e+03,-9.805581406383873100e-02
5.282608695652173992e+03,-6.333871582480118945e-02
5.332441471571906732e+03,9.897878760194624842e-03
5.382274247491638562e+03,6.156796713489436079e-02
5.432107023411371301e+03,6.077930990240403009e-02
5.481939799331104041e+03,1.152185863037611183e-02
5.531772575250835871e+03,-5.823995321214533311e-02
5.581605351170568611e+03,-1.199736876280407399e-01
5.631438127090301350e+03,-1.622923292903974690e-01
5.681270903010033180e+03,-1.841979411846911274e-01
5.731103678929765920e+03,-1.998274385372771911e-01
5.780936454849498659e+03,-2.132650366921358398e-01
5.830769230769230489e+03,-2.162311028335128782e-01
5.880602006688963229e+03,-2.081957133298576179e-01
5.930434782608695969e+03,-1.763231897422189720e-01
5.980267558528427799e+03,-1.306864852757786133e-01
6.030100334448160538e+03,-8.365258650753017167e-02
6.079933110367893278e+03,-4.845544296111001931e-02
6.129765886287625108e+03,-3.633222342772663566e-02
6.179598662207357847e+03,-4.397287949630116627e-02
6.229431438127090587e+03,-6.426333251326539486e-02
6.279264214046822417e+03,-8.460328796963383080e-02
6.329096989966555157e+03,-9.508351584951679758e-02
6.378929765886287896e+03,-9.513621091779050909e-02
6.428762541806019726e+03,-8.443145733533087560e-02
6.478595317725752466e+03,-6.958701560594578173e-02
6.528428093645485205e+03,-5.309138864370970684e-02
6.578260869565217035e+03,-3.616779704002155704e-02
6.628093645484949775e+03,-1.850905177587130329e-02
6.677926421404682515e+03,2.169236916841930669e-03
6.727759197324414345e+03,2.502619187863092814e-02
6.777591973244147084e+03,4.761655973401766884e-02
6.827424749163879824e+03,6.482061367059674395e-02
6.877257525083611654e+03,7.327673312346577594e-02
6.927090301003344393e+03,6.909326706724884526e-02
6.976923076923077133e+03,5.508657105062231274e-02
7.026755852842808963e+03,3.486038835180815115e-02
7.076588628762541703e+03,1.433994196436729276e-02
7.126421404682274442e+03,-7.428240527742919911e-04
7.176254180602006272e+03,-7.375359750938691172e-03
7.226086956521739012e+03,-5.494534312735620957e-03
7.275919732441471751e+03,2.792375784332433355e-03
7.325752508361203581e+03,1.466579339980850737e-02
7.375585284280936321e+03,2.696967577935276833e-02
7.425418060200669061e+03,3.786846163942298588e-02
7.475250836120400891e+03,4.725162801001936419e-02
7.525083612040133630e+03,5.496243575825899425e-02
7.574916387959866370e+03,6.158199117551051149e-02
7.624749163879598200e+03,6.765788556900080575e-02
7.674581939799330939e+03,7.135521716054041286e-02
7.724414715719063679e+03,7.284281466088182722e-02
7.774247491638795509e+03,6.989883409322768248e-02
7.824080267558528249e+03,6.251919247189673123e-02
7.873913043478260988e+03,5.249938843452876813e-02
7.923745819397992818e+03,4.076700520815765977e-02
7.973578595317725558e+03,3.133152953820857872e-02
8.023411371237458297e+03,2.566698513825266606e-02
8.073244147157191037e+03,2.546103053873339725e-02
8.123076923076922867e+03,3.101040847829143743e-02
8.172909698996655607e+03,4.031819299935964634e-02
8.222742474916387437e+03,5.219296624202168777e-02
8.272575250836120176e+03,6.322902299423205363e-02
8.322408026755852916e+03,7.193410007110850879e-02
8.372240802675585655e+03,7.712400362474632065e-02
8.422073578595318395e+03,7.772480206927270818e-02
8.471906354515049316e+03,7.527967293742354737e-02
8.521739130434782055e+03,6.986689006381367750e-02
8.571571906354514795e+03,6.305798321890281055e-02
8.621404682274247534e+03,5.559051717678266391e-02
8.671237458193980274e+03,4.727778463787705998e-02
8.721070234113713013e+03,3.843767990405014268e-02
8.770903010033443934e+03,2.842803907567983610e-02
8.820735785953176674e+03,1.701040920747135324e-02
8.870568561872909413e+03,4.301703938719981558e-03
8.920401337792642153e+03,-9.252328786941328709e-03
8.970234113712374892e+03,-2.265476446741960387e-02
9.020066889632107632e+03,-3.423625552399631178e-02
9.069899665551838552e+03,-4.299263380764769410e-02
9.119732441471571292e+03,-4.763405038882723153e-02
