Order n,Stability Omega,Island Capacity (Primes),Max Stable Size
10,6.239695839739665,43.67787087817765,43
11,5.424025843281036,37.968180902967255,37
12,4.770750050174907,33.39525035122435,33
13,4.238190814641653,29.66733570249157,29
14,3.7974136943565564,26.581895860495894,26
15,3.4277910203462554,23.994537142423788,23
16,3.114273786555119,21.799916505885832,21
17,2.8456586512036406,19.919610558425482,19
18,2.6134550414559805,18.294185290191862,18
19,2.4111254807820437,16.877878365474306,16
20,2.233564505865712,15.634951541059984,15
21,2.0767339082184084,14.53713735752886,14
22,1.937402693473105,13.561818854311735,13
23,1.8129586052494548,12.690710236746185,12
24,1.701269451913995,11.908886163397966,11
25,1.6005796693133136,11.204057685193195,11
26,1.509432192654923,10.56602534858446,10
27,1.4266087610065117,9.986261327045582,9
28,1.3510838185930396,9.457586730151277,9
29,1.2819885646003923,8.973919952202746,8
30,1.2185826608069041,8.53007862564833,8
31,1.160231776474782,8.121622435323474,8
32,1.1063896249233676,7.744727374463573,7
33,1.0565834869431139,7.396084408601797,7
