Nr,Vierling,Klasse,V(Q),T(Q),Spr1,Spr2,Spr3,Spr4,R1,R2,R3,R4
1,"(5, 7, 11, 13)",S,"(4, 1, 1, 3)","(1, 11, 17, 5)",16,16,12,4,4,4,4,4
2,"(11, 13, 17, 19)",A,"(1, 3, 2, 1)","(17, 5, 13, 29)",24,12,16,12,3,4,4,4
3,"(101, 103, 107, 109)",B,"(4, 1, 1, 3)","(19, 155, 161, 41)",142,204,164,246,1,0,1,1
4,"(191, 193, 197, 199)",C,"(1, 2, 4, 1)","(287, 145, 37, 299)",262,442,636,954,0,1,1,1
5,"(821, 823, 827, 829)",C,"(5, 1, 1, 3)","(77, 1235, 1241, 311)",1164,1824,1386,1026,0,0,1,1
6,"(1481, 1483, 1487, 1489)",A,"(2, 1, 1, 2)","(1111, 2225, 2231, 1117)",1120,2928,4708,1824,0,0,0,0
7,"(1871, 1873, 1877, 1879)",C,"(1, 2, 9, 1)","(2807, 1405, 11, 2819)",2808,4212,6304,2364,1,1,1,1
8,"(2081, 2083, 2087, 2089)",C,"(2, 1, 1, 2)","(1561, 3125, 3131, 1567)",1570,4404,3472,5208,0,0,0,0
9,"(3251, 3253, 3257, 3259)",B,"(1, 5, 2, 1)","(4877, 305, 2443, 4889)",4584,3438,5458,1998,0,0,0,0
10,"(3461, 3463, 3467, 3469)",B,"(4, 1, 1, 3)","(649, 5195, 5201, 1301)",4552,7732,5822,2160,0,0,0,0
11,"(5651, 5653, 5657, 5659)",C,"(1, 6, 2, 1)","(8477, 265, 4243, 8489)",8224,6168,9252,13878,0,0,0,0
12,"(9431, 9433, 9437, 9439)",C,"(1, 2, 3, 1)","(14147, 7075, 3539, 14159)",10620,15930,30864,46296,0,0,0,0
13,"(13001, 13003, 13007, 13009)",C,"(2, 1, 1, 2)","(9751, 19505, 19511, 9757)",9760,25608,41158,14406,0,0,0,0
14,"(15641, 15643, 15647, 15649)",B,"(2, 1, 1, 2)","(11731, 23465, 23471, 11737)",11740,26404,46212,78598,0,0,0,0
15,"(15731, 15733, 15737, 15739)",C,"(1, 5, 2, 1)","(23597, 1475, 11803, 23609)",22134,15494,26146,19298,0,0,0,0
16,"(16061, 16063, 16067, 16069)",B,"(3, 1, 1, 4)","(6023, 24095, 24101, 3013)",21088,35578,54162,81318,0,0,0,1
17,"(18041, 18043, 18047, 18049)",C,"(2, 1, 1, 2)","(13531, 27065, 27071, 13537)",13540,30454,53296,79944,0,0,0,0
18,"(18911, 18913, 18917, 18919)",A,"(1, 2, 4, 1)","(28367, 14185, 3547, 28379)",24832,37248,59836,89754,0,0,0,0
19,"(19421, 19423, 19427, 19429)",B,"(3, 1, 1, 4)","(7283, 29135, 29141, 3643)",25498,43020,64530,97564,0,0,0,0
20,"(21011, 21013, 21017, 21019)",A,"(1, 6, 2, 1)","(31517, 985, 15763, 31529)",30544,22908,34362,53194,0,0,0,1
21,"(22271, 22273, 22277, 22279)",A,"(1, 2, 4, 1)","(33407, 16705, 4177, 33419)",29242,46996,73992,111870,0,0,0,0
22,"(25301, 25303, 25307, 25309)",B,"(7, 1, 1, 3)","(593, 37955, 37961, 9491)",37368,56488,42540,63810,0,0,0,0
23,"(31721, 31723, 31727, 31729)",A,"(2, 1, 1, 2)","(23791, 47585, 47591, 23797)",23800,69156,103734,75290,0,0,0,0
24,"(34841, 34843, 34847, 34849)",C,"(2, 1, 1, 2)","(26131, 52265, 52271, 26137)",26140,58804,102912,165390,0,0,0,0
25,"(43781, 43783, 43787, 43789)",B,"(4, 1, 1, 3)","(8209, 65675, 65681, 16421)",57472,95434,71576,27274,0,0,0,0
26,"(51341, 51343, 51347, 51349)",B,"(3, 1, 1, 6)","(19253, 77015, 77021, 2407)",74614,113718,172608,32364,0,0,0,0
27,"(55331, 55333, 55337, 55339)",B,"(1, 4, 2, 1)","(82997, 10375, 41503, 83009)",72634,54476,91924,137886,0,0,0,0
28,"(62981, 62983, 62987, 62989)",C,"(4, 1, 1, 3)","(11809, 94475, 94481, 23621)",82672,137284,104624,39234,0,0,0,0
29,"(67211, 67213, 67217, 67219)",A,"(1, 3, 2, 1)","(100817, 25205, 50413, 100829)",75624,73250,53172,39874,0,0,0,0
30,"(69491, 69493, 69497, 69499)",C,"(1, 5, 2, 1)","(104237, 6515, 52123, 104249)",97734,68414,113616,85212,0,0,0,0
31,"(72221, 72223, 72227, 72229)",C,"(3, 1, 1, 4)","(27083, 108335, 108341, 13543)",94798,152346,239946,362776,0,0,0,0
32,"(77261, 77263, 77267, 77269)",C,"(3, 1, 1, 7)","(28973, 115895, 115901, 1811)",114090,171126,259746,97602,0,0,0,0
33,"(79691, 79693, 79697, 79699)",B,"(1, 3, 2, 1)","(119537, 29885, 59773, 119549)",89664,78446,58842,100674,0,0,0,0
34,"(81041, 81043, 81047, 81049)",C,"(2, 1, 1, 2)","(60781, 121565, 121571, 60787)",60790,159564,66244,24042,0,0,0,0
35,"(82721, 82723, 82727, 82729)",C,"(2, 1, 1, 2)","(62041, 124085, 124091, 62047)",62050,174504,130882,209002,0,0,0,0
36,"(88811, 88813, 88817, 88819)",C,"(1, 3, 2, 1)","(133217, 33305, 66613, 133229)",99924,93668,73764,110646,0,0,0,0
37,"(97841, 97843, 97847, 97849)",C,"(2, 1, 1, 2)","(73381, 146765, 146771, 73387)",73390,206398,61922,92880,0,0,0,0
38,"(99131, 99133, 99137, 99139)",A,"(1, 3, 2, 1)","(148697, 37175, 74353, 148709)",111534,83640,165978,29408,0,0,0,0
39,"(101111, 101113, 101117, 101119)",B,"(1, 2, 3, 1)","(151667, 75835, 37919, 151679)",113760,170640,255966,447934,0,0,0,0
40,"(109841, 109843, 109847, 109849)",A,"(2, 1, 1, 2)","(82381, 164765, 164771, 82387)",82390,216264,81096,60826,0,0,0,0
41,"(116531, 116533, 116537, 116539)",C,"(1, 5, 2, 1)","(174797, 10925, 87403, 174809)",163884,127010,193588,71442,0,0,0,0
42,"(119291, 119293, 119297, 119299)",A,"(1, 3, 2, 1)","(178937, 44735, 89473, 178949)",134214,100650,176140,141546,0,0,0,0
43,"(122201, 122203, 122207, 122209)",C,"(2, 1, 1, 2)","(91651, 183305, 183311, 91657)",91660,206224,386674,599344,0,0,0,0
44,"(135461, 135463, 135467, 135469)",A,"(4, 1, 1, 3)","(25399, 203195, 203201, 50801)",177802,266694,227702,342558,0,0,0,0
45,"(144161, 144163, 144167, 144169)",B,"(2, 1, 1, 2)","(108121, 216245, 216251, 108127)",108130,304104,228082,362080,0,0,0,0
46,"(157271, 157273, 157277, 157279)",C,"(1, 2, 3, 1)","(235907, 117955, 58979, 235919)",176940,265410,526672,790008,0,0,0,0
47,"(165701, 165703, 165707, 165709)",A,"(4, 1, 1, 3)","(31069, 248555, 248561, 62141)",217492,361182,262148,206442,0,0,0,0
48,"(166841, 166843, 166847, 166849)",B,"(2, 1, 1, 2)","(125131, 250265, 250271, 125137)",125140,281554,527916,818272,0,0,0,0
49,"(171161, 171163, 171167, 171169)",A,"(2, 1, 1, 2)","(128371, 256745, 256751, 128377)",128380,288844,505482,812380,0,0,0,0
50,"(187631, 187633, 187637, 187639)",B,"(1, 2, 5, 1)","(281447, 140725, 17591, 281459)",263868,408996,623362,460100,0,0,0,0
51,"(194861, 194863, 194867, 194869)",C,"(3, 1, 1, 5)","(73073, 292295, 292301, 18269)",274032,431592,655096,491322,0,0,0,0
52,"(195731, 195733, 195737, 195739)",A,"(1, 6, 2, 1)","(293597, 9175, 146803, 293609)",284434,206444,309666,491596,0,0,0,0
53,"(201491, 201493, 201497, 201499)",B,"(1, 6, 2, 1)","(302237, 9445, 151123, 302249)",292804,224916,337374,508054,0,0,0,0
54,"(201821, 201823, 201827, 201829)",A,"(3, 1, 1, 4)","(75683, 302735, 302741, 37843)",264898,439912,670512,1005768,0,0,0,0
55,"(217361, 217363, 217367, 217369)",A,"(2, 1, 1, 2)","(163021, 326045, 326051, 163027)",163030,427944,160476,128958,0,0,0,0
56,"(225341, 225343, 225347, 225349)",A,"(3, 1, 1, 4)","(84503, 338015, 338021, 42253)",295768,491178,757564,1136346,0,0,0,0
57,"(240041, 240043, 240047, 240049)",A,"(2, 1, 1, 2)","(180031, 360065, 360071, 180037)",180040,506350,797502,588632,0,0,0,0
58,"(243701, 243703, 243707, 243709)",B,"(5, 1, 1, 3)","(22847, 365555, 365561, 91391)",342714,514062,359850,231336,0,0,0,0
59,"(247601, 247603, 247607, 247609)",A,"(2, 1, 1, 2)","(185701, 371405, 371411, 185707)",185710,522298,156692,303586,0,0,0,0
60,"(247991, 247993, 247997, 247999)",C,"(1, 2, 3, 1)","(371987, 185995, 92999, 371999)",279000,418500,627756,1177032,0,0,0,0
61,"(257861, 257863, 257867, 257869)",C,"(4, 1, 1, 3)","(48349, 386795, 386801, 96701)",338452,562062,407948,316160,0,0,0,0
62,"(260411, 260413, 260417, 260419)",A,"(1, 3, 2, 1)","(390617, 97655, 195313, 390629)",292974,219720,425712,79824,0,0,0,0
63,"(266681, 266683, 266687, 266689)",C,"(2, 1, 1, 2)","(200011, 400025, 400031, 200017)",200020,450034,843816,1329012,0,0,0,0
64,"(268811, 268813, 268817, 268819)",A,"(1, 3, 2, 1)","(403217, 100805, 201613, 403229)",302424,283512,226374,169448,0,0,0,0
65,"(276041, 276043, 276047, 276049)",B,"(2, 1, 1, 2)","(207031, 414065, 414071, 207037)",207040,543468,917104,343914,0,0,0,0
66,"(284741, 284743, 284747, 284749)",C,"(4, 1, 1, 3)","(53389, 427115, 427121, 106781)",373732,620652,478628,360368,0,0,0,2
67,"(285281, 285283, 285287, 285289)",B,"(2, 1, 1, 2)","(213961, 427925, 427931, 213967)",213970,621838,451338,699574,0,0,0,0
68,"(294311, 294313, 294317, 294319)",B,"(1, 2, 3, 1)","(441467, 220735, 110369, 441479)",331110,579442,931246,651872,0,0,0,0
69,"(295871, 295873, 295877, 295879)",C,"(1, 2, 4, 1)","(443807, 221905, 55477, 443819)",388342,660528,994666,1496388,0,0,0,0
70,"(299471, 299473, 299477, 299479)",A,"(1, 2, 7, 1)","(449207, 224605, 7019, 449219)",442200,663300,1002820,373096,0,0,0,0
71,"(300491, 300493, 300497, 300499)",C,"(1, 3, 2, 1)","(450737, 112685, 225373, 450749)",338064,295796,221854,368436,0,0,0,0
72,"(301991, 301993, 301997, 301999)",A,"(1, 2, 3, 1)","(452987, 226495, 113249, 452999)",339750,594562,955546,668882,0,0,0,0
73,"(326141, 326143, 326147, 326149)",A,"(3, 1, 1, 4)","(122303, 489215, 489221, 61153)",428068,687958,1066336,1625304,0,0,0,0
74,"(334421, 334423, 334427, 334429)",B,"(8, 1, 1, 3)","(3919, 501635, 501641, 125411)",497722,746574,559938,843214,0,0,0,0
75,"(340931, 340933, 340937, 340939)",B,"(1, 4, 2, 1)","(511397, 63925, 255703, 511409)",447484,377564,570838,209004,0,0,0,0
76,"(346391, 346393, 346397, 346399)",B,"(1, 2, 3, 1)","(519587, 259795, 129899, 519599)",389700,584550,1096032,1644048,0,0,0,0
77,"(347981, 347983, 347987, 347989)",A,"(3, 1, 1, 9)","(130493, 521975, 521981, 2039)",519942,779904,1169856,438702,0,0,0,0
78,"(354251, 354253, 354257, 354259)",C,"(1, 3, 2, 1)","(531377, 132845, 265693, 531389)",398544,348716,261544,434350,0,0,0,0
79,"(358901, 358903, 358907, 358909)",A,"(5, 1, 1, 3)","(33647, 538355, 538361, 134591)",504714,757062,529950,340686,0,0,0,0
80,"(361211, 361213, 361217, 361219)",A,"(1, 3, 2, 1)","(541817, 135455, 270913, 541829)",406374,304770,533350,428590,0,0,0,0
81,"(375251, 375253, 375257, 375259)",C,"(1, 7, 2, 1)","(562877, 8795, 281443, 562889)",554094,408974,623356,942456,0,0,0,0
82,"(388691, 388693, 388697, 388699)",C,"(1, 8, 2, 1)","(583037, 4555, 291523, 583049)",578494,430454,650806,982936,0,0,0,0
83,"(389561, 389563, 389567, 389569)",A,"(2, 1, 1, 2)","(292171, 584345, 584351, 292177)",292180,657394,1232616,1941372,0,0,0,0
84,"(392261, 392263, 392267, 392269)",C,"(4, 1, 1, 3)","(73549, 588395, 588401, 147101)",514852,855012,651602,480944,0,0,0,0
85,"(394811, 394813, 394817, 394819)",A,"(1, 3, 2, 1)","(592217, 148055, 296113, 592229)",444174,333120,624604,93690,0,0,0,0
86,"(397541, 397543, 397547, 397549)",A,"(4, 1, 1, 3)","(74539, 596315, 596321, 149081)",521782,782664,586998,974836,0,0,0,0
87,"(397751, 397753, 397757, 397759)",A,"(1, 2, 3, 1)","(596627, 298315, 149159, 596639)",447480,671220,1006836,1982196,0,0,0,0
88,"(402131, 402133, 402137, 402139)",C,"(1, 7, 2, 1)","(603197, 9425, 301603, 603209)",593784,445338,675960,1013940,0,0,0,0
89,"(402761, 402763, 402767, 402769)",C,"(2, 1, 1, 2)","(302071, 604145, 604151, 302077)",302080,792948,1316862,446034,0,0,0,0
90,"(412031, 412033, 412037, 412039)",A,"(1, 2, 4, 1)","(618047, 309025, 77257, 618059)",540802,869146,1303692,2053318,0,0,0,0
91,"(419051, 419053, 419057, 419059)",B,"(1, 3, 2, 1)","(628577, 157145, 314293, 628589)",471444,441968,331476,522076,0,0,0,0
92,"(420851, 420853, 420857, 420859)",A,"(1, 5, 2, 1)","(631277, 39455, 315643, 631289)",591834,414284,621426,399488,0,0,0,0
93,"(427241, 427243, 427247, 427249)",B,"(2, 1, 1, 2)","(320431, 640865, 640871, 320437)",320440,931266,1419430,1047674,0,0,0,0
94,"(442571, 442573, 442577, 442579)",B,"(1, 3, 2, 1)","(663857, 165965, 331933, 663869)",497904,435656,350088,525132,0,0,0,0
95,"(444341, 444343, 444347, 444349)",C,"(5, 1, 1, 3)","(41657, 666515, 666521, 166631)",624864,968530,702972,527224,0,0,0,0
96,"(452531, 452533, 452537, 452539)",C,"(1, 5, 2, 1)","(678797, 42425, 339403, 678809)",636384,477288,760678,281898,0,0,0,0
