Index,p1,p2,p3
1,5,7,11
2,7,11,13
3,11,13,17
4,13,17,19
5,17,19,23
6,37,41,43
7,41,43,47
8,67,71,73
9,97,101,103
10,101,103,107
11,103,107,109
12,107,109,113
13,191,193,197
14,193,197,199
15,223,227,229
16,227,229,233
17,277,281,283
18,307,311,313
19,311,313,317
20,347,349,353
21,457,461,463
22,461,463,467
23,613,617,619
24,641,643,647
25,821,823,827
26,823,827,829
27,853,857,859
28,857,859,863
29,877,881,883
30,881,883,887
31,1087,1091,1093
32,1091,1093,1097
33,1277,1279,1283
34,1297,1301,1303
35,1301,1303,1307
36,1423,1427,1429
37,1427,1429,1433
38,1447,1451,1453
39,1481,1483,1487
40,1483,1487,1489
41,1487,1489,1493
42,1607,1609,1613
43,1663,1667,1669
44,1693,1697,1699
45,1783,1787,1789
46,1867,1871,1873
47,1871,1873,1877
48,1873,1877,1879
49,1993,1997,1999
50,1997,1999,2003
51,2081,2083,2087
52,2083,2087,2089
53,2137,2141,2143
54,2237,2239,2243
55,2267,2269,2273
56,2377,2381,2383
57,2657,2659,2663
58,2683,2687,2689
59,2687,2689,2693
60,2707,2711,2713
61,2797,2801,2803
62,3163,3167,3169
63,3251,3253,3257
64,3253,3257,3259
65,3457,3461,3463
66,3461,3463,3467
67,3463,3467,3469
68,3527,3529,3533
69,3671,3673,3677
70,3847,3851,3853
71,3917,3919,3923
72,4001,4003,4007
73,4127,4129,4133
74,4153,4157,4159
75,4513,4517,4519
76,4517,4519,4523
77,4637,4639,4643
78,4783,4787,4789
79,4787,4789,4793
80,4931,4933,4937
81,4967,4969,4973
82,5227,5231,5233
83,5231,5233,5237
84,5413,5417,5419
85,5437,5441,5443
86,5477,5479,5483
87,5501,5503,5507
88,5647,5651,5653
89,5651,5653,5657
90,5653,5657,5659
91,5737,5741,5743
92,6197,6199,6203
93,6547,6551,6553
94,6823,6827,6829
95,6827,6829,6833
96,7207,7211,7213
97,7753,7757,7759
98,7873,7877,7879
99,7877,7879,7883
100,8087,8089,8093
101,8231,8233,8237
102,8287,8291,8293
103,8291,8293,8297
104,8537,8539,8543
105,8623,8627,8629
106,8861,8863,8867
107,9007,9011,9013
108,9277,9281,9283
109,9337,9341,9343
110,9431,9433,9437
111,9433,9437,9439
112,9461,9463,9467
113,10267,10271,10273
114,10331,10333,10337
115,10427,10429,10433
116,10453,10457,10459
117,10457,10459,10463
118,11113,11117,11119
119,11171,11173,11177
120,11777,11779,11783
121,11827,11831,11833
122,12037,12041,12043
123,12107,12109,12113
124,12157,12161,12163
125,12373,12377,12379
126,12917,12919,12923
127,13001,13003,13007
128,13003,13007,13009
129,13687,13691,13693
130,13691,13693,13697
131,13757,13759,13763
132,13873,13877,13879
133,13877,13879,13883
134,13901,13903,13907
135,14081,14083,14087
136,14321,14323,14327
137,14557,14561,14563
138,14627,14629,14633
139,15641,15643,15647
140,15643,15647,15649
141,15727,15731,15733
142,15731,15733,15737
143,15733,15737,15739
144,16057,16061,16063
145,16061,16063,16067
146,16063,16067,16069
147,16067,16069,16073
148,16183,16187,16189
149,16187,16189,16193
150,16447,16451,16453
151,17027,17029,17033
152,17203,17207,17209
153,17383,17387,17389
154,17387,17389,17393
155,18041,18043,18047
156,18043,18047,18049
157,18127,18131,18133
158,18251,18253,18257
159,18307,18311,18313
160,18517,18521,18523
161,18911,18913,18917
162,18913,18917,18919
163,19207,19211,19213
164,19417,19421,19423
165,19421,19423,19427
166,19423,19427,19429
167,19427,19429,19433
168,19991,19993,19997
169,20143,20147,20149
170,20353,20357,20359
171,20477,20479,20483
172,20743,20747,20749
173,20747,20749,20753
174,20897,20899,20903
175,21011,21013,21017
176,21013,21017,21019
177,21017,21019,21023
178,21187,21191,21193
179,21313,21317,21319
180,21317,21319,21323
181,21377,21379,21383
182,21487,21491,21493
183,21517,21521,21523
184,21557,21559,21563
185,21611,21613,21617
186,22153,22157,22159
187,22271,22273,22277
188,22273,22277,22279
189,22277,22279,22283
190,22567,22571,22573
191,22637,22639,22643
192,23053,23057,23059
193,23057,23059,23063
194,23197,23201,23203
195,23291,23293,23297
196,23557,23561,23563
197,23561,23563,23567
198,23623,23627,23629
199,23627,23629,23633
200,23741,23743,23747
201,23827,23831,23833
202,24103,24107,24109
203,24107,24109,24113
204,24917,24919,24923
205,25031,25033,25037
206,25301,25303,25307
207,25303,25307,25309
208,25577,25579,25583
209,25997,25999,26003
210,26107,26111,26113
211,26261,26263,26267
212,26681,26683,26687
213,26711,26713,26717
214,26947,26951,26953
215,27103,27107,27109
216,27277,27281,27283
217,27733,27737,27739
218,27737,27739,27743
219,27941,27943,27947
220,28277,28279,28283
221,28657,28661,28663
222,29017,29021,29023
223,29021,29023,29027
224,29383,29387,29389
225,29567,29569,29573
226,30133,30137,30139
227,30491,30493,30497
228,30553,30557,30559
229,31147,31151,31153
230,31177,31181,31183
231,31247,31249,31253
232,31387,31391,31393
233,31391,31393,31397
234,31511,31513,31517
235,31541,31543,31547
236,31721,31723,31727
237,31723,31727,31729
238,32057,32059,32063
239,32297,32299,32303
240,32321,32323,32327
241,32531,32533,32537
242,32713,32717,32719
243,32797,32801,32803
244,33343,33347,33349
245,33347,33349,33353
246,33613,33617,33619
247,33617,33619,33623
248,33767,33769,33773
249,34123,34127,34129
250,34211,34213,34217
251,34297,34301,34303
252,34757,34759,34763
253,34841,34843,34847
254,34843,34847,34849
255,35527,35531,35533
256,35531,35533,35537
257,35591,35593,35597
258,35797,35801,35803
259,36007,36011,36013
260,36011,36013,36017
261,36467,36469,36473
262,36523,36527,36529
263,36787,36791,36793
264,37307,37309,37313
265,37357,37361,37363
266,37567,37571,37573
267,37987,37991,37993
268,37991,37993,37997
269,38327,38329,38333
270,38447,38449,38453
271,38707,38711,38713
272,38917,38921,38923
273,39041,39043,39047
274,39157,39161,39163
275,39227,39229,39233
276,39367,39371,39373
277,40123,40127,40129
278,40423,40427,40429
279,40427,40429,40433
280,40693,40697,40699
281,40847,40849,40853
282,41177,41179,41183
283,41227,41231,41233
284,41953,41957,41959
285,42013,42017,42019
286,42017,42019,42023
287,42221,42223,42227
288,42403,42407,42409
289,42457,42461,42463
290,42461,42463,42467
291,42697,42701,42703
292,43397,43399,43403
293,43573,43577,43579
294,43607,43609,43613
295,43777,43781,43783
296,43781,43783,43787
297,43783,43787,43789
298,43787,43789,43793
299,44201,44203,44207
300,44263,44267,44269
301,44267,44269,44273
302,44531,44533,44537
303,44617,44621,44623
304,44771,44773,44777
305,45337,45341,45343
306,45817,45821,45823
307,45821,45823,45827
308,46181,46183,46187
309,47143,47147,47149
310,47653,47657,47659
311,47711,47713,47717
312,47737,47741,47743
313,48407,48409,48413
314,48673,48677,48679
315,48817,48821,48823
316,49031,49033,49037
317,49117,49121,49123
318,49363,49367,49369
319,49663,49667,49669
320,49783,49787,49789
321,49937,49939,49943
322,50047,50051,50053
323,50587,50591,50593
324,51131,51133,51137
325,51193,51197,51199
326,51197,51199,51203
327,51341,51343,51347
328,51343,51347,51349
329,51971,51973,51977
330,52177,52181,52183
331,53087,53089,53093
332,53591,53593,53597
333,54493,54497,54499
334,54497,54499,54503
335,54577,54581,54583
336,55213,55217,55219
337,55331,55333,55337
338,55333,55337,55339
339,55337,55339,55343
340,55661,55663,55667
341,55813,55817,55819
342,55817,55819,55823
343,55897,55901,55903
344,55927,55931,55933
345,56263,56267,56269
346,56473,56477,56479
347,56527,56531,56533
348,56807,56809,56813
349,56891,56893,56897
350,57787,57791,57793
351,58147,58151,58153
352,58363,58367,58369
353,58907,58909,58913
354,59441,59443,59447
355,59467,59471,59473
356,60101,60103,60107
357,60757,60761,60763
358,60913,60917,60919
359,60917,60919,60923
360,62137,62141,62143
361,62297,62299,62303
362,62981,62983,62987
363,62983,62987,62989
364,63311,63313,63317
365,64151,64153,64157
366,64661,64663,64667
367,65027,65029,65033
368,65167,65171,65173
369,65537,65539,65543
370,65713,65717,65719
371,65837,65839,65843
372,66103,66107,66109
373,66943,66947,66949
374,67211,67213,67217
375,67213,67217,67219
376,67427,67429,67433
377,67757,67759,67763
378,67927,67931,67933
379,68207,68209,68213
380,68443,68447,68449
381,68897,68899,68903
382,69191,69193,69197
383,69257,69259,69263
384,69491,69493,69497
385,69493,69497,69499
386,69761,69763,69767
387,69827,69829,69833
