Index,p1,p2,p3,p4
1,5,7,11,13
2,11,13,17,19
3,101,103,107,109
4,191,193,197,199
5,821,823,827,829
6,1481,1483,1487,1489
7,1871,1873,1877,1879
8,2081,2083,2087,2089
9,3251,3253,3257,3259
10,3461,3463,3467,3469
11,5651,5653,5657,5659
12,9431,9433,9437,9439
13,13001,13003,13007,13009
14,15641,15643,15647,15649
15,15731,15733,15737,15739
16,16061,16063,16067,16069
17,18041,18043,18047,18049
18,18911,18913,18917,18919
19,19421,19423,19427,19429
20,21011,21013,21017,21019
21,22271,22273,22277,22279
22,25301,25303,25307,25309
23,31721,31723,31727,31729
24,34841,34843,34847,34849
25,43781,43783,43787,43789
26,51341,51343,51347,51349
27,55331,55333,55337,55339
28,62981,62983,62987,62989
29,67211,67213,67217,67219
30,69491,69493,69497,69499
31,72221,72223,72227,72229
32,77261,77263,77267,77269
33,79691,79693,79697,79699
34,81041,81043,81047,81049
35,82721,82723,82727,82729
36,88811,88813,88817,88819
37,97841,97843,97847,97849
38,99131,99133,99137,99139
39,101111,101113,101117,101119
40,109841,109843,109847,109849
41,116531,116533,116537,116539
42,119291,119293,119297,119299
43,122201,122203,122207,122209
44,135461,135463,135467,135469
45,144161,144163,144167,144169
46,157271,157273,157277,157279
47,165701,165703,165707,165709
48,166841,166843,166847,166849
49,171161,171163,171167,171169
50,187631,187633,187637,187639
51,194861,194863,194867,194869
52,195731,195733,195737,195739
53,201491,201493,201497,201499
54,201821,201823,201827,201829
55,217361,217363,217367,217369
56,225341,225343,225347,225349
57,240041,240043,240047,240049
58,243701,243703,243707,243709
59,247601,247603,247607,247609
60,247991,247993,247997,247999
61,257861,257863,257867,257869
62,260411,260413,260417,260419
63,266681,266683,266687,266689
64,268811,268813,268817,268819
65,276041,276043,276047,276049
66,284741,284743,284747,284749
67,285281,285283,285287,285289
68,294311,294313,294317,294319
69,295871,295873,295877,295879
70,299471,299473,299477,299479
71,300491,300493,300497,300499
72,301991,301993,301997,301999
73,326141,326143,326147,326149
74,334421,334423,334427,334429
75,340931,340933,340937,340939
76,346391,346393,346397,346399
77,347981,347983,347987,347989
78,354251,354253,354257,354259
79,358901,358903,358907,358909
80,361211,361213,361217,361219
81,375251,375253,375257,375259
82,388691,388693,388697,388699
83,389561,389563,389567,389569
84,392261,392263,392267,392269
85,394811,394813,394817,394819
86,397541,397543,397547,397549
87,397751,397753,397757,397759
88,402131,402133,402137,402139
89,402761,402763,402767,402769
90,412031,412033,412037,412039
91,419051,419053,419057,419059
92,420851,420853,420857,420859
93,427241,427243,427247,427249
94,442571,442573,442577,442579
95,444341,444343,444347,444349
96,452531,452533,452537,452539
97,463451,463453,463457,463459
98,465161,465163,465167,465169
99,467471,467473,467477,467479
100,470081,470083,470087,470089
101,477011,477013,477017,477019
102,490571,490573,490577,490579
103,495611,495613,495617,495619
104,500231,500233,500237,500239
105,510611,510613,510617,510619
106,518801,518803,518807,518809
107,536441,536443,536447,536449
108,536771,536773,536777,536779
109,539501,539503,539507,539509
110,549161,549163,549167,549169
111,559211,559213,559217,559219
112,563411,563413,563417,563419
113,570041,570043,570047,570049
114,572651,572653,572657,572659
115,585911,585913,585917,585919
116,594821,594823,594827,594829
117,597671,597673,597677,597679
118,607301,607303,607307,607309
119,622241,622243,622247,622249
120,626621,626623,626627,626629
121,632081,632083,632087,632089
122,632321,632323,632327,632329
123,633461,633463,633467,633469
124,633791,633793,633797,633799
125,654161,654163,654167,654169
126,657491,657493,657497,657499
127,661091,661093,661097,661099
128,663581,663583,663587,663589
129,664661,664663,664667,664669
130,666431,666433,666437,666439
131,680291,680293,680297,680299
132,681251,681253,681257,681259
133,691721,691723,691727,691729
134,705161,705163,705167,705169
135,715151,715153,715157,715159
136,734471,734473,734477,734479
137,736361,736363,736367,736369
138,739391,739393,739397,739399
139,768191,768193,768197,768199
140,773021,773023,773027,773029
141,795791,795793,795797,795799
142,803441,803443,803447,803449
143,814061,814063,814067,814069
