Index,E_Restklasse_1,,A_Restklasse_5,,B_Restklasse_7,,C_Restklasse_11,Mittel,Norm_Mittel_unter_1,Dreiteilungen_wie_oft_v3,Potenz_3_teilt_Mittel
1,13,,5,,7,,11,9,0.692307692308,2,9
2,13,,17,,19,,11,15,0.789473684211,1,3
3,109,,101,,103,,107,105,0.963302752294,1,3
4,193,,197,,199,,191,195,0.979899497487,1,3
5,829,,821,,823,,827,825,0.99517490953,1,3
6,1489,,1481,,1483,,1487,1485,0.997313633311,3,27
7,1873,,1877,,1879,,1871,1875,0.997871208089,1,3
8,2089,,2081,,2083,,2087,2085,0.998085208234,1,3
9,3253,,3257,,3259,,3251,3255,0.998772629641,1,3
10,3469,,3461,,3463,,3467,3465,0.998846929951,2,9
11,5653,,5657,,5659,,5651,5655,0.999293161336,1,3
12,9433,,9437,,9439,,9431,9435,0.999576226295,1,3
13,13009,,13001,,13003,,13007,13005,0.999692520563,2,9
14,15649,,15641,,15643,,15647,15645,0.999744392613,1,3
15,15733,,15737,,15739,,15731,15735,0.999745854247,1,3
16,16069,,16061,,16063,,16067,16065,0.999751073496,3,27
17,18049,,18041,,18043,,18047,18045,0.999778381074,2,9
18,18913,,18917,,18919,,18911,18915,0.999788572335,1,3
19,19429,,19421,,19423,,19427,19425,0.999794122188,1,3
20,21013,,21017,,21019,,21011,21015,0.999809695989,2,9
21,22273,,22277,,22279,,22271,22275,0.999820458728,4,81
22,25309,,25301,,25303,,25307,25305,0.999841953455,1,3
23,31729,,31721,,31723,,31727,31725,0.999873932365,3,27
24,34849,,34841,,34843,,34847,34845,0.999885219088,1,3
25,43789,,43781,,43783,,43787,43785,0.999908652858,2,9
26,51349,,51341,,51343,,51347,51345,0.999922101696,2,9
27,55333,,55337,,55339,,55331,55335,0.999927718246,1,3
28,62989,,62981,,62983,,62987,62985,0.999936496849,1,3
29,67213,,67217,,67219,,67211,67215,0.999940493015,1,3
30,69493,,69497,,69499,,69491,69495,0.999942445215,1,3
