Index,p,p+2
1,3,5
2,5,7
3,11,13
4,17,19
5,29,31
6,41,43
7,59,61
8,71,73
9,101,103
10,107,109
11,137,139
12,149,151
13,179,181
14,191,193
15,197,199
16,227,229
17,239,241
18,269,271
19,281,283
20,311,313
21,347,349
22,419,421
23,431,433
24,461,463
25,521,523
26,569,571
27,599,601
28,617,619
29,641,643
30,659,661
31,809,811
32,821,823
33,827,829
34,857,859
35,881,883
36,1019,1021
37,1031,1033
38,1049,1051
39,1061,1063
40,1091,1093
41,1151,1153
42,1229,1231
43,1277,1279
44,1289,1291
45,1301,1303
46,1319,1321
47,1427,1429
48,1451,1453
49,1481,1483
50,1487,1489
51,1607,1609
52,1619,1621
53,1667,1669
54,1697,1699
55,1721,1723
56,1787,1789
57,1871,1873
58,1877,1879
59,1931,1933
60,1949,1951
61,1997,1999
62,2027,2029
63,2081,2083
64,2087,2089
65,2111,2113
66,2129,2131
67,2141,2143
68,2237,2239
69,2267,2269
70,2309,2311
71,2339,2341
72,2381,2383
73,2549,2551
74,2591,2593
75,2657,2659
76,2687,2689
77,2711,2713
78,2729,2731
79,2789,2791
80,2801,2803
81,2969,2971
82,2999,3001
83,3119,3121
84,3167,3169
85,3251,3253
86,3257,3259
87,3299,3301
88,3329,3331
89,3359,3361
90,3371,3373
91,3389,3391
92,3461,3463
93,3467,3469
94,3527,3529
95,3539,3541
96,3557,3559
97,3581,3583
98,3671,3673
99,3767,3769
100,3821,3823
101,3851,3853
102,3917,3919
103,3929,3931
104,4001,4003
105,4019,4021
106,4049,4051
107,4091,4093
108,4127,4129
109,4157,4159
110,4217,4219
111,4229,4231
112,4241,4243
113,4259,4261
114,4271,4273
115,4337,4339
116,4421,4423
117,4481,4483
118,4517,4519
119,4547,4549
120,4637,4639
121,4649,4651
122,4721,4723
123,4787,4789
124,4799,4801
125,4931,4933
126,4967,4969
127,5009,5011
128,5021,5023
129,5099,5101
130,5231,5233
131,5279,5281
132,5417,5419
133,5441,5443
134,5477,5479
135,5501,5503
136,5519,5521
137,5639,5641
138,5651,5653
139,5657,5659
140,5741,5743
141,5849,5851
142,5867,5869
143,5879,5881
144,6089,6091
145,6131,6133
146,6197,6199
147,6269,6271
148,6299,6301
149,6359,6361
150,6449,6451
151,6551,6553
152,6569,6571
153,6659,6661
154,6689,6691
155,6701,6703
156,6761,6763
157,6779,6781
158,6791,6793
159,6827,6829
160,6869,6871
161,6947,6949
162,6959,6961
163,7127,7129
164,7211,7213
165,7307,7309
166,7331,7333
167,7349,7351
168,7457,7459
169,7487,7489
170,7547,7549
171,7559,7561
172,7589,7591
173,7757,7759
174,7877,7879
175,7949,7951
176,8009,8011
177,8087,8089
178,8219,8221
179,8231,8233
180,8291,8293
181,8387,8389
182,8429,8431
183,8537,8539
184,8597,8599
185,8627,8629
186,8819,8821
187,8837,8839
188,8861,8863
189,8969,8971
190,8999,9001
191,9011,9013
192,9041,9043
193,9239,9241
194,9281,9283
195,9341,9343
196,9419,9421
197,9431,9433
198,9437,9439
199,9461,9463
200,9629,9631
201,9677,9679
202,9719,9721
203,9767,9769
204,9857,9859
205,9929,9931
206,10007,10009
207,10037,10039
208,10067,10069
209,10091,10093
210,10139,10141
211,10271,10273
212,10301,10303
213,10331,10333
214,10427,10429
215,10457,10459
216,10499,10501
217,10529,10531
218,10709,10711
219,10859,10861
220,10889,10891
221,10937,10939
222,11057,11059
223,11069,11071
224,11117,11119
225,11159,11161
226,11171,11173
