A,B,C,sqrt_A_times_B,C_div_sqrt_A_times_B
3,5,7,3.872983346207417,1.807392228230128
5,7,11,5.916079783099616,1.859339360402736
11,13,17,11.958260743101398,1.421611417012054
17,19,23,17.972200755611428,1.279754233371712
29,31,37,29.983328701129899,1.234019090035380
41,43,47,41.988093550434030,1.119364944339421
59,61,67,59.991666087882571,1.116821791577697
71,73,79,71.993055220625280,1.097328065296044
101,103,107,101.995097921419728,1.049070025722572
107,109,113,107.995370271137091,1.046341150702091
137,139,149,137.996376764029577,1.079738493821373
149,151,157,149.996666629628805,1.046689926701263
179,181,191,179.997222200788428,1.061127486661644
191,193,197,191.997395815672462,1.026055583530572
197,199,211,197.997474731371256,1.065670157087961
227,229,233,227.997807006997334,1.021939653975922
239,241,251,239.997916657624330,1.045842411865896
269,271,277,269.998148141797458,1.025932962527303
281,283,293,281.998226944780640,1.039013624923868
311,313,317,311.998397431781711,1.016030859803733
347,349,353,347.998563215424781,1.014372004120831
419,421,431,419.998809522122315,1.026193384906007
431,433,439,431.998842591042148,1.016206426311159
461,463,467,461.998917747650125,1.010824878717750
521,523,541,521.999042144715077,1.036400369198412
569,571,577,569.999122806342598,1.012282259592241
599,601,607,599.999166666087945,1.011668071762187
617,619,631,617.999190937981780,1.021036935408097
641,643,647,641.999221183328245,1.007789384553231
659,661,673,659.999242423807686,1.019698140150052
809,811,821,809.999382715814136,1.013581019342635
821,823,827,821.999391727268858,1.006083469553698
827,829,839,827.999396135045458,1.013285763149470
857,859,863,857.999417249219391,1.005828188982707
881,883,887,881.999433106393781,1.005669580620924
1019,1021,1031,1019.999509803803790,1.010784799493004
1031,1033,1039,1031.999515503762268,1.006783418394165
1049,1051,1061,1049.999523809415905,1.010476648742348
1061,1063,1069,1061.999529190102749,1.006591783345927
1091,1093,1097,1091.999542124446180,1.004579175798761
1151,1153,1163,1151.999565972140545,1.009548991469087
1229,1231,1237,1229.999593495867884,1.005691389282687
1277,1279,1283,1277.999608763633432,1.003912670396828
1289,1291,1297,1289.999612403042647,1.005426658682414
1301,1303,1307,1301.999615975365714,1.003840541858293
1319,1321,1327,1319.999621212066813,1.005303318785429
1427,1429,1433,1427.999649859900956,1.003501646614962
1451,1453,1459,1451.999655647342024,1.004821174939974
1481,1483,1487,1481.999662618045249,1.003374047584546
1487,1489,1493,1487.999663978456738,1.003360441633551
1607,1609,1613,1607.999689054696319,1.003109646711588
1619,1621,1627,1619.999691357995289,1.004321178997347
1667,1669,1693,1667.999700239781305,1.014988191998251
1697,1699,1709,1697.999705535899011,1.006478384200090
1721,1723,1733,1721.999709639929051,1.006388090717141
1787,1789,1801,1787.999720357920069,1.007270851048834
1871,1873,1877,1871.999732905963810,1.002671083230484
1877,1879,1889,1877.999733759299488,1.005857437593285
1931,1933,1949,1931.999741200810831,1.008799306975384
1949,1951,1973,1949.999743589726677,1.011795004838274
1997,1999,2003,1997.999749749734065,1.002502628066341
2027,2029,2039,2027.999753451661491,1.005424185347960
2081,2083,2087,2081.999759846287816,1.002401652608299
2087,2089,2099,2087.999760536384656,1.005268314523556
