A,B,C,sqrt_AxB,C_div_sqrt_AxB,C_minus_sqrt_AxB,epsilon,C_minus_B
3,5,7,3.872983346207417,1.8073922282301278,3.127016653792583,0.8073922282301278,2
5,7,11,5.916079783099616,1.8593393604027364,5.083920216900384,0.8593393604027364,4
11,13,17,11.958260743101398,1.4216114170120542,5.041739256898602,0.4216114170120543,4
17,19,23,17.97220075561143,1.2797542333717116,5.0277992443885715,0.2797542333717116,4
29,31,37,29.9833287011299,1.2340190900353796,7.016671298870101,0.23401909003537966,6
41,43,47,41.98809355043403,1.1193649443394211,5.01190644956597,0.11936494433942124,4
59,61,67,59.99166608788257,1.1168217915776972,7.008333912117429,0.1168217915776973,6
71,73,79,71.99305522062528,1.097328065296044,7.00694477937472,0.09732806529604403,6
101,103,107,101.99509792141973,1.0490700257225716,5.0049020785802725,0.049070025722571575,4
107,109,113,107.99537027113709,1.0463411507020912,5.004629728862909,0.04634115070209125,4
137,139,149,137.99637676402958,1.079738493821373,11.003623235970423,0.07973849382137292,10
149,151,157,149.9966666296288,1.0466899267012633,7.003333370371195,0.04668992670126329,6
179,181,191,179.99722220078843,1.0611274866616436,11.002777799211572,0.06112748666164348,10
191,193,197,191.99739581567246,1.026055583530572,5.002604184327538,0.026055583530571944,4
197,199,211,197.99747473137126,1.065670157087961,13.002525268628744,0.06567015708796103,12
227,229,233,227.99780700699733,1.0219396539759225,5.002192993002666,0.02193965397592244,4
239,241,251,239.99791665762433,1.0458424118658955,11.00208334237567,0.04584241186589547,10
269,271,277,269.99814814179746,1.0259329625273035,7.001851858202542,0.02593296252730339,6
281,283,293,281.99822694478064,1.0390136249238675,11.00177305521936,0.039013624923867576,10
311,313,317,311.9983974317817,1.016030859803733,5.0016025682182885,0.01603085980373308,4
347,349,353,347.9985632154248,1.0143720041208306,5.001436784575219,0.014372004120830617,4
419,421,431,419.9988095221223,1.026193384906007,11.001190477877685,0.02619338490600704,10
431,433,439,431.99884259104215,1.0162064263111594,7.001157408957852,0.016206426311159348,6
461,463,467,461.9989177476501,1.0108248787177496,5.001082252349875,0.010824878717749576,4
521,523,541,521.9990421447151,1.0364003691984118,19.000957855284923,0.03640036919841175,18
569,571,577,569.9991228063426,1.0122822595922414,7.000877193657402,0.01228225959224143,6
599,601,607,599.999166666088,1.0116680717621866,7.000833333912055,0.011668071762186571,6
617,619,631,617.9991909379818,1.0210369354080966,13.00080906201822,0.021036935408096504,12
641,643,647,641.9992211833282,1.007789384553231,5.000778816671755,0.007789384553231009,4
659,661,673,659.9992424238077,1.019698140150052,13.000757576192314,0.019698140150052005,12
809,811,821,809.9993827158141,1.013581019342635,11.000617284185864,0.013581019342634977,10
821,823,827,821.9993917272689,1.006083469553698,5.000608272731142,0.006083469553698032,4
827,829,839,827.9993961350455,1.0132857631494703,11.000603864954542,0.013285763149470171,10
857,859,863,857.9994172492194,1.0058281889827065,5.000582750780609,0.005828188982706629,4
881,883,887,881.9994331063938,1.0056695806209244,5.000566893606219,0.005669580620924289,4
1019,1021,1031,1019.9995098038038,1.010784799493004,11.00049019619621,0.010784799493003823,10
1031,1033,1039,1031.9995155037623,1.006783418394165,7.000484496237732,0.006783418394165138,6
1049,1051,1061,1049.999523809416,1.0104766487423482,11.000476190584095,0.01047664874234817,10
1061,1063,1069,1061.9995291901027,1.0065917833459266,7.0004708098972515,0.006591783345926639,6
1091,1093,1097,1091.9995421244462,1.0045791757987605,5.0004578755538205,0.004579175798760509,4
1151,1153,1163,1151.9995659721405,1.0095489914690867,11.000434027859455,0.009548991469086617,10
1229,1231,1237,1229.9995934958679,1.0056913892826873,7.0004065041321155,0.005691389282687298,6
1277,1279,1283,1277.9996087636334,1.0039126703968275,5.000391236366568,0.003912670396827478,4
1289,1291,1297,1289.9996124030426,1.0054266586824137,7.000387596957353,0.0054266586824137574,6
1301,1303,1307,1301.9996159753657,1.0038405418582925,5.000384024634286,0.0038405418582926026,4
1319,1321,1327,1319.9996212120668,1.005303318785429,7.000378787933187,0.005303318785429052,6
1427,1429,1433,1427.999649859901,1.0035016466149622,5.000350140099044,0.003501646614962141,4
1451,1453,1459,1451.999655647342,1.004821174939974,7.000344352657976,0.004821174939974092,6
1481,1483,1487,1481.9996626180452,1.0033740475845463,5.0003373819547505,0.003374047584546235,4
1487,1489,1493,1487.9996639784567,1.003360441633551,5.000336021543262,0.003360441633551106,4
1607,1609,1613,1607.9996890546963,1.003109646711588,5.000310945303681,0.003109646711588136,4
1619,1621,1627,1619.9996913579953,1.004321178997347,7.000308642004711,0.00432117899734695,6
1667,1669,1693,1667.9997002397813,1.0149881919982509,25.000299760218695,0.014988191998250843,24
1697,1699,1709,1697.999705535899,1.00647838420009,11.000294464100989,0.006478384200089852,10
1721,1723,1733,1721.999709639929,1.0063880907171414,11.000290360070949,0.00638809071714136,10
1787,1789,1801,1787.99972035792,1.0072708510488344,13.000279642079931,0.007270851048834364,12
1871,1873,1877,1871.9997329059638,1.0026710832304844,5.0002670940361895,0.00267108323048429,4
1877,1879,1889,1877.9997337592995,1.0058574375932847,11.000266240700512,0.005857437593284771,10
1931,1933,1949,1931.9997412008108,1.0087993069753844,17.00025879918917,0.00879930697538441,16
1949,1951,1973,1949.9997435897267,1.0117950048382738,23.000256410273323,0.011795004838273712,22
1997,1999,2003,1997.999749749734,1.002502628066341,5.000250250265935,0.002502628066340978,4
2027,2029,2039,2027.9997534516615,1.0054241853479597,11.00024654833851,0.005424185347959761,10
2081,2083,2087,2081.999759846288,1.0024016526082988,5.000240153712184,0.0024016526082987384,4
2087,2089,2099,2087.9997605363847,1.0052683145235561,11.000239463615344,0.005268314523556028,10
2111,2113,2129,2111.9997632575623,1.0080493554204837,17.000236742437664,0.008049355420483753,16
2129,2131,2137,2129.999765258203,1.0032864955461385,7.000234741797158,0.003286495546138511,6
2141,2143,2153,2141.999766573283,1.0051354970240332,11.000233426716932,0.005135497024033213,10
2237,2239,2243,2237.9997765862267,1.002234237673339,5.000223413773256,0.002234237673339019,4
2267,2269,2273,2267.9997795414356,1.0022046829561753,5.0002204585643995,0.002204682956175326,4
2309,2311,2333,2309.9997835497734,1.0099568045910732,23.000216450226617,0.009956804591073258,22
2339,2341,2347,2339.999786324777,1.0029915445788213,7.000213675223222,0.0029915445788214435,6
